"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action"
0,0.126203575594776,0,0,0,0,0,0,0,0,0
0,0.325199398411731,0,0.397681270853098,0,0,0,0,0,0,0
0,0,0,0.126203575594776,0.397681270853098,0,0,0,0,0,0
0,0,0.628725915457755,0.325199398411731,0,0,2.02723526634363,0,0,0,0
0.230761001526662,0,0,0,0,0,0.397681270853098,2.02723526634363,0,0,0
0,0.230761001526662,0,0,0,0,0,0,2.02723526634363,0,0
0.00293271368313493,0,0,0,0.350450545882355,0,0,0,0,2.02723526634363,0
0.00302409502430464,0,0,0,0,0,0,0,0.126203575594776,0.397681270853098,0
0,0,0,0,0.230761001526662,0.0737258771002605,0,0,0,0,0.397681270853098
0,0,0,0,0,0,0.0737258771002605,0,0,0,0.126203575594776
