"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action"
0,0,0,3.11969368511524,0,0,0,0,0,0,0
0,0.0695803618638431,0,0.211375148934303,0,0,0,0,0,0,0
0,0.548793029875731,0.0695803618638431,0.105089454122077,0,0,0,0,0,0,0
0.0894864092837546,0,0,0,0.105089454122077,0,0,0,0,0,0
0,0.0894864092837546,0,0.548793029875731,0.0695803618638431,0,0,0,0,0,0
0,0.182568769844123,0.0894864092837546,0,0,0.0695803618638431,0,0,0,0,0
0,0,0.182568769844123,0.0894864092837546,0,0.548793029875731,0,0,0,0,0
0.00240862377805516,0,0,0,0.0894864092837546,0.608515213134732,0,0,0,0,0
0,0,0,0.445795608233673,0.182568769844123,0.0894864092837546,0,0,0,0,0
0,0,0.00240862377805516,0,0,0,0.0894864092837546,0,0,0,0
0.105089454122077,0,0,0,0,0,0.182568769844123,0,0,0,0
0,0,0.211375148934303,0,0.00240862377805516,0,0.445795608233673,0,0,0,0
0,0,0.105089454122077,0,0,0.00240862377805516,0,0,0,0,0
0,0.548793029875731,0,0.105089454122077,0,0,0,0,0,0,0
0,0,0,0,0,0.211375148934303,0,0.00240862377805516,0,0,0
0,0.0894864092837546,0,0,0,0.105089454122077,0,3.11969368511524,0,0,0
0,0.182568769844123,0,0,0,0,0.105089454122077,0.211375148934303,0,0,0
0,0,0.182568769844123,0,0,0,0,0,0.211375148934303,0,0
0,0,0.445795608233673,0,0,0,0,0,0.105089454122077,0,0
0,0,0,0.445795608233673,0.182568769844123,0,0,0,0.0695803618638431,0,0
0.211375148934303,0,0,0,0,0.182568769844123,0,0,0.548793029875731,0,0
0,0.211375148934303,0,0,0,0.445795608233673,0,0,0.608515213134732,0,0
0,0,0,0,0,0,0.445795608233673,0.182568769844123,0.0894864092837546,0,0
0,0.0695803618638431,0,0,0,0,0,0.445795608233673,0,0.0894864092837546,0
0,0,0,0.105089454122077,0,0,0,0,0,0.182568769844123,0
0.0894864092837546,0,0,0,0,0,0,0,0,0.445795608233673,0
0,0,0,0.548793029875731,0,0,0,0,0,0,0.445795608233673
0,0,0,0,0.548793029875731,0,0.105089454122077,0,0,0,0
0,0,0,0,0,0,0,0,0.211375148934303,0,0.00240862377805516
0.00240862377805516,0,0,0,0,0,0,0,0.105089454122077,0,3.11969368511524
0,0,0,0,0,0,0,0.548793029875731,0.0695803618638431,0,0.211375148934303
0,0,0,0,0,0.182568769844123,0,0,0,0.0695803618638431,0.105089454122077
