"Bar.outcome","undLac.outcome","uncLac.outcome","Oth.outcome","Bla.outcome","undMol.outcome","Akk.outcome","Cop.outcome","Clodif.outcome","Ent.outcome","undEnt.outcome"
0,0,0,0,0,0.801963681207448,0.205107600569486,0,0,0,0
0.801963681207448,0,0,0,0.801963681207448,0,0,0.205107600569486,0,0,0
0.205107600569486,0,0,0,0,0,0,0,8.98170915560378,0,0
0,0,0,0,0,2.09955058387061,0,0,8.98170915560378,0,0
0,0,0,0,0,2.09955058387061,0,0,8.98170915560378,0,0
0,0,0,0,0,2.09955058387061,0,0,8.98170915560378,0,0
0,0,0,0,0,2.09955058387061,0,0,8.98170915560378,0,0
0,2.09955058387061,0,0,0,1.51034699193273,0,0,0,1.51034699193273,0
0,0,3.68621448667074,0,0,1.51034699193273,0,0,0,0.801963681207448,0
0,0,0,0,0,2.55076271597474,0,0,16.2091465964374,2.09955058387061,0
0,0,0,0,0,2.55076271597474,0,0,16.2091465964374,2.09955058387061,0
0,0,0,0,0,2.55076271597474,0,0,16.2091465964374,2.09955058387061,0
0,0,0,0,0,0,0,0,8.98170915560378,2.55076271597474,0
0,0,0,0,0,2.55076271597474,0,0,16.2091465964374,2.09955058387061,0
0,0,0,0,0,0,0,0,8.98170915560378,2.55076271597474,0
0,0,0,0,0,0,0,0,8.98170915560378,2.55076271597474,0
1.51034699193273,0,0,0,0,0,0,0,0,0,0
0,0,3.68621448667074,0.205107600569486,0,0,0,0,0,0,0
0,0,0,0,0,0,0.205107600569486,0,0,0,0.801963681207448
0.801963681207448,0,0,0,0,0.801963681207448,0,0,0,0,0
0,0,0,0,0,2.09955058387061,0,0,8.98170915560378,0,0
0,0,0.205107600569486,0,0,0,0,0,8.98170915560378,0,0.801963681207448
0,0,0,0,0,0,0,0,8.98170915560378,0,0.801963681207448
0,0,0,0,0,2.09955058387061,0,0,8.98170915560378,0,0
0,0,3.68621448667074,0,0,0,0,0,0,1.51034699193273,0
0,0,3.68621448667074,0,0,0,0,0,0,1.51034699193273,0
0,0,0,0,0,0,0,0,16.2091465964374,2.55076271597474,0.801963681207448
0,0,0,0,0,2.55076271597474,0,0,16.2091465964374,2.09955058387061,0
0,0,0,0,0,2.55076271597474,0,0,16.2091465964374,2.09955058387061,0
0,0,0,0,0,0,0,0,16.2091465964374,2.55076271597474,0.801963681207448
0,0,0,0,0,0,0,0,16.2091465964374,2.55076271597474,0.801963681207448
0,0,0,0,0,0,0,0,16.2091465964374,2.55076271597474,0.801963681207448
