"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action"
0,0.0853160425799401,1.89912590730536,17.7613562446631,0,0,2.18918006692103,0,0,0,0
0,0,0.0853160425799401,1.89912590730536,17.7613562446631,0,0,2.18918006692103,0,0,0
0,0,0,0.0853160425799401,1.89912590730536,0,0,0,2.18918006692103,0,0
0,0,0,0,0,1.89912590730536,17.7613562446631,0,0,2.18918006692103,0
0,0,0,0,0,0.0853160425799401,1.89912590730536,17.7613562446631,0,0,0
2.18918006692103,0,0,0,0,0,0.0853160425799401,1.89912590730536,17.7613562446631,0,0
0,0,0,0,0,0,0,0.0853160425799401,1.89912590730536,17.7613562446631,0
0,0,2.18918006692103,0,0,0,0,0,0.0853160425799401,1.89912590730536,0
17.7613562446631,0,0,2.18918006692103,0,0,0,0,0,0,1.89912590730536
1.89912590730536,17.7613562446631,0,0,2.18918006692103,0,0,0,0,0,0.0853160425799401
0.0853160425799401,1.89912590730536,0,0,0,2.18918006692103,0,0,0,0,0
0,0.0853160425799401,1.89912590730536,17.7613562446631,0,0,0,0,0,0,0
0,0,0.0853160425799401,1.89912590730536,0,0,0,0,0,0,0
0,0,0,0,1.89912590730536,17.7613562446631,0,0,2.18918006692103,0,0
0,0,0,0,0.0853160425799401,1.89912590730536,17.7613562446631,0,0,2.18918006692103,0
0,0,0,0,0,0.0853160425799401,1.89912590730536,0,0,0,2.18918006692103
0,0,0,0,0,0,0.0853160425799401,0,17.7613562446631,0,0
0,2.18918006692103,0,0,0,0,0,0,1.89912590730536,17.7613562446631,0
0,0,2.18918006692103,0,0,0,0,0,0.0853160425799401,1.89912590730536,17.7613562446631
17.7613562446631,0,0,2.18918006692103,0,0,0,0,0,0.0853160425799401,1.89912590730536
1.89912590730536,0,0,0,2.18918006692103,0,0,0,0,0,0.0853160425799401
0.0853160425799401,1.89912590730536,17.7613562446631,0,0,0,0,0,0,0,0
0,0.0853160425799401,1.89912590730536,0,0,0,2.18918006692103,0,0,0,0
0,0,0,1.89912590730536,17.7613562446631,0,0,2.18918006692103,0,0,0
0,0,0,0,0,17.7613562446631,0,0,2.18918006692103,0,0
0,0,0,0,0,1.89912590730536,17.7613562446631,0,0,2.18918006692103,0
0,0,0,0,0,0.0853160425799401,1.89912590730536,17.7613562446631,0,0,2.18918006692103
2.18918006692103,0,0,0,0,0,0.0853160425799401,1.89912590730536,17.7613562446631,0,0
0,2.18918006692103,0,0,0,0,0,0.0853160425799401,1.89912590730536,17.7613562446631,0
0,0,0,0,0,0,0,0,0.0853160425799401,1.89912590730536,17.7613562446631
17.7613562446631,0,0,2.18918006692103,0,0,0,0,0,0.0853160425799401,1.89912590730536
1.89912590730536,0,0,0,2.18918006692103,0,0,0,0,0,0.0853160425799401
