"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action"
0,0.0682528340639521,1.92984389190231,18.2109909181241,0,0,2.3532594267608,0,0,0,0
0,0,0.0682528340639521,1.92984389190231,18.2109909181241,0,0,2.3532594267608,0,0,0
0,0,0,0.0682528340639521,1.92984389190231,18.2109909181241,0,0,2.3532594267608,0,0
0,0,0,0,0.0682528340639521,1.92984389190231,0,0,0,2.3532594267608,0
0,0,0,0,0,0,1.92984389190231,18.2109909181241,0,0,2.3532594267608
2.3532594267608,0,0,0,0,0,0.0682528340639521,1.92984389190231,18.2109909181241,0,0
0,2.3532594267608,0,0,0,0,0,0.0682528340639521,1.92984389190231,18.2109909181241,0
0,0,2.3532594267608,0,0,0,0,0,0.0682528340639521,1.92984389190231,18.2109909181241
0,0,0,2.3532594267608,0,0,0,0,0,0.0682528340639521,1.92984389190231
1.92984389190231,18.2109909181241,0,0,2.3532594267608,0,0,0,0,0,0.0682528340639521
