"Bar.action.outcome","undLac.action.outcome","uncLac.action.outcome","Oth.action.outcome","Bla.action.outcome","undMol.action.outcome","Akk.action.outcome","Cop.action.outcome","Clodif.action.outcome","Ent.action.outcome","undEnt.action.outcome"
1.14524609811538,0,0,0.0958633343270386,0.150046066961549,0,0.0685825554010469,0.0774286165411916,0,0,0.0584929900205935
2.71293785083626,4.47567181633214,0,0.121654314515378,0.222523982036417,0,0.062803123488606,0.066307210555765,0,0,0.0297581264039936
0,0.059200008337825,1.73045314006642,0.0967753844372233,0.243886466968606,0,0.102119555904863,0.0409627358572071,0,0,0.0749285564614202
1.59596107211515,0,0,0.816916165651121,0.086370592270392,0,0.0508339043886536,0.0831862903562269,0,0,0.158054169440215
0,0,1.64169464757765,0.643913322637851,0.153635374022773,0,0.0797263884586314,0.0631360286622188,0,0,0.117489741879053
0,0,0,0.0762269087482187,1.07372346274658,0,0.0671936094104815,0.0680746160114589,0,0,0.0341304343285209
0.503615920490341,0,0,0.0833106508616858,1.06496540317823,0,0.0629833270690948,0.0698312475477495,0,0,0.0293342857443053
0,1.17143554920236,0,0.112679781406395,0.740820462347494,0,0.0623613417407925,0.0637196105248644,0,0,0.0121793307090152
3.14380944324778,5.01050893214636,0,0.107553058458354,0.313580087600037,0,0.0561917200691334,0.0636830874234395,0,0,0.00992251568051093
0,0.00724717916038541,1.31421701994506,0.0859156778345613,0.667173004438214,0,0.0921252258720421,0.040385826208767,0,0,0.0632770258053123
0,0.0546897366087782,1.46105063175067,0.0879733848982899,0.624672939212366,0,0.091291678078878,0.0364255782640316,0,0,0.0576833911386585
1.06816567947811,0,0,0.841739326610156,0.918397077039443,0,0.0553186963479813,0.0848580094945144,0,0,0.129572422684644
0,1.58245282891005,0,0.688539897575936,0.605700252408183,0,0.0847364799219337,0.0982487059769606,0,0,0.0598237306831593
0,0,0.0117030141052824,0.847995434437228,0.835187001312563,0,0.0805919716746982,0.0620969793750968,0,0,0.0978723454590801
2.38791579297048,4.00280056135043,0,0.124221522838997,0.0827715923435941,1.33501222403014,0.0517194195439152,0.0837544037941043,0,0,0.0919607925467568
0,0,0,1.1258556111064,0,1.16915681895807,0.0742304995577572,0.0582572236473047,0,0,0.0958223398754364
0,1.88247882002818,0,0.694383643382237,0.0338465196791405,1.1311134904639,0.0802153666359045,0.0701182778723053,0,0,0.0576560315250139
0,0,2.05097662250095,0.612920061174024,0.0705236602320738,1.08249548956769,0.079586154357695,0.0417299710294006,0,0,0.0929516286645195
0,0.901976852309903,0,0.13041217481311,1.11415846039388,1.02890012886198,0.0577653300095521,0.0877469080135096,0,0,0.0928207722536101
0,0,1.75182957712445,0.112354107294714,0.964151659475679,1.06083633727309,0.0803978176043918,0.0578936099146653,0,0,0.134695763677981
0,0,0,1.05060862278376,1.32508234285223,1.19816812406571,0.0772486199777828,0.0573590392273046,0,0,0.0851529931345095
0,0,0,0.0783429374513843,0.0439151806208124,0,1.05306524634217,0.035920292635133,0,0,0.0563637794664539
