"Bar.action.outcome","undLac.action.outcome","uncLac.action.outcome","Oth.action.outcome","Bla.action.outcome","undMol.action.outcome","Akk.action.outcome","Cop.action.outcome","Clodif.action.outcome","Ent.action.outcome","undEnt.action.outcome"
1.44747228052412,0,0,0.0465702368651111,0.00326106310786613,0,0.028530818122105,0.0514178791869219,0,0,0.0997212163335747
0,1.03471765208739,0,0.0939128427987092,0.134685256307648,0,0.0365207124005511,0.0832466353987804,0,0,0.2102133922827
1.773956348568,2.53221680218252,0,0.100865607533825,0.203715928130244,0,0.0248929428729611,0.0779034957860384,0,0,0.250631999489483
0,0.130846169746322,1.38113386584155,0.138035196680431,0.211112640110909,0,0.0908035584040039,0.128432043118204,0,0,0.26962976923467
0,0,0,1.05088543473,0.0812094394953321,0,0.0601692980403647,0.102712158973595,0,0,0.12340260606571
0,1.10938091749552,0,0.908324402009674,0.208869587734892,0,0.0733715649165578,0.121095259526745,0,0,0.183751049234104
0.0431488465969052,0,0,0.0476223923634478,1.39944575110007,0,0.043398072720307,0.0471822264183826,0,0,0.0956866322622593
0,0.458331914668587,1.05775960167758,0.146882470164241,0.836089467215869,0,0.109191656600032,0.129529341951202,0,0,0.27887277246404
0.00441616500833154,0,0,1.01532455669711,1.08721893596848,0,0.0576863318744604,0.104537917089452,0,0,0.111494117078493
0.484251734144658,0,0,1.01069201533568,1.10044515210347,0,0.0619929555966743,0.132049479504134,0,0,0.135030185820282
0,0.891594232529022,0,0.917057528613216,0.791281449826732,0,0.0737251027294471,0.117599752192853,0,0,0.179748360435741
0,0.596468250237642,0.94134077187627,0.840002884481563,0.770816409772946,0,0.111662359593721,0.180948098624466,0,0,0.247296911984006
0.0349290594745547,0,0,0.0295759246873059,0,0.897017164147604,0.0246314851127013,0.0541517834042499,0,0,0.139254104136123
0,1.5267236130192,0,0.072484869675152,0.0634449713280149,1.04119052331093,0.0295435883115482,0.0811491330810734,0,0,0.245323320065443
0.0071339209464019,0.3739593792542,1.39908105256722,0.118271599650393,0.204855806928156,0.991444586914615,0.0684402241999431,0.10936029028988,0,0,0.322528576993494
0,0,0,1.07277520389576,0.0465053313930889,1.01382812011582,0.0564094484944264,0.109547202210612,0,0,0.210671384830044
0,0.370320399225166,1.44522913409756,0.832694349020748,0.237131584933829,0.981217303831297,0.106810089813011,0.172145203747159,0,0,0.302507511087168
0.192304183508479,0,0,0.032843890651388,1.36307228127884,0.950065186252034,0.0346342514953314,0.0455907434049781,0,0,0.146025401227859
0.227153643015196,0,0,0.0360104859871996,1.37841747949277,0.943563390698365,0.0325734925154783,0.0485711750761469,0,0,0.136896124210915
0.0287797251841449,0.322388388017035,1.22056481350891,0.127305369426462,0.733968227633562,0.998030829555019,0.084602055907934,0.0967360836767725,0,0,0.325515710789049
0.0212585549873512,0,0,1.03197920457629,1.06627328056946,1.03317969629278,0.0561565631625389,0.111214458447432,0,0,0.186731363564966
0.428736621644333,0,0,1.02741866550071,1.07570096257561,1.04624658974562,0.0640407217069646,0.128243483148611,0,0,0.198197855722101
0,0.275005194549171,1.26686222849666,0.841750428137506,0.718255911321821,1.00110509389699,0.098918722320814,0.171993041144642,0,0,0.302140820601856
0.175460591952525,0,0,0.0234558555442916,0.260340640132098,0,1.016645910293,0.0874910252293972,0,0,0.0604493003437427
0.62135092411918,0.0397598611731752,0,0.0194033852303897,0.219521855031697,0.0215127345892287,0.93636465380167,0.0700244131312744,0,0,0
0.133315834183,1.84554053089541,0,0.0254375535767989,0.274456848497492,0,0.888285169587146,0.0984544748158034,0,0,0.0455383814521806
