,AGHE,AGRE,AMME,ANAR,CEME,CLPU,ERBO,ERCI,EUPE,GECA,HECO,LACA,LOPU,LOWR,MEPO,NAAT,PLER,SACA
AGHE,0.475220379,2.208635519,0.252298983,NA,0.410289235,0.769225929,NA,5.808832125,0.347923189,NA,0.593177796,3.263312519,0.029830938,0.459407217,NA,0.49496842,0.266370686,0.751480565
AGRE,0.275647317,0.963700263,0.126777571,NA,0.161854911,NA,NA,NA,NA,0.194727397,0.822454615,0.115676913,NA,0.11401719,NA,NA,0.616839033,0.001619108
AMME,2.010717247,NA,0.332218181,NA,0.650844593,0.065641739,NA,NA,NA,0.793255689,2.911408878,1.05862576,0.095332945,0.291179118,0.523271448,1.244331716,0.7045401,0.308161012
ANAR,NA,NA,0.118289275,0.03991319,0.723112715,0.143958803,NA,NA,0.682671982,NA,6.190262997,2.441201253,NA,1.461538467,2.537396395,5.217607446,0.492182292,0.191609846
CEME,10.06684548,NA,0.618462433,0.377441307,2.11144129,0.170338494,1.805751462,7.866829407,0.28201275,0.351263392,0.485539499,1.912709368,2.571331493,1.923933479,2.621150019,2.336567693,1.435532087,0.370920618
CLPU,NA,NA,18.61721776,NA,0.976048601,0.291941017,NA,NA,1.099031749,NA,2.33838991,1.869265282,NA,0.403579627,0.396355588,NA,1.420063517,NA
ERBO,5.66091252,NA,2.864423807,NA,13.42711176,NA,5.424963081,1.232028898,0.509132609,NA,2.19709601,4.058492162,0.424086629,9.357185482,0.829033534,NA,2.504932975,4.564472115
ERCI,6.947443752,NA,1.85373466,0.055588406,1.756286555,2.075938268,NA,1.282967767,NA,0.100256355,5.917826311,1.60754751,2.272332715,0.996619035,3.723169283,0.263054611,1.756776218,3.536780467
EUPE,3.488567299,3.654470967,2.643828696,NA,0.752411425,0.335755324,18.96192495,1.703738949,2.116530435,NA,0.184618164,0.805980985,0.306219213,0.688143805,0.125914971,2.444500644,0.893941369,0.469335591
GECA,3.273229589,NA,0.674403357,0.537612537,1.614408352,0.94060273,3.523061726,1.708729249,0.755894105,0.332824946,2.01332123,0.595630053,0.83209033,2.498423427,0.894286428,3.999166697,2.065228259,0.952477861
HECO,1.193891482,NA,0.503538438,0.153564314,1.250823283,0.006598582,0.516424057,0.38983644,0.050345336,0.014213852,1.880810943,1.884058837,0.813848538,0.53886651,0.544318399,2.615551497,0.382211421,0.327617011
LACA,2.030386032,NA,1.101901615,NA,0.868594508,0.18287331,0.042903092,NA,0.131725395,0.085644644,0.114725512,0.360191671,1.21581096,0.262295477,0.320881256,0.976435713,0.477669277,0.233681296
LOPU,4.944375133,0.847134046,0.764846799,NA,2.181830741,NA,NA,0.065806239,1.050218417,0.096172405,1.01687979,0.980766714,0.884357638,0.440251406,1.643189488,0.590793347,1.085056415,1.382797927
LOWR,5.90601321,NA,0.807947714,0.205125146,0.622951786,0.397433327,0.075262832,NA,0.350640021,0.081725277,0.848328151,0.859633645,0.271074587,0.59860742,1.181992202,0.190550289,0.78391647,0.745366376
MEPO,1.259716205,NA,0.342782049,NA,0.120017197,NA,NA,NA,0.388507777,NA,1.172123324,0.051438847,0.054051233,NA,0.087598296,1.130678636,0.329102195,0.339898763
NAAT,0.778335634,0.849726596,NA,0.165921984,0.590061485,0.2292499,0.053253957,0.378017464,NA,0.162863525,1.687220929,0.291867555,0.03159867,0.406997395,0.676023099,2.018475294,0.142977654,0.414497311
PLER,0.241210174,NA,0.210150195,0.179044641,0.083768402,0.077082138,5.396785052,0.189405784,0.097940464,0.043819364,0.0030074,0.087414699,0.158672244,0.081296616,0.048105654,0.707652854,0.139554401,0.338418089
SACA,2.354301847,NA,0.102454526,NA,0.84189707,0.012112996,0.299022571,NA,0.009279201,0.036806065,0.582942709,0.324393484,0.151661621,0.789955082,0.200286388,0.475324372,0.17143129,0.574845128
