"Quad.outcome","Rob.outcome","Bir.outcome","Pallid.outcome","PerO.outcome","Imm.outcome","Gau.outcome"
0,0,0,0,0,0.78125,0
0,0,0,0,0,0.78125,0
0,0,0,0,0,0,0
0,0,0,0,0,0.78125,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0.78125,0,0,0
0,0,0,0,0,0,0
0,0,0.78125,0,0,0,0
0,0,0,0,0,0,0
0,0,0.78125,0,0,0,0
0,0,0,0,0,0.78125,0
0,0,0.78125,0,0,0,0
0,0,0.78125,0,0,0,0
0,0,0.78125,0,0,0,0
0,0,0,0.78125,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
