"Quad.action","Rob.action","Bir.action","Pallid.action","PerO.action","Imm.action","Gau.action"
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0.0833333333333333,0.1,0
0,0,0,0,0.05,0.183333333333333,0
0,0,0,0.0833333333333333,0,0,0
0,0,0,0.05,0,0,0
0,0,0,0.1,0,0,0
0,0,0,0.183333333333333,0,0,0
0,0,0,0,0,0.05,0
0,0,0,0.15,0,0.1,0
0,0,0,0.0333333333333333,0.05,0,0
0,0,0,0.0833333333333333,0.1,0,0
0,0,0,0,0,0,0.0833333333333333
0,0.15,0,0,0,0,0.05
0,0.0333333333333333,0,0.183333333333333,0,0,0
0,0.0833333333333333,0,0,0,0,0
0,0.05,0,0.15,0,0,0
0,0.1,0,0.0333333333333333,0,0,0
0.05,0,0,0,0,0,0
0.1,0,0,0,0,0,0
0.183333333333333,0,0,0,0,0,0
0,0,0,0,0,0,0
0.15,0,0,0,0,0,0.183333333333333
0.0333333333333333,0,0,0,0,0,0
0.0833333333333333,0.1,0,0,0,0,0
0.05,0.183333333333333,0,0,0,0,0
0.1,0,0,0,0,0,0
0.183333333333333,0.15,0,0,0,0,0
