Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_0-0-1-1-1-1-0-1-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000826991	0.00058132	0.000947319	0.000505051	0	0.000882076	0.00066831	0.00441107	0	0	0.187481	0.131787	0.21476	0.114496	0	0.199969	0.151508	0	0	25	25	25	25	0	25	25	150	0	0	0.166667	0.166667	0.166667	0.166667	0	0.166667	0.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00375585	0.00226514	0.0063694	0.00287808	0	0.00745701	0.00562023	0.0283457	0	0	0.132501	0.0799113	0.224704	0.101535	0	0.263074	0.198275	0	0	22	24	23	22	0	23	25	139	0	0	0.158273	0.172662	0.165468	0.158273	0	0.165468	0.179856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0174318	0.00889361	0.0461934	0.0189284	0	0.0571516	0.0472636	0.195863	0	0	0.0890003	0.0454074	0.235846	0.0966415	0	0.291795	0.24131	0	0	21	23	23	22	0	20	25	134	0	0	0.156716	0.171642	0.171642	0.164179	0	0.149254	0.186567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	1	0	0	0	3	4	0	0	0.0736006	0.0334335	0.0220808	0.0560301	0	0.0245693	0.0295518	0.239266	0	0	0.30761	0.139734	0.0922856	0.234175	0	0.102686	0.12351	0	0	20	20	7	15	0	4	7	73	0	0	0.273973	0.273973	0.0958904	0.205479	0	0.0547945	0.0958904	0	0	0.00802439	0	0.27796	0.0609207	0	0.458201	0.367856	1.17296	0	0	0.00684114	0	0.236973	0.0519375	0	0.390636	0.313613	0	0	1	0	14	5	0	15	18	53	0	0	0.0188679	0	0.264151	0.0943396	0	0.283019	0.339623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	4	1	4	4	0	4	12	29	0	0	0.0259617	0.0446611	0	0.00746667	0	0	0	0.0780894	0	0	0.332461	0.571922	0	0.0956169	0	0	0	0	0	6	11	0	1	0	0	0	18	0	0	0.333333	0.611111	0	0.0555556	0	0	0	0	0	0.355959	0.0706204	0.879111	0.538656	0	1.03702	1.10204	3.9834	0	0	0.0893606	0.0177287	0.220694	0.135225	0	0.260335	0.276657	0	0	15	5	21	17	0	18	23	99	0	0	0.151515	0.050505	0.212121	0.171717	0	0.181818	0.232323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	6	2	7	7	0	14	17	53	0	0	0	0.00341798	0	0	0	0	0.000218543	0.00363653	0	0	0	0.939903	0	0	0	0	0.0600967	0	0	0	1	0	0	0	0	2	3	0	0	0	0.333333	0	0	0	0	0.666667	0	0	0.930449	0.309882	1.39579	1.08446	0	1.42901	1.64013	6.78971	0	0	0.137038	0.0456399	0.205575	0.159721	0	0.210467	0.24156	0	0	21	13	20	18	0	17	22	111	0	0	0.189189	0.117117	0.18018	0.162162	0	0.153153	0.198198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	9	3	14	14	0	16	20	76	0	0	0	0	0	0	0	0.000343298	0.00228955	0.00263285	0	0	0	0	0	0	0	0.13039	0.86961	0	0	0	0	0	0	0	3	10	13	0	0	0	0	0	0	0	0.230769	0.769231	0	0	1.43088	0.707625	1.80946	1.3752	0	1.62041	2.12058	9.06416	0	0	0.157861	0.0780685	0.199628	0.151718	0	0.178772	0.233953	0	0	20	14	19	16	0	15	21	105	0	0	0.190476	0.133333	0.180952	0.152381	0	0.142857	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	17	3	23	21	0	18	35	117	0	0	0	0.000105935	0.000833611	0.000596111	0	0.00348944	0.014365	0.01939	0	0	0	0.00546338	0.0429917	0.0307431	0	0.17996	0.740842	0	0	0	1	2	2	0	11	11	27	0	0	0	0.037037	0.0740741	0.0740741	0	0.407407	0.407407	0	0	1.65141	1.08324	2.15641	1.66574	0	1.9933	2.64454	11.1946	0	0	0.147518	0.0967641	0.192629	0.148798	0	0.178058	0.236233	0	0	17	14	18	15	0	15	21	100	0	0	0.17	0.14	0.18	0.15	0	0.15	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	21	4	37	28	0	25	35	150	0	0	0	0.000517119	0.00450363	0.00247099	0	0.023041	0.0339185	0.0644512	0	0	0	0.00802342	0.0698765	0.0383389	0	0.357494	0.526267	0	0	0	2	4	3	0	14	16	39	0	0	0	0.0512821	0.102564	0.0769231	0	0.358974	0.410256	0	0	1.81951	1.33723	2.58833	2.03807	0	2.36249	3.21234	13.358	0	0	0.136212	0.100107	0.193766	0.152573	0	0.17686	0.240481	0	0	15	13	18	15	0	15	23	99	0	0	0.151515	0.131313	0.181818	0.151515	0	0.151515	0.232323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	23	10	46	28	0	28	48	183	0	0	0.000501234	0.00210345	0.00843271	0.00550549	0	0.0329508	0.0223569	0.0718506	0	0	0.00697607	0.0292754	0.117365	0.0766242	0	0.458601	0.311159	0	0	3	3	8	8	0	18	16	56	0	0	0.0535714	0.0535714	0.142857	0.142857	0	0.321429	0.285714	0	0	2.06199	1.56215	3.02946	2.24239	0	2.69545	3.78845	15.3799	0	0	0.134071	0.101571	0.196975	0.1458	0	0.175258	0.246325	0	0	14	12	19	15	0	18	28	106	0	0	0.132075	0.113208	0.179245	0.141509	0	0.169811	0.264151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
