Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_1-1-1-1-1-1-1-1-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0.000864069	0.000859993	0.000612722	0.000999472	0.000736258	0.000915949	0.000954162	0.000599801	0.000658906	0.00720133	0.119987	0.119421	0.0850845	0.13879	0.102239	0.127192	0.132498	0.0832903	0.0914978	25	25	25	25	25	25	25	25	25	225	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0.00342324	0.00247408	0.00273802	0.00400763	0.00521704	0.0054643	0.00586627	0.00507161	0.00548432	0.0397465	0.0861268	0.0622464	0.0688871	0.10083	0.131258	0.137479	0.147592	0.127599	0.137982	22	20	22	25	24	23	24	24	24	208	0.105769	0.0961538	0.105769	0.120192	0.115385	0.110577	0.115385	0.115385	0.115385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0.0133346	0.00785875	0.0128202	0.0160682	0.036537	0.0337431	0.0352012	0.0428829	0.0453658	0.243812	0.0546923	0.0322329	0.0525823	0.0659042	0.149857	0.138398	0.144379	0.175885	0.186069	20	18	22	25	23	21	23	23	23	198	0.10101	0.0909091	0.111111	0.126263	0.116162	0.106061	0.116162	0.116162	0.116162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	2	2	1	1	2	8	0.0573728	0.0252909	0.0539683	0.0576572	0.0204801	0.0394992	0.0417491	0.037127	0.0416623	0.374807	0.153073	0.0674772	0.14399	0.153832	0.0546417	0.105385	0.111388	0.0990564	0.111157	20	18	19	22	5	8	10	7	10	119	0.168067	0.151261	0.159664	0.184874	0.0420168	0.0672269	0.0840336	0.0588235	0.0840336	0	0	0	0	0.244072	0.182286	0.148036	0.264695	0.300658	1.13975	0	0	0	0	0.214145	0.159936	0.129885	0.23224	0.263793	0	0	0	0	18	13	10	12	12	65	0	0	0	0	0.276923	0.2	0.153846	0.184615	0.184615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	1	1	8	5	5	3	6	29	0.0281379	0.0508357	0.0426745	0.0402441	0	0	0.00760082	0	0	0.169493	0.166012	0.299928	0.251777	0.237438	0	0	0.0448445	0	0	8	13	8	7	0	0	1	0	0	37	0.216216	0.351351	0.216216	0.189189	0	0	0.027027	0	0	0.180134	0.0243272	0.197828	0.158962	0.970605	0.743207	0.67644	0.96132	0.965931	4.87875	0.0369221	0.00498635	0.0405489	0.0325824	0.198945	0.152335	0.13865	0.197042	0.197987	10	3	10	12	22	18	18	19	21	133	0.075188	0.0225564	0.075188	0.0902256	0.165414	0.135338	0.135338	0.142857	0.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	2	0	2	2	20	10	9	9	19	73	0.0190197	0.0303729	0	0	0	0	0	0.000122128	0.000198897	0.0497137	0.382586	0.610957	0	0	0	0	0	0.00245663	0.00400086	3	5	0	0	0	0	0	1	2	11	0.272727	0.454545	0	0	0	0	0	0.0909091	0.181818	0.560071	0.183105	0.670989	0.564571	1.51476	1.24124	1.12562	1.46476	1.53492	8.86005	0.063213	0.0206664	0.0757319	0.0637209	0.170965	0.140094	0.127045	0.165322	0.173241	14	9	17	16	21	18	18	19	21	153	0.0915033	0.0588235	0.111111	0.104575	0.137255	0.117647	0.117647	0.124183	0.137255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	7	2	7	2	32	17	21	19	30	137	0	0	0	0	0	0.000796544	0	0.00098231	0.000746061	0.00252492	0	0	0	0	0	0.315474	0	0.389047	0.29548	0	0	0	0	0	2	0	1	3	6	0	0	0	0	0	0.333333	0	0.166667	0.5	0.955761	0.5343	1.14657	0.95654	1.95085	1.70245	1.5694	1.94725	1.98626	12.7494	0.0749652	0.0419079	0.0899312	0.0750263	0.153016	0.133532	0.123096	0.152733	0.155793	16	14	17	15	20	18	18	19	20	157	0.101911	0.089172	0.10828	0.0955414	0.127389	0.11465	0.11465	0.121019	0.127389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	11	7	10	2	37	18	26	26	39	176	0	0	0.000159087	0.000105204	0.00298706	0.00495946	0.000635471	0.00783767	0.00420145	0.0208854	0	0	0.00761712	0.00503721	0.143022	0.237461	0.0304265	0.37527	0.201167	0	0	1	1	8	4	3	3	4	24	0	0	0.0416667	0.0416667	0.333333	0.166667	0.125	0.125	0.166667	1.2826	0.924029	1.58359	1.0576	2.43064	2.02654	1.87909	2.29347	2.48602	15.9636	0.0803454	0.0578836	0.0992003	0.0662506	0.152262	0.126948	0.117711	0.143669	0.155731	15	14	17	12	20	17	17	18	20	150	0.1	0.0933333	0.113333	0.08	0.133333	0.113333	0.113333	0.12	0.133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	12	11	22	3	44	21	31	27	39	210	0	0	0	0.000399836	0.0151585	0.00235754	0.00300819	0.00173661	0.0100959	0.0327566	0	0	0	0.0122063	0.462761	0.0719717	0.0918347	0.0530156	0.30821	0	0	0	1	16	4	7	7	15	50	0	0	0	0.02	0.32	0.08	0.14	0.14	0.3	1.52035	1.20565	2.00998	1.35967	2.90423	2.34742	1.9848	2.64677	2.9918	18.9707	0.080142	0.0635536	0.105952	0.0716721	0.153091	0.123739	0.104625	0.139519	0.157707	14	13	17	12	20	18	15	18	21	148	0.0945946	0.0878378	0.114865	0.0810811	0.135135	0.121622	0.101351	0.121622	0.141892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	15	9	28	5	58	28	36	27	44	250	0	0	0.000308222	0.00151519	0.0235271	0.00961237	0.00984884	0.0127693	0.0145865	0.0721675	0	0	0.00427093	0.0209955	0.326007	0.133195	0.136472	0.176939	0.20212	0	0	2	1	18	4	11	12	18	66	0	0	0.030303	0.0151515	0.272727	0.0606061	0.166667	0.181818	0.272727	1.7062	1.40049	2.43072	1.65729	3.40974	2.80931	2.18955	2.53346	3.38278	21.5195	0.0792862	0.0650799	0.112954	0.0770133	0.158449	0.130547	0.101747	0.117729	0.157196	13	12	17	12	23	18	14	15	21	145	0.0896552	0.0827586	0.117241	0.0827586	0.158621	0.124138	0.0965517	0.103448	0.144828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
