Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_1-0-1-1-0-1-0-0-0.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0.000884538	0	0.000785544	0.000656476	0	0.000824821	0	0	0	0.00315138	0.280683	0	0.24927	0.208314	0	0.261733	0	0	0	25	0	25	25	0	25	0	0	0	100	0.25	0	0.25	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0.00358495	0	0.00335424	0.00261306	0	0.00486874	0	0	0	0.014421	0.248593	0	0.232594	0.181198	0	0.337615	0	0	0	24	0	22	24	0	21	0	0	0	91	0.263736	0	0.241758	0.263736	0	0.230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0.014445	0	0.0157064	0.0104779	0	0.0314768	0	0	0	0.0721062	0.200329	0	0.217824	0.145313	0	0.436535	0	0	0	22	0	22	24	0	20	0	0	0	88	0.25	0	0.25	0.272727	0	0.227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	1	0	0	0	1	0.0574516	0	0.0618733	0.0373104	0	0.0285156	0	0	0	0.185151	0.310296	0	0.334178	0.201514	0	0.154013	0	0	0	19	0	20	23	0	7	0	0	0	69	0.275362	0	0.289855	0.333333	0	0.101449	0	0	0	0	0	0.00785622	0	0	0.1698	0	0	0	0.177656	0	0	0.0442216	0	0	0.955778	0	0	0	0	0	1	0	0	12	0	0	0	13	0	0	0.0769231	0	0	0.923077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	0	4	0	0	3	0	0	0	8	0.0281291	0	0.0262385	0.0440688	0	0.00609803	0	0	0	0.104534	0.269089	0	0.251003	0.421572	0	0.0583351	0	0	0	6	0	6	14	0	1	0	0	0	27	0.222222	0	0.222222	0.518519	0	0.037037	0	0	0	0.212056	0	0.300194	0.0856367	0	0.728582	0	0	0	1.32647	0.159865	0	0.22631	0.0645599	0	0.549264	0	0	0	12	0	15	6	0	17	0	0	0	50	0.24	0	0.3	0.12	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	5	0	7	2	0	9	0	0	0	23	0	0	0	0.0183567	0	0	0	0	0	0.0183567	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0.665893	0	0.882135	0.356579	0	1.22966	0	0	0	3.13426	0.212456	0	0.281449	0.113768	0	0.392327	0	0	0	17	0	20	14	0	18	0	0	0	69	0.246377	0	0.289855	0.202899	0	0.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	14	0	13	3	0	20	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1318	0	1.35082	0.836025	0	1.69161	0	0	0	5.01027	0.225897	0	0.269611	0.166862	0	0.33763	0	0	0	17	0	19	17	0	18	0	0	0	71	0.239437	0	0.267606	0.239437	0	0.253521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	17	0	14	4	0	26	0	0	0	61	0.000123342	0	0.000159467	0	0	0.00122005	0	0	0	0.00150286	0.0820715	0	0.106109	0	0	0.811819	0	0	0	1	0	1	0	0	3	0	0	0	5	0.2	0	0.2	0	0	0.6	0	0	0	1.47056	0	1.62952	1.21754	0	2.02483	0	0	0	6.34245	0.23186	0	0.256923	0.191966	0	0.31925	0	0	0	16	0	17	16	0	17	0	0	0	66	0.242424	0	0.257576	0.242424	0	0.257576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	21	0	18	7	0	31	0	0	0	77	0.000464855	0	0.000798751	0	0	0.00547226	0	0	0	0.00673587	0.069012	0	0.118582	0	0	0.812406	0	0	0	1	0	2	0	0	5	0	0	0	8	0.125	0	0.25	0	0	0.625	0	0	0	1.74779	0	1.70294	1.42853	0	2.2964	0	0	0	7.17566	0.243572	0	0.237321	0.19908	0	0.320026	0	0	0	15	0	14	14	0	16	0	0	0	59	0.254237	0	0.237288	0.237288	0	0.271186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	21	0	21	11	0	29	0	0	0	82	0.00244583	0	0.00300199	0.000207607	0	0.00691309	0	0	0	0.0125685	0.1946	0	0.23885	0.016518	0	0.550032	0	0	0	9	0	4	2	0	9	0	0	0	24	0.375	0	0.166667	0.0833333	0	0.375	0	0	0	1.8397	0	2.04895	1.62616	0	2.54421	0	0	0	8.05902	0.228279	0	0.254243	0.201782	0	0.315697	0	0	0	13	0	14	13	0	17	0	0	0	57	0.22807	0	0.245614	0.22807	0	0.298246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
