Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_1-1-1-0-1-1-1-1-0.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0.000836601	0.00100244	0.000856668	0	0.00101097	0.000848627	0.00118191	0.000983085	0	0.0067203	0.124489	0.149166	0.127475	0	0.150435	0.126278	0.175871	0.146286	0	25	25	25	0	25	25	25	25	0	175	0.142857	0.142857	0.142857	0	0.142857	0.142857	0.142857	0.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0.00341823	0.00250493	0.00365487	0	0.00690493	0.00519458	0.007535	0.00813538	0	0.0373479	0.0915239	0.0670701	0.0978601	0	0.184881	0.139086	0.201752	0.217827	0	23	17	21	0	24	23	24	23	0	155	0.148387	0.109677	0.135484	0	0.154839	0.148387	0.154839	0.148387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0.0136044	0.00726606	0.0171142	0	0.049359	0.0315451	0.0402589	0.0697359	0	0.228884	0.0594379	0.0317457	0.0747724	0	0.215651	0.137822	0.175893	0.304679	0	21	16	21	0	23	22	21	23	0	147	0.142857	0.108844	0.142857	0	0.156463	0.14966	0.142857	0.156463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	1	0	0	6	0	7	0.058314	0.0233895	0.0647518	0	0.0305687	0.0453737	0.0315649	0.0187384	0	0.272701	0.213839	0.0857699	0.237446	0	0.112096	0.166386	0.115749	0.068714	0	20	16	18	0	7	11	7	4	0	83	0.240964	0.192771	0.216867	0	0.0843373	0.13253	0.0843373	0.0481928	0	0	0	0.00804031	0	0.292468	0.16207	0.228293	0.579025	0	1.2699	0	0	0.00633147	0	0.230309	0.127625	0.179773	0.455962	0	0	0	1	0	14	11	14	19	0	59	0	0	0.0169492	0	0.237288	0.186441	0.237288	0.322034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	2	0	2	0	6	3	3	15	0	31	0.0310673	0.0688399	0.0325559	0	0	0	0.00643564	0	0	0.138899	0.223669	0.495612	0.234386	0	0	0	0.0463333	0	0	7	15	6	0	0	0	1	0	0	29	0.241379	0.517241	0.206897	0	0	0	0.0344828	0	0	0.217866	0	0.270608	0	0.89585	0.750147	0.877007	1.1032	0	4.11467	0.0529485	0	0.0657665	0	0.217721	0.18231	0.213141	0.268113	0	13	0	12	0	20	19	20	20	0	104	0.125	0	0.115385	0	0.192308	0.182692	0.192308	0.192308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	7	4	4	0	17	5	11	13	0	61	0.0192722	0	0	0	0	0	0	0.000367463	0	0.0196396	0.98129	0	0	0	0	0	0	0.0187102	0	3	0	0	0	0	0	0	3	0	6	0.5	0	0	0	0	0	0	0.5	0	0.695624	0.163578	0.737117	0	1.43944	1.16029	1.44425	1.48763	0	7.12793	0.0975912	0.0229489	0.103412	0	0.201944	0.162781	0.202619	0.208704	0	16	12	17	0	20	17	21	18	0	121	0.132231	0.0991736	0.140496	0	0.165289	0.140496	0.173554	0.14876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	10	4	12	0	30	12	20	19	0	107	0	0	0	0	0.000553402	0	0	0.0028663	0	0.0034197	0	0	0	0	0.161828	0	0	0.838172	0	0	0	0	0	1	0	0	7	0	8	0	0	0	0	0.125	0	0	0.875	0	1.19192	0.428205	1.13074	0	1.75908	1.4962	1.88336	1.70387	0	9.59337	0.124244	0.0446355	0.117866	0	0.183364	0.155962	0.196319	0.177609	0	19	11	16	0	18	16	20	16	0	116	0.163793	0.0948276	0.137931	0	0.155172	0.137931	0.172414	0.137931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	11	5	16	0	39	15	31	25	0	142	0.000108392	0	0	0	0.00512425	0.000362909	0.000529149	0.01175	0	0.0178747	0.00606396	0	0	0	0.286675	0.0203029	0.0296032	0.657355	0	1	0	0	0	5	1	2	10	0	19	0.0526316	0	0	0	0.263158	0.0526316	0.105263	0.526316	0	1.66973	0.728135	1.46286	0	2.20909	1.89721	2.38473	2.11079	0	12.4625	0.133979	0.0584259	0.117381	0	0.177259	0.152233	0.191352	0.169371	0	19	11	15	0	18	16	20	17	0	116	0.163793	0.0948276	0.12931	0	0.155172	0.137931	0.172414	0.146552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	19	12	18	0	41	23	37	28	0	178	0.000484599	0	0.000156567	0	0.0112427	0.00256123	0.00279935	0.0280689	0	0.0453134	0.0106944	0	0.0034552	0	0.248111	0.0565226	0.0617776	0.619439	0	2	0	1	0	12	3	9	16	0	43	0.0465116	0	0.0232558	0	0.27907	0.0697674	0.209302	0.372093	0	2.13941	0.915178	1.83808	0	2.51664	2.15363	2.87953	2.56715	0	15.0096	0.142536	0.0609728	0.12246	0	0.167668	0.143483	0.191846	0.171034	0	19	10	15	0	18	15	20	18	0	115	0.165217	0.0869565	0.130435	0	0.156522	0.130435	0.173913	0.156522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	25	9	24	0	47	21	42	31	0	199	0.00172541	0.000348919	0.000863043	0	0.0213227	0.00305069	0.0142107	0.0344402	0	0.0759616	0.0227143	0.00459335	0.0113616	0	0.280703	0.040161	0.187077	0.45339	0	2	2	5	0	18	6	17	22	0	72	0.0277778	0.0277778	0.0694444	0	0.25	0.0833333	0.236111	0.305556	0	2.6125	1.05625	2.20871	0	2.9876	2.38534	2.85967	3.10752	0	17.2176	0.151734	0.0613473	0.128282	0	0.17352	0.138541	0.16609	0.180485	0	19	9	15	0	20	15	17	21	0	116	0.163793	0.0775862	0.12931	0	0.172414	0.12931	0.146552	0.181034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
