Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_0-0-1-1-0-1-1-0-0.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000890958	0.000737049	0	0.000777209	0.000925506	0	0	0.00333072	0	0	0.267497	0.221288	0	0.233346	0.277869	0	0	0	0	25	25	0	25	25	0	0	100	0	0	0.25	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00406982	0.00295538	0	0.00461659	0.0057987	0	0	0.0174405	0	0	0.233355	0.169455	0	0.264705	0.332485	0	0	0	0	24	25	0	22	24	0	0	95	0	0	0.252632	0.263158	0	0.231579	0.252632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0184776	0.0116188	0	0.0303608	0.0362325	0	0	0.0966896	0	0	0.191102	0.120166	0	0.314003	0.37473	0	0	0	0	21	24	0	22	23	0	0	90	0	0	0.233333	0.266667	0	0.244444	0.255556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	1	0	0	1	0	0	0.079294	0.0435377	0	0.0323918	0.0374016	0	0	0.192625	0	0	0.411649	0.226023	0	0.16816	0.194168	0	0	0	0	20	22	0	10	10	0	0	62	0	0	0.322581	0.354839	0	0.16129	0.16129	0	0	0	0	0	0	0	0.159316	0.175911	0	0	0.335227	0	0	0	0	0	0.475248	0.524752	0	0	0	0	0	0	0	11	12	0	0	23	0	0	0	0	0	0.478261	0.521739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	4	7	0	0	11	0	0	0.0116174	0.039599	0	0.00712542	0	0	0	0.0583417	0	0	0.199126	0.678741	0	0.122132	0	0	0	0	0	3	10	0	1	0	0	0	14	0	0	0.214286	0.714286	0	0.0714286	0	0	0	0	0	0.310578	0.117132	0	0.670592	0.700039	0	0	1.79834	0	0	0.172703	0.0651334	0	0.372895	0.389269	0	0	0	0	15	10	0	18	19	0	0	62	0	0	0.241935	0.16129	0	0.290323	0.306452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	4	1	0	8	9	0	0	22	0	0	0	0.00766011	0	0	0	0	0	0.00766011	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0.823447	0.578524	0	1.09413	1.19269	0	0	3.68879	0	0	0.223229	0.156833	0	0.29661	0.323328	0	0	0	0	18	19	0	17	18	0	0	72	0	0	0.25	0.263889	0	0.236111	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	5	5	0	19	18	0	0	47	0	0	0	0	0	0	0.000385739	0	0	0.000385739	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.22878	1.13056	0	1.53304	1.65581	0	0	5.54819	0	0	0.221475	0.203771	0	0.276313	0.298441	0	0	0	0	17	20	0	17	18	0	0	72	0	0	0.236111	0.277778	0	0.236111	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	14	6	0	26	24	0	0	70	0	0	0	0	0	0.000891055	0.00318728	0	0	0.00407834	0	0	0	0	0	0.218485	0.781515	0	0	0	0	0	0	0	2	4	0	0	6	0	0	0	0	0	0.333333	0.666667	0	0	0	0	1.6635	1.59692	0	1.96029	2.00739	0	0	7.2281	0	0	0.230143	0.220932	0	0.271204	0.27772	0	0	0	0	17	19	0	17	17	0	0	70	0	0	0.242857	0.271429	0	0.242857	0.242857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	15	7	0	29	34	0	0	85	0	0	0.000170292	0.000108792	0	0.00606294	0.00694759	0	0	0.0132896	0	0	0.0128139	0.00818621	0	0.456217	0.522783	0	0	0	0	1	1	0	5	7	0	0	14	0	0	0.0714286	0.0714286	0	0.357143	0.5	0	0	0	0	2.08864	2.07692	0	2.12182	2.43896	0	0	8.72634	0	0	0.239349	0.238006	0	0.243151	0.279494	0	0	0	0	17	19	0	15	18	0	0	69	0	0	0.246377	0.275362	0	0.217391	0.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	22	11	0	26	40	0	0	99	0	0	0.000920444	0.000623661	0	0.00522882	0.00708751	0	0	0.0138604	0	0	0.066408	0.0449958	0	0.377248	0.511348	0	0	0	0	2	3	0	9	11	0	0	25	0	0	0.08	0.12	0	0.36	0.44	0	0	0	0	2.35989	2.54912	0	2.17151	2.92373	0	0	10.0043	0	0	0.235889	0.254804	0	0.217059	0.292249	0	0	0	0	16	19	0	15	21	0	0	71	0	0	0.225352	0.267606	0	0.211268	0.295775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
