Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_1-1-1-1-1-1-0-1-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0.000661164	0.000828497	0.000842047	0.000877645	0.000940409	0.000943723	0	0.000815418	0.000943036	0.00685194	0.0964929	0.120914	0.122892	0.128087	0.137247	0.137731	0	0.119005	0.137631	25	25	25	25	25	25	0	25	25	200	0.125	0.125	0.125	0.125	0.125	0.125	0	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0.00207093	0.00248251	0.00359898	0.00346339	0.00654839	0.00620648	0	0.00662975	0.00731742	0.0383179	0.0540462	0.0647872	0.0939245	0.0903857	0.170897	0.161974	0	0.17302	0.190966	20	22	21	24	24	25	0	24	24	184	0.108696	0.119565	0.11413	0.130435	0.130435	0.13587	0	0.130435	0.130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0.00858373	0.00742241	0.016852	0.0132399	0.0473142	0.0389554	0	0.0555875	0.0572264	0.245182	0.0350097	0.0302731	0.0687327	0.0540003	0.192976	0.158884	0	0.22672	0.233404	18	20	21	22	23	24	0	23	22	173	0.104046	0.115607	0.121387	0.127168	0.132948	0.138728	0	0.132948	0.127168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	1	0	0	1	3	5	0.0364791	0.0238929	0.0747065	0.0460575	0.0273473	0.0258801	0	0.020708	0.0131468	0.268218	0.136005	0.0890802	0.278529	0.171717	0.101959	0.096489	0	0.0772057	0.0490153	17	20	20	19	6	10	0	5	3	100	0.17	0.2	0.2	0.19	0.06	0.1	0	0.05	0.03	0	0	0	0	0.315246	0.229698	0	0.455536	0.423511	1.42399	0	0	0	0	0.221382	0.161306	0	0.319901	0.297412	0	0	0	0	17	14	0	18	16	65	0	0	0	0	0.261538	0.215385	0	0.276923	0.246154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	0	3	0	9	5	0	10	8	36	0.0418209	0.0720247	0.0152453	0.0374652	0	0	0	0	0	0.166556	0.251092	0.432435	0.0915326	0.22494	0	0	0	0	0	11	19	3	8	0	0	0	0	0	41	0.268293	0.463415	0.0731707	0.195122	0	0	0	0	0	0.11299	0	0.332986	0.146138	1.01246	0.848634	0	1.17263	0.962945	4.58878	0.024623	0	0.0725651	0.0318468	0.220639	0.184936	0	0.255542	0.209847	6	0	17	11	22	24	0	23	18	121	0.0495868	0	0.140496	0.0909091	0.181818	0.198347	0	0.190083	0.14876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	3	0	8	0	18	11	0	16	13	69	0.0175983	0.0243867	0	0.00302388	0	0	0	0.000120195	0.000301566	0.0454306	0.387366	0.53679	0	0.0665605	0	0	0	0.00264568	0.00663796	3	5	0	1	0	0	0	1	3	13	0.230769	0.384615	0	0.0769231	0	0	0	0.0769231	0.230769	0.428048	0.206626	0.828742	0.632157	1.45244	1.47511	0	1.7823	1.35804	8.16346	0.0524346	0.0253111	0.101518	0.0774374	0.177919	0.180697	0	0.218326	0.166356	13	14	18	18	20	23	0	23	17	146	0.0890411	0.0958904	0.123288	0.123288	0.136986	0.157534	0	0.157534	0.116438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	8	5	9	2	29	18	0	22	20	113	0	0	0	0.00572238	0.000596303	0	0	0.00129108	0.000763287	0.00837305	0	0	0	0.683428	0.071217	0	0	0.154195	0.09116	0	0	0	1	1	0	0	4	1	7	0	0	0	0.142857	0.142857	0	0	0.571429	0.142857	0.806673	0.615111	1.12365	1.13762	1.65052	2.06916	0	2.03882	1.68589	11.1274	0.072494	0.0552788	0.10098	0.102235	0.148329	0.185951	0	0.183224	0.151508	15	17	16	18	17	23	0	20	16	142	0.105634	0.119718	0.112676	0.126761	0.119718	0.161972	0	0.140845	0.112676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	9	9	15	4	28	27	0	25	22	139	0.000112072	0	0.00015481	0	0.00551552	0.000584056	0	0.00993678	0.00125368	0.0175569	0.00638333	0	0.00881759	0	0.314151	0.0332664	0	0.565975	0.0714063	1	0	1	0	7	2	0	8	4	23	0.0434783	0	0.0434783	0	0.304348	0.0869565	0	0.347826	0.173913	1.19095	1.05817	1.531	1.52144	1.90536	2.39474	0	2.37869	1.67407	13.6544	0.0872205	0.0774968	0.112125	0.111425	0.139541	0.175382	0	0.174207	0.122603	15	17	16	18	16	21	0	19	13	135	0.111111	0.125926	0.118519	0.133333	0.118519	0.155556	0	0.140741	0.0962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	14	15	22	9	32	24	0	25	25	166	0.000429265	0	0.00082324	0	0.0124133	0.00416985	0	0.0175097	0.00798704	0.0433324	0.00990633	0	0.0189983	0	0.286466	0.0962294	0	0.40408	0.18432	1	0	2	0	13	7	0	11	8	42	0.0238095	0	0.047619	0	0.309524	0.166667	0	0.261905	0.190476	1.57052	1.50121	1.92949	1.8061	2.2757	2.66501	0	2.29232	1.83099	15.8713	0.098953	0.0945865	0.121571	0.113796	0.143384	0.167914	0	0.144432	0.115364	15	17	16	17	17	19	0	16	12	129	0.116279	0.131783	0.124031	0.131783	0.131783	0.147287	0	0.124031	0.0930233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	18	15	26	11	36	28	0	28	30	192	0.00160924	0	0.00393635	9.39798e-005	0.0300419	0.0135345	0	0.0313041	0.0124329	0.092953	0.0173124	0	0.0423478	0.00101105	0.323194	0.145606	0	0.336774	0.133755	1	0	5	1	22	10	0	15	12	66	0.0151515	0	0.0757576	0.0151515	0.333333	0.151515	0	0.227273	0.181818	1.81948	1.79904	2.17143	2.18602	2.66925	3.14019	0	2.73554	2.14016	18.6611	0.0975012	0.0964056	0.116361	0.117143	0.143038	0.168275	0	0.146591	0.114685	14	16	15	17	18	20	0	17	13	130	0.107692	0.123077	0.115385	0.130769	0.138462	0.153846	0	0.130769	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
