Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_1-1-1-1-1-0-0-1-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0.000760051	0.000572562	0.000554883	0.00104488	0.000965374	0	0	0.000858399	0.000820623	0.00557677	0.136289	0.102669	0.0994989	0.187363	0.173106	0	0	0.153924	0.14715	25	25	25	25	25	0	0	25	25	175	0.142857	0.142857	0.142857	0.142857	0.142857	0	0	0.142857	0.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0.00322002	0.00160099	0.00221797	0.0036827	0.00652686	0	0	0.0070416	0.00667436	0.0309645	0.103991	0.0517042	0.0716294	0.118933	0.210785	0	0	0.227409	0.215549	24	17	19	23	24	0	0	24	23	154	0.155844	0.11039	0.123377	0.149351	0.155844	0	0	0.155844	0.149351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0.0135966	0.00511496	0.0102793	0.0145823	0.0468593	0	0	0.0498054	0.0528835	0.193121	0.0704042	0.0264858	0.0532272	0.0755084	0.242642	0	0	0.257897	0.273836	23	16	18	22	23	0	0	20	21	143	0.160839	0.111888	0.125874	0.153846	0.160839	0	0	0.13986	0.146853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	2	0	0	2	0	4	0.0585662	0.0150952	0.0413482	0.0523298	0.0285727	0	0	0.0387406	0.0165018	0.251155	0.233188	0.0601031	0.164633	0.208357	0.113766	0	0	0.15425	0.0657038	23	14	15	20	7	0	0	7	4	90	0.255556	0.155556	0.166667	0.222222	0.0777778	0	0	0.0777778	0.0444444	0	0	0	0	0.308237	0	0	0.387944	0.428067	1.12425	0	0	0	0	0.274172	0	0	0.34507	0.380759	0	0	0	0	15	0	0	13	17	45	0	0	0	0	0.333333	0	0	0.288889	0.377778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	1	1	10	0	0	8	4	24	0.0434688	0.0485562	0.0197376	0.0492502	0	0	0	0	0	0.161013	0.269971	0.301567	0.122584	0.305878	0	0	0	0	0	11	14	4	8	0	0	0	0	0	37	0.297297	0.378378	0.108108	0.216216	0	0	0	0	0	0.208003	0	0.158783	0.125966	0.983129	0	0	1.0962	1.08787	3.65995	0.0568322	0	0.043384	0.0344175	0.268618	0	0	0.299513	0.297236	12	0	10	9	22	0	0	20	21	94	0.12766	0	0.106383	0.0957447	0.234043	0	0	0.212766	0.223404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	4	1	3	2	19	0	0	17	12	58	0.0134358	0.0273902	0	0	0	0	0	0.000118743	0	0.0409447	0.328145	0.668955	0	0	0	0	0	0.00290007	0	2	5	0	0	0	0	0	1	0	8	0.25	0.625	0	0	0	0	0	0.125	0	0.695992	0.108133	0.574512	0.555698	1.58792	0	0	1.54011	1.56598	6.62836	0.105002	0.0163137	0.0866749	0.0838364	0.239565	0	0	0.232352	0.236255	20	8	14	16	22	0	0	19	20	119	0.168067	0.0672269	0.117647	0.134454	0.184874	0	0	0.159664	0.168067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	11	1	6	6	30	0	0	18	19	91	0	0	0	0	0.000540437	0	0	0.00136848	0.000371765	0.00228068	0	0	0	0	0.236963	0	0	0.600031	0.163006	0	0	0	0	1	0	0	5	4	10	0	0	0	0	0.1	0	0	0.5	0.4	1.28575	0.412681	0.961109	0.92496	2.0734	0	0	2.02111	1.89852	9.57753	0.134246	0.0430885	0.10035	0.096576	0.216486	0	0	0.211026	0.198227	21	13	14	15	21	0	0	19	18	121	0.173554	0.107438	0.115702	0.123967	0.173554	0	0	0.157025	0.14876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	12	6	13	8	36	0	0	22	31	128	0	0	0	0.00010217	0.00627122	0	0	0.0103047	0.00228003	0.0189581	0	0	0	0.00538926	0.330793	0	0	0.543551	0.120267	0	0	0	1	7	0	0	10	4	22	0	0	0	0.0454545	0.318182	0	0	0.454545	0.181818	1.59129	0.769064	1.32009	1.21391	2.59814	0	0	2.36924	2.34652	12.2083	0.130345	0.0629954	0.108131	0.0994337	0.212818	0	0	0.194069	0.192207	18	13	14	14	21	0	0	18	18	116	0.155172	0.112069	0.12069	0.12069	0.181034	0	0	0.155172	0.155172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	18	5	18	9	42	0	0	29	37	158	9.19941e-005	0	0	0.000391002	0.0163055	0	0	0.0270355	0.014418	0.0582421	0.00157951	0	0	0.00671339	0.279962	0	0	0.464192	0.247553	1	0	0	1	13	0	0	12	11	38	0.0263158	0	0	0.0263158	0.342105	0	0	0.315789	0.289474	1.93914	1.1082	1.54911	1.56683	2.82577	0	0	2.64551	2.78989	14.4245	0.134434	0.0768277	0.107394	0.108623	0.195902	0	0	0.183405	0.193414	17	13	13	14	20	0	0	17	18	112	0.151786	0.116071	0.116071	0.125	0.178571	0	0	0.151786	0.160714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	25	12	23	10	55	0	0	25	42	192	0.000635278	0	0.000167515	0.00199833	0.0148569	0	0	0.0320519	0.0227816	0.0724915	0.00876348	0	0.00231083	0.0275664	0.204947	0	0	0.442147	0.314265	3	0	1	4	14	0	0	14	17	53	0.0566038	0	0.0188679	0.0754717	0.264151	0	0	0.264151	0.320755	2.36072	1.33319	1.87068	1.91433	3.21733	0	0	3.20273	3.09479	16.9938	0.138917	0.0784517	0.11008	0.112649	0.189324	0	0	0.188465	0.182113	17	12	13	14	23	0	0	21	20	120	0.141667	0.1	0.108333	0.116667	0.191667	0	0	0.175	0.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
