Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_0-1-0-1-1-1-1-0-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0	0.000938261	0	0.000623622	0.000910819	0.000571554	0.000910598	0	0.000718666	0.00467352	0	0.200761	0	0.133437	0.194889	0.122296	0.194842	0	0.153774	0	25	0	25	25	25	25	0	25	150	0	0.166667	0	0.166667	0.166667	0.166667	0.166667	0	0.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0.00279169	0	0.00201226	0.00595023	0.00369205	0.00588558	0	0.00579436	0.0261262	0	0.106854	0	0.077021	0.22775	0.141316	0.225275	0	0.221784	0	22	0	21	23	24	25	0	23	138	0	0.15942	0	0.152174	0.166667	0.173913	0.181159	0	0.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0.00843363	0	0.00752158	0.0403417	0.0242822	0.0350863	0	0.0487277	0.164393	0	0.0513016	0	0.0457536	0.245398	0.147708	0.213429	0	0.29641	0	19	0	19	22	24	24	0	23	131	0	0.145038	0	0.145038	0.167939	0.183206	0.183206	0	0.175573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	2	1	0	0	4	7	0	0.0242313	0	0.0272272	0.019848	0.0666471	0.0431101	0	0.0392396	0.220303	0	0.109991	0	0.123589	0.0900941	0.302524	0.195685	0	0.178116	0	17	0	18	5	16	11	0	9	76	0	0.223684	0	0.236842	0.0657895	0.210526	0.144737	0	0.118421	0	0	0	0	0.224457	0.0894074	0.183486	0	0.370285	0.867636	0	0	0	0	0.2587	0.103047	0.211478	0	0.426774	0	0	0	0	13	7	13	0	14	47	0	0	0	0	0.276596	0.148936	0.276596	0	0.297872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	7	7	6	0	12	32	0	0.0581638	0	0.0253683	0	0	0.00774865	0	0	0.0912807	0	0.637197	0	0.277915	0	0	0.0848881	0	0	0	14	0	11	0	0	1	0	0	26	0	0.538462	0	0.423077	0	0	0.0384615	0	0	0	0.0165373	0	0.0529118	0.792441	0.771622	0.844947	0	1.11433	3.59279	0	0.00460292	0	0.0147272	0.220564	0.21477	0.235178	0	0.310157	0	2	0	4	18	23	22	0	23	92	0	0.0217391	0	0.0434783	0.195652	0.25	0.23913	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	2	0	2	18	13	12	0	17	64	0	0.0186657	0	0.0298309	0	0	0	0	0.000310065	0.0488067	0	0.382441	0	0.611206	0	0	0	0	0.00635293	0	3	0	6	0	0	0	0	3	12	0	0.25	0	0.5	0	0	0	0	0.25	0	0.22131	0	0.254581	1.27976	1.31029	1.4928	0	1.58808	6.14682	0	0.036004	0	0.0414167	0.208198	0.213165	0.242858	0	0.258358	0	13	0	8	18	21	23	0	21	104	0	0.125	0	0.0769231	0.173077	0.201923	0.221154	0	0.201923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	8	0	6	23	23	20	0	26	106	0	0	0	0	0.000601799	0	0	0	0.00241455	0.00301635	0	0	0	0	0.199513	0	0	0	0.800487	0	0	0	0	1	0	0	0	6	7	0	0	0	0	0.142857	0	0	0	0.857143	0	0.607814	0	0.520718	1.46061	1.85346	1.8942	0	2.12271	8.4595	0	0.0718499	0	0.0615543	0.172659	0.219098	0.223913	0	0.250926	0	15	0	12	15	21	21	0	21	105	0	0.142857	0	0.114286	0.142857	0.2	0.2	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	10	0	7	29	28	28	0	31	133	0	0	0	0	0.00590695	0.00202076	0.00120673	0	0.0164219	0.0255564	0	0	0	0	0.231134	0.0790707	0.0472185	0	0.642577	0	0	0	0	5	5	4	0	9	23	0	0	0	0	0.217391	0.217391	0.173913	0	0.391304	0	1.02065	0	0.856318	1.83565	2.3818	2.41428	0	2.26332	10.772	0	0.0947504	0	0.0794946	0.170409	0.22111	0.224125	0	0.210111	0	15	0	12	15	21	21	0	18	102	0	0.147059	0	0.117647	0.147059	0.205882	0.205882	0	0.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	9	0	12	33	32	39	0	37	162	0	0	0	0.000100229	0.0164967	0.012341	0.00733524	0	0.0220884	0.0583616	0	0	0	0.00171737	0.282664	0.211458	0.125686	0	0.378474	0	0	0	1	12	6	8	0	12	39	0	0	0	0.025641	0.307692	0.153846	0.205128	0	0.307692	0	1.40567	0	1.16419	2.08038	2.50107	2.80504	0	2.78857	12.7449	0	0.110293	0	0.0913453	0.163232	0.196241	0.220091	0	0.218798	0	15	0	12	15	18	20	0	21	101	0	0.148515	0	0.118812	0.148515	0.178218	0.19802	0	0.207921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	14	0	15	38	35	39	0	41	182	0	0	0	0.000475739	0.0247196	0.00479617	0.0164522	0	0.023863	0.0703067	0	0	0	0.00676663	0.351596	0.0682178	0.234006	0	0.339413	0	0	0	2	15	8	12	0	20	57	0	0	0	0.0350877	0.263158	0.140351	0.210526	0	0.350877	0	1.68057	0	1.36493	2.52568	3.01324	2.9959	0	3.27828	14.8586	0	0.113104	0	0.0918615	0.169981	0.202794	0.201627	0	0.220632	0	14	0	11	18	23	20	0	24	110	0	0.127273	0	0.1	0.163636	0.209091	0.181818	0	0.218182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
