Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_0-1-0-1-1-1-0-0-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0	0.000647051	0	0.000591691	0.000885724	0.000700419	0	0	0.000938462	0.00376335	0	0.171935	0	0.157225	0.235355	0.186116	0	0	0.249369	0	25	0	25	25	25	0	0	25	125	0	0.2	0	0.2	0.2	0.2	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0.0017452	0	0.00204211	0.00608344	0.00457097	0	0	0.00709717	0.0215389	0	0.0810256	0	0.0948105	0.28244	0.212219	0	0	0.329505	0	20	0	23	23	24	0	0	23	113	0	0.176991	0	0.20354	0.20354	0.212389	0	0	0.20354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0.0052166	0	0.00794759	0.042029	0.0266494	0	0	0.0564321	0.138275	0	0.0377263	0	0.0574768	0.303953	0.192728	0	0	0.408116	0	18	0	22	21	22	0	0	21	104	0	0.173077	0	0.211538	0.201923	0.211538	0	0	0.201923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	2	0	0	2	4	0	0.0167929	0	0.0318566	0.0282042	0.0360701	0	0	0.0264742	0.139398	0	0.120467	0	0.22853	0.202328	0.258756	0	0	0.189918	0	18	0	22	6	11	0	0	5	62	0	0.290323	0	0.354839	0.0967742	0.177419	0	0	0.0806452	0	0	0	0	0.23556	0.137286	0	0	0.336942	0.709789	0	0	0	0	0.331873	0.193419	0	0	0.474708	0	0	0	0	13	10	0	0	13	36	0	0	0	0	0.361111	0.277778	0	0	0.361111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	3	5	0	0	6	14	0	0.0506729	0	0.0451905	0	0.013114	0	0	0	0.108977	0	0.464985	0	0.414678	0	0.120337	0	0	0	0	17	0	14	0	2	0	0	0	33	0	0.515152	0	0.424242	0	0.0606061	0	0	0	0	0	0	0.0782267	0.853283	0.705875	0	0	0.90047	2.53785	0	0	0	0.030824	0.336222	0.278138	0	0	0.354816	0	0	0	6	19	19	0	0	17	61	0	0	0	0.0983607	0.311475	0.311475	0	0	0.278689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	2	0	2	11	7	0	0	12	34	0	0.0236137	0	0.0187764	0	0	0	0	0.000220726	0.0426108	0	0.554172	0	0.440648	0	0	0	0	0.00518005	0	7	0	3	0	0	0	0	2	12	0	0.583333	0	0.25	0	0	0	0	0.166667	0	0.132347	0	0.407151	1.3177	1.31687	0	0	1.18995	4.36402	0	0.0303268	0	0.0932972	0.301946	0.301756	0	0	0.272674	0	9	0	15	18	21	0	0	15	78	0	0.115385	0	0.192308	0.230769	0.269231	0	0	0.192308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	5	0	3	20	15	0	0	14	57	0	0.0179286	0	0	0	0.000467956	0	0	0.00183978	0.0202363	0	0.885961	0	0	0	0.0231245	0	0	0.0909146	0	3	0	0	0	1	0	0	5	9	0	0.333333	0	0	0	0.111111	0	0	0.555556	0	0.440712	0	0.848279	1.77642	1.7906	0	0	1.57027	6.42627	0	0.0685797	0	0.132002	0.276431	0.278637	0	0	0.244351	0	13	0	17	18	20	0	0	15	83	0	0.156627	0	0.204819	0.216867	0.240964	0	0	0.180723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	7	0	8	29	21	0	0	19	84	0	0	0	0	0.000277165	0.00330069	0	0	0.0124987	0.0160766	0	0	0	0	0.0172403	0.205311	0	0	0.777449	0	0	0	0	1	2	0	0	9	12	0	0	0	0	0.0833333	0.166667	0	0	0.75	0	0.850966	0	1.20295	1.71666	1.91522	0	0	1.80989	7.49569	0	0.113527	0	0.160486	0.229019	0.25551	0	0	0.241457	0	16	0	16	14	17	0	0	14	77	0	0.207792	0	0.207792	0.181818	0.220779	0	0	0.181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	7	0	11	31	23	0	0	27	99	0	0	0	9.4256e-005	0.0025813	0.0036146	0	0	0.0190868	0.025377	0	0	0	0.00371423	0.101718	0.142436	0	0	0.752131	0	0	0	1	6	5	0	0	9	21	0	0	0	0.047619	0.285714	0.238095	0	0	0.428571	0	1.17097	0	1.61059	2.06244	2.23074	0	0	2.21707	9.29181	0	0.126022	0	0.173334	0.221964	0.240076	0	0	0.238605	0	15	0	16	14	17	0	0	16	78	0	0.192308	0	0.205128	0.179487	0.217949	0	0	0.205128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	11	0	14	36	28	0	0	35	124	0	0	0	0.000337427	0.0154375	0.00836252	0	0	0.023623	0.0477605	0	0	0	0.00706498	0.323228	0.175093	0	0	0.494614	0	0	0	1	15	6	0	0	9	31	0	0	0	0.0322581	0.483871	0.193548	0	0	0.290323	0	1.44862	0	2.01006	2.40554	2.6632	0	0	2.54672	11.0741	0	0.130811	0	0.18151	0.217221	0.240488	0	0	0.22997	0	14	0	16	14	18	0	0	18	80	0	0.175	0	0.2	0.175	0.225	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
