Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_0-1-1-1-0-0-1-1-0.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0	0.000664743	0.000747628	0.000654672	0	0	0.000864568	0.000997884	0	0.00392949	0	0.169168	0.190261	0.166605	0	0	0.22002	0.253947	0	0	25	25	25	0	0	25	25	0	125	0	0.2	0.2	0.2	0	0	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0.00173706	0.00321837	0.00233663	0	0	0.00478728	0.00770407	0	0.0197834	0	0.087804	0.16268	0.118111	0	0	0.241984	0.389421	0	0	18	24	22	0	0	23	23	0	110	0	0.163636	0.218182	0.2	0	0	0.209091	0.209091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0.00537469	0.0128581	0.00817528	0	0	0.0275872	0.0660388	0	0.120034	0	0.0447764	0.10712	0.068108	0	0	0.229828	0.550167	0	0	17	21	20	0	0	21	23	0	102	0	0.166667	0.205882	0.196078	0	0	0.205882	0.22549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	1	2	0	3	0	0.0168087	0.0593988	0.0327648	0	0	0.0355789	0.0133321	0	0.157883	0	0.106463	0.37622	0.207525	0	0	0.225349	0.0844427	0	0	16	20	20	0	0	11	3	0	70	0	0.228571	0.285714	0.285714	0	0	0.157143	0.0428571	0	0	0	0	0	0	0	0.129722	0.492944	0	0.622666	0	0	0	0	0	0	0.208334	0.791667	0	0	0	0	0	0	0	9	18	0	27	0	0	0	0	0	0	0.333333	0.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	9	11	0	20	0	0.0540688	0.0233536	0.0401633	0	0	0.0077675	0	0	0.125353	0	0.431332	0.186303	0.320401	0	0	0.0619649	0	0	0	16	5	12	0	0	1	0	0	34	0	0.470588	0.147059	0.352941	0	0	0.0294118	0	0	0	0	0.254608	0.0886954	0	0	0.609487	1.01319	0	1.96598	0	0	0.129507	0.045115	0	0	0.310016	0.515362	0	0	0	15	7	0	0	18	19	0	59	0	0	0.254237	0.118644	0	0	0.305085	0.322034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	4	1	0	0	15	16	0	36	0	0.0190393	0	0.0126444	0	0	0	0.00012625	0	0.03181	0	0.598532	0	0.397499	0	0	0	0.00396886	0	0	3	0	3	0	0	0	1	0	7	0	0.428571	0	0.428571	0	0	0	0.142857	0	0	0.154722	0.777858	0.460372	0	0	1.18415	1.27838	0	3.85548	0	0.0401304	0.201754	0.119407	0	0	0.307135	0.331574	0	0	13	18	16	0	0	19	16	0	82	0	0.158537	0.219512	0.195122	0	0	0.231707	0.195122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	2	10	3	0	0	20	17	0	52	0	0	0	0	0	0	0.000360554	0.00188997	0	0.00225052	0	0	0	0	0	0	0.160209	0.839791	0	0	0	0	0	0	0	1	8	0	9	0	0	0	0	0	0	0.111111	0.888889	0	0	0.528948	1.18633	0.976714	0	0	1.50111	1.57305	0	5.76615	0	0.0917334	0.20574	0.169388	0	0	0.260331	0.272809	0	0	16	17	19	0	0	17	15	0	84	0	0.190476	0.202381	0.22619	0	0	0.202381	0.178571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	9	15	8	0	0	24	14	0	70	0	0	0	0	0	0	0.00372487	0.00734355	0	0.0110684	0	0	0	0	0	0	0.336531	0.663469	0	0	0	0	0	0	0	7	12	0	19	0	0	0	0	0	0	0.368421	0.631579	0	0	0.922492	1.52233	1.47564	0	0	1.82405	1.67665	0	7.42117	0	0.124306	0.205134	0.198843	0	0	0.245791	0.225928	0	0	15	16	19	0	0	16	14	0	80	0	0.1875	0.2	0.2375	0	0	0.2	0.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	12	13	12	0	0	29	17	0	83	0	0	0.000328693	0.000107012	0	0	0.0108431	0.0415074	0	0.0527862	0	0	0.00622689	0.00202728	0	0	0.205415	0.786331	0	0	0	2	1	0	0	10	15	0	28	0	0	0.0714286	0.0357143	0	0	0.357143	0.535714	0	0	1.2317	1.53207	1.96071	0	0	2.07839	1.89624	0	8.69912	0	0.141589	0.176118	0.225392	0	0	0.23892	0.217981	0	0	14	13	19	0	0	16	15	0	77	0	0.181818	0.168831	0.246753	0	0	0.207792	0.194805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	14	12	18	0	0	30	22	0	96	0	0	0.00160367	0.000514185	0	0	0.0261134	0.0264582	0	0.0546894	0	0	0.0293232	0.00940191	0	0	0.477485	0.48379	0	0	0	3	2	0	0	15	12	0	32	0	0	0.09375	0.0625	0	0	0.46875	0.375	0	0	1.47162	1.55314	2.43502	0	0	2.50223	2.52411	0	10.4861	0	0.14034	0.148114	0.232213	0	0	0.238623	0.24071	0	0	13	11	19	0	0	18	20	0	81	0	0.160494	0.135802	0.234568	0	0	0.222222	0.246914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	15	16	18	0	0	38	29	0	116	0	0	0.00717391	0.00227567	0	0	0.0320237	0.0196717	0	0.061145	0	0	0.117326	0.0372176	0	0	0.523734	0.321722	0	0	0	5	5	0	0	17	13	0	40	0	0	0.125	0.125	0	0	0.425	0.325	0	0	1.79396	1.82317	2.75352	0	0	2.84695	3.19204	0	12.4096	0	0.144562	0.146916	0.221885	0	0	0.229415	0.257223	0	0	13	11	18	0	0	21	24	0	87	0	0.149425	0.126437	0.206897	0	0	0.241379	0.275862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	20	20	19	0	0	49	39	0	147	0	0	0.012935	0.00931553	0	0	0.016036	0.0265165	0	0.0648031	0	0	0.199605	0.143751	0	0	0.247458	0.409186	0	0	0	5	10	0	0	16	16	0	47	0	0	0.106383	0.212766	0	0	0.340426	0.340426	0	0	2.11339	1.93343	2.69348	0	0	3.27193	3.61544	0	13.6277	0	0.155081	0.141875	0.197648	0	0	0.240094	0.265302	0	0	13	11	15	0	0	26	24	0	89	0	0.146067	0.123596	0.168539	0	0	0.292135	0.269663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
