"Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome"
0,0,0,0,0,0,0,0,117.91125,0,1.895,16.9625,0,0,0,0,0,0
4.395,0,0,31.7025,0,0,0,31.7025,0,1.895,4.395,0.49,0.49,4.395,0,0,9.23,57.77625
16.9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.23,0,0,0,0,0,1.895,0,0,0.49,9.23,0,0,4.395,0,0,31.7025,57.77625
0,0,0,0,0,0,0,0,57.77625,0,0,0,0,0,0,0,0,0
0,1.895,0,0,0,0,0,0,0,0,0,0,31.7025,4.395,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.23,0,0,0,0,57.77625,0
0,0,0,0,0,0,0,57.77625,0,0,0,0,57.77625,0,0,0,0,0
4.395,0,0,57.77625,0.49,0,0.49,0,16.9625,1.895,0.49,0.49,0,1.895,0,0,16.9625,57.77625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.91125,0
0,0,0,117.91125,0,0,0,0,57.77625,0,0,0,0,0,0,0,0,0
0,0,0,31.7025,0,0,1.895,31.7025,117.91125,4.395,9.23,0.49,9.23,0,0,0,57.77625,16.9625
0,0,0,0,0,0,0,0,0,0,0,117.91125,9.23,0,0,0,0,0
0,0,0,57.77625,0,0,0,0,57.77625,0,0,0,31.7025,0,0,0,0,0
4.395,0,0,117.91125,0,0,0.49,0,57.77625,9.23,4.395,16.9625,1.895,16.9625,0,0,31.7025,0
0,0,0,0,0,0,4.395,117.91125,0,0,0,0,0,0,0,0,0,0
9.23,0,0,0,0,0,9.23,31.7025,0,0,0,0,31.7025,9.23,0,0,0,0
0,0,0,0,0,0,0,31.7025,0,0,0,0,0,9.23,0,0,0,31.7025
0,0,0,0,0,0,0,0,0,9.23,0,0,0,0,0,0,117.91125,0
0.49,0,0,0,0,0,1.895,57.77625,0,0,0.49,0,0,1.895,0,0,117.91125,0
0,0,0,0,0,0,0,0,0,9.23,16.9625,0,0,0,0,0,0,117.91125
0,0,0,0,0.49,0,9.23,0,0,0,0,0,0,0,0,0,0,57.77625
0,0,0,0,0,0,0,0,0,0,0,9.23,0,0,0,0,0,0
0.49,0,0,0,0,0,0,31.7025,31.7025,0,0,0,16.9625,0.49,0,0,117.91125,0
0,0,0,0,0,0,0,0,0,4.395,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.91125
0,16.9625,0,0,0,0,4.395,0,0,1.895,0,0,117.91125,0,0,0,0,0
4.395,0,0,0,0,0,4.395,0,57.77625,0.49,0,0,57.77625,0,0,0,57.77625,0
0,0,0,31.7025,0,0,4.395,16.9625,0,1.895,0,9.23,9.23,1.895,0,0,117.91125,0
4.395,0,0,117.91125,0,0,0,0,117.91125,1.895,1.895,1.895,4.395,4.395,0,0,31.7025,57.77625
0,0,0,0,0,1.895,0,31.7025,0,1.895,0,117.91125,0,0,0,0,0,0
0,0,0,0,0.49,0,0,0,0,0.49,0,0,0,0,0,0,0,0
0.49,0,0,117.91125,0,0,9.23,0,0,0,0,0,16.9625,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,57.77625,0,0,0,117.91125,0
0,0,0,0,0,0,0,0,117.91125,0,0,0,0,0,0,0,0,0
9.23,0,0,0,0,0,0,0,117.91125,0,0,16.9625,57.77625,0,0,0,117.91125,0
0,0,0,0,0,0,0,16.9625,0,0,0,0,0,0,0,0,57.77625,0
4.395,0,0,117.91125,1.895,0,0,1.895,16.9625,1.895,0.49,0,16.9625,0,0,0,9.23,9.23
1.895,0,0,0,0,0.49,1.895,0,117.91125,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.49,0.49,16.9625,0,0,0,0,0,0,0,0,0,0
1.895,0,0,117.91125,0,0,0,57.77625,0,0,4.395,1.895,0,9.23,0,0,0,0
0,0,0,16.9625,0,0,9.23,16.9625,9.23,0,0,0,16.9625,0,0,0,31.7025,16.9625
0,0.49,0,0,0,0,57.77625,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31.7025,0,0,9.23,4.395,31.7025,0,0,0,31.7025,9.23,0,0,57.77625,4.395
0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,57.77625
0,0,0,117.91125,0,0,4.395,0,0,0,0,0,0,0,0,0,0,0
0.49,0,0,0,0,0,16.9625,0,0,0,0.49,0,31.7025,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16.9625,0,0,0,0,0,0,0,0
4.395,0,0,0,31.7025,0,0,1.895,0,1.895,9.23,4.395,57.77625,0,0,0,57.77625,16.9625
0,0,0,0,0,0,0,0,0,16.9625,0,0,0,0,0,0,0,117.91125
0,0,0,0,0,0,0,0,117.91125,0,0,31.7025,0,0,0,0,0,0
9.23,0,0,0,0,0,0.49,0,9.23,0,4.395,16.9625,0,0,0,0,57.77625,0
0,0,0,0,0,0,0,0,0,0,0,0,117.91125,0,0,0,0,0
0.49,0,0,0,0,0,0.49,1.895,0,31.7025,0,1.895,16.9625,9.23,0,0,57.77625,117.91125
0,0,0,0,0,0,0,31.7025,117.91125,0,0,0,31.7025,0,0,0,0,0
4.395,0,0,0,0,0,1.895,31.7025,31.7025,16.9625,0,0,0,9.23,0,0,117.91125,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57.77625,0,0,9.23,16.9625,0,0,0,0,0,1.895,0,0,57.77625,0
0,0,0,117.91125,0,0,1.895,4.395,0,4.395,0,1.895,16.9625,9.23,0,0,31.7025,57.77625
0,0,0,0,0,0,0,0,0,0,0,0,57.77625,0,0,0,117.91125,0
0,0,0,117.91125,0,0,0.49,31.7025,16.9625,4.395,4.395,0.49,31.7025,9.23,0,0,16.9625,31.7025
0,0,0,57.77625,0,0,0,0,0,0,0,0,57.77625,9.23,0,0,117.91125,0
0,0,0,0,0,0,0,0,0,0,0,16.9625,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16.9625,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9.23,0,0,0,31.7025,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0
4.395,0,0,117.91125,0,0,0.49,1.895,0,0.49,0,0,31.7025,4.395,0,0,31.7025,31.7025
0,0,0,57.77625,0,0,1.895,0,57.77625,9.23,1.895,0.49,16.9625,4.395,0,4.395,31.7025,31.7025
1.895,0,0,117.91125,0,0,0,0.49,117.91125,4.395,0,1.895,57.77625,4.395,0,0,9.23,16.9625
9.23,0,0,0,0,0,0,31.7025,9.23,0.49,4.395,31.7025,31.7025,9.23,0,0,16.9625,57.77625
0,0,0,0,0,0,0,117.91125,0,0,0,0,0,0,0,0,117.91125,0
0.49,0,0,31.7025,0,0,0,0,0,0,0,0,16.9625,0,0,0,117.91125,16.9625
