"Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome"
0,0,0,0,0,0,0,0,121.83,0,1.27,20,0,0,0,0,0,0
8.83,0,0,0,0,0,2,0,0,0.67,12,0,0,5.17,0,0,38.33,70
0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,59.17,0
0,0,0,0,0,0,0,0,0,0,0,0,34.33,0,0,0,0,57.17
4,0,0,56.33,0.04,0,0.67,0,21,2.17,0.5,0.67,0,2.17,0,0,13,62.83
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0
0,0,0,0,0,0,0,0,0,0,0,108.97,6.08,0,0,0,0,0
0,0,0,0,0,0,0,30.92,0,0,0,0,0,0,0,0,0,0
1.33,0,0,87.4,0,0,0,10.65,29.75,3.55,0,0.37,1.63,1.37,0,0,43.67,38.07
0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0
0,0,0,49.25,0,0,6.47,0,0,0,0.35,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,51.62,0,0,0,128.97,0
0,0,0,0,0,0,0,14.38,0,0,0,0,0,0,0,0,65.25,0
0,0,0,0,0,0.2,0.57,20.15,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,12.83,0,0,0,0,0,0,0,117.03
0.17,0,0,0,0,0,0.17,2.33,0,23.67,0,1.83,15.5,8.83,0,0,66.17,85.33
0,0,0,101.4,0,0,0.52,25.37,17.28,3.07,4.23,0.9,29.6,8.37,0,0,19.55,22.8
0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0
20.5,0,0,0,0,0,5.5,89.5,96.17,4.67,0,0,0.17,0,0,0,0,0
0,0,0,0,0,0,19.65,0,0,0,0,36.75,62.7,0,0,0,0,0
1.97,0,0,162.25,3.52,0,0,4.03,0,2.4,2.6,0,26.73,3.65,0,0,10.48,0
