"Achmi.action","Agrsm.action","Amocan.action","Andge.action","Asctu.action","Elyca.action","Koecr.action","Lesca.action","Liaas.action","Luppe.action","Monfi.action","Panvi.action","Petpu.action","Poapr.action","Queel.action","Quema.action","Schsc.action","Sornu.action","environment.initial","Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome","state_idx"
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,25.17,0,67584
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.33,0,0,0,0,57.17,135202
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2.85,0,0,125.58,0,0,0.7,0,56.42,12.27,5.85,14.72,2.53,12.73,0,0,22.85,0,130943
1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,3.33,0,0,0,0,0,3.18,0,63.57,0.75,0,0,43.8,0,0,0,65.45,0,86881
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,3.45,0,0,88.17,0,0,0,0,87.9,2.28,0.97,1.37,5.83,5.07,0,0,26.72,43.97,261999
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0.18,0,0,0,0,0,0,0,0,528
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.62,0,0,0,128.97,0,69632
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.7,0,0,0,0,0,0,0,0,0,256
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.67,0,0,0,0,0,0,0,0,0,0,0,66
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,64.92,139264
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.32,0,0,0,0,0,0,0,0,576
0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,35.13,0,0,9.58,0,8.48,0,0,0,0,0,0,0,60.12,32.63,229724
1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,7.85,0,0,0,0,0,0.25,0,12.02,0,3.75,18.7,0,0,0,0,44.68,0,68963
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,21.65,101.47,0,0,0,36.12,0,0,0,0,0,37248
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.08,131073
1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,4.52,0,0,112.02,0,0,0.27,2.28,0,0.25,0,0,32.88,5.22,0,0,21.88,30.42,259839
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,1024
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0.33,0,0,114.17,0,0,0,8.67,68.5,1.33,0,1.83,15.33,0,0,0,10.83,0,122879
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.5,0,0,122.5,0,0,0,15.48,72.83,0,7.27,0.25,20.25,6.1,0,0,4.1,0,131069
