"Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome"
0,0,0,0,0,0,0,0,115.9,0,2.04,16.82,0,0,0,0,0,0
0,0,0,53.9075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.57,0,0,53.9075,0,0,0,29.76,0,0.635,4.57,0.635,0.635,4.57,0,0,9.3475,53.9075
16.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.3475,0,0,0,0,0,2.04,0,0,0.635,9.3475,0,0,4.57,0,0,53.9075,115.9
0,2.04,0,0,0,0,0,0,0,0,0,0,29.76,4.57,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.635,0,0,0,9.3475,0,9.3475,16.82,53.9075,0,2.04,9.3475,16.82,2.04,0,0,29.76,53.9075
4.57,0,0,53.9075,0.635,0,0.635,0,16.82,2.04,0.635,0.635,0,2.04,0,0,16.82,53.9075
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9075,0
0,0,0,115.9,0,0,0,0,53.9075,0,0,0,0,0,0,0,0,0
4.57,0,0,29.76,0,0,2.04,0,0,2.04,0,2.04,29.76,4.57,0,0,29.76,29.76
0,0,0,0,0,0,0,0,0,0,0,115.9,4.57,0,0,0,0,0
0,0,0,53.9075,0,0,0,0,53.9075,0,0,0,53.9075,0,0,0,0,0
4.57,0,0,115.9,0,0,0.635,0,53.9075,9.3475,4.57,16.82,2.04,16.82,0,0,29.76,0
9.3475,0,0,0,0,0,16.82,29.76,0,0,0,0,29.76,4.57,0,0,0,0
0,0,0,16.82,0,0,0,0,0,0,0.635,0,0,2.04,0,0,0,29.76
0,0,0,0,0,0,0,29.76,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9.3475,16.82,0,0,0,0,0,0,115.9
