"Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome"
0,0,0,0,0,0,0,0,114.095,0,1.46,16.3125,0,0,0,0,0,0
8.28,0,0,0,0,0,1.46,0,0,0.355,8.28,0,0,8.28,0,0,52.07,114.095
0,0,0,0,0,0,0,0,0,0,0,8.28,0,0,0,0,52.07,0
0,0,0,0,0,0,0,0,0,0,0,0,29.4125,0,0,0,0,52.07
3.405,0,0,52.07,0,0,0.355,0,29.4125,1.46,0.355,0.355,0,1.46,0,0,16.3125,52.07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.07,0
0,0,0,0,0,0,0,0,0,0,0,114.095,8.28,0,0,0,0,0
0,0,0,0,0,0,0,29.4125,0,0,0,0,0,0,0,0,0,0
1.46,0,0,114.095,0,0,0,8.28,29.4125,3.405,0,0.355,1.46,1.46,0,0,52.07,29.4125
0,0,0,0,0,0,0,0,0,3.405,0,0,0,0,0,0,0,0
0,0,0,52.07,0,0,8.28,0,0,0,0.355,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,52.07,0,0,0,114.095,0
0,0,0,0,0,0,0,16.3125,0,0,0,0,0,0,0,0,52.07,0
0,0,0,0,0,0.355,0.355,16.3125,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16.3125,0,0,0,0,0,0,0,114.095
0.355,0,0,0,0,0,0.355,3.405,0,29.4125,0,1.46,16.3125,8.28,0,0,114.095,114.095
0,0,0,114.095,0,0,0.355,29.4125,16.3125,3.405,3.405,1.46,29.4125,8.28,0,0,16.3125,29.4125
0,0,0,0,0,0,0,0,0,16.3125,0,0,0,0,0,0,0,0
16.3125,0,0,0,0,0,8.28,114.095,114.095,8.28,0,0,0.355,0,0,0,0,0
0,0,0,0,0,0,16.3125,0,0,0,0,29.4125,52.07,0,0,0,0,0
1.46,0,0,114.095,0,0,0,3.405,0,3.405,3.405,0,29.4125,3.405,0,0,8.28,0
