"Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome"
0,0,0,0,0,0,0,0,107.09875,0,0.715,23.74,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.0625,0,0,0,0,23.74,0
4.785,0,0,41.57625,0,0,2.4725,0,0,2.4725,0,2.4725,23.74,4.785,0,0,41.57625,23.74
0,0,0,23.74,0,0,0.715,41.57625,107.09875,4.785,9.0625,0.715,9.0625,0,0,0,41.57625,16.0725
0.715,0,0,0,0,0,2.4725,41.57625,0,0,0,0,0,2.4725,0,0,107.09875,0
0,0,0,0,0,0,0,41.57625,0,0,0,0,0,0,0,0,0,0
4.785,0,0,0,0.715,0,0,9.0625,41.57625,9.0625,2.4725,9.0625,23.74,9.0625,0,0,16.0725,107.09875
0.715,0,0,0,0,0,0,41.57625,23.74,0,0,0,23.74,0.715,0,0,107.09875,0
4.785,0,0,41.57625,0,0,0,0,23.74,4.785,0,4.785,9.0625,4.785,0,0,107.09875,41.57625
4.785,0,0,107.09875,2.4725,0,0,2.4725,16.0725,2.4725,0.715,0,16.0725,0,0,0,9.0625,9.0625
0,0,0,107.09875,0,0,9.0625,9.0625,16.0725,9.0625,0,16.0725,9.0625,0,0,0,41.57625,41.57625
0.715,0,0,0,0,0,16.0725,0,0,0,0.715,0,23.74,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16.0725,0,0,0,0,0,0,0,0
9.0625,0,0,0,0,0,0.715,0,9.0625,0,4.785,16.0725,0,0,0,0,41.57625,0
0,0,0,0,0,0,0,0,0,23.74,0,0,0,0,0,0,107.09875,0
0,0,0,107.09875,0,0,2.4725,4.785,0,4.785,0,2.4725,16.0725,9.0625,0,0,23.74,41.57625
0,0,0,0,0,0,2.4725,0,107.09875,0,0,0,0,2.4725,0,0,0,0
0,0,0,107.09875,23.74,0,0,16.0725,0,2.4725,0,2.4725,16.0725,16.0725,0,0,23.74,107.09875
4.785,0,0,107.09875,0,0,0.715,2.4725,0,0.715,0,0,41.57625,4.785,0,0,23.74,41.57625
23.74,0,0,0,0,0,4.785,107.09875,107.09875,4.785,0,0,0.715,0,0,0,0,0
0,0,0,0,0,0,16.0725,0,0,0,0,0,0,0,0,0,0,0
