"Achmi.action","Agrsm.action","Amocan.action","Andge.action","Asctu.action","Elyca.action","Koecr.action","Lesca.action","Liaas.action","Luppe.action","Monfi.action","Panvi.action","Petpu.action","Poapr.action","Queel.action","Quema.action","Schsc.action","Sornu.action","environment.initial","Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome","state_idx"
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.95,0,0,0,0,0,0,0,0,0,272
0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.87,0,102.35,0,3.2,0,0,0,0,0,0,0,34166
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1.25,0,0,0,11.48,0,8.62,15.52,66.4,0,2.33,6.9,12.62,1.53,0,0,24.43,39.93,262103
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,65536
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2.85,0,0,125.58,0,0,0.7,0,56.42,12.27,5.85,14.72,2.53,12.73,0,0,22.85,0,130943
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,91.35,0,0,0,0,0,0,0,0,0,0,192
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,15.35,0,0,0,0,0,0,1.18,0,0,1.62,0,0,0,25.73,140296
1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0.23,1.63,0,118.18,0,0,0,0,0,0,0,0,0,353
1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1.77,0,0,109.2,0,0,0,56.62,0,0,3.58,1.88,0,6.7,0,0,0,0,60553
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,66.33,0,0,9,10.17,19.17,10.67,0,14,12.17,0,0,0,36.5,31.67,253919
1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0.67,0,0,0,0,0,13.83,0,0,0,0.5,0,22.83,0,0,0,0,0,21621
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,21.22,0,0,0,0,0,0,158.55,0,115200
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,86.5,0,0,0,0,63,151680
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,8192
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,2.05,0,0,86.62,0,0,0,0.75,85.27,4.08,0,1.4,54.67,3.72,0,0,10.5,14.27,245727
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6.67,0,0,0,0,0,0,24.17,9.5,0.33,4.67,25.83,23.17,8.83,0,0,15.17,53.17,262119
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0.17,0,0,40.17,0,0,0,0,0,0,0,0,15.83,0,0,0,94.33,16,233487
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.25,0,66593
0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,7.38,0,0,0,0,0,0,7.88,9.8,0,0,0,90.23,0,122384
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,8.75,0,0,0,0,0,0,2112
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2.47,0,0,90.12,0,0,1.18,12.6,24.07,12.67,8.55,0.47,0,0,0,0,12.8,75.8,249855
