"Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome"
0,0,0,0,0,0,0,117.065,0,0,0,0,0,0,0,0,0,0
0,0,0,117.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.42,0,0,0,0,30.905,0
4.995,0,0,55.905,0,0,0,17.025,0,0.635,4.995,0.635,0.635,2.285,0,0,4.995,55.905
9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.42,0,0,0,0,0,2.285,0,0,0.635,9.42,0,0,4.995,0,0,30.905,55.905
0,0,0,0,0,0,0,0,55.905,0,0,0,0,0,0,0,0,0
0,2.285,0,0,0,0,0,0,0,0,0,0,30.905,4.995,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9.42,0,117.065,0,2.285,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.42,0,0,0,0,55.905,0
0,0,0,0,0,0,0,0,0,0,0,0,30.905,0,0,0,0,55.905
0.635,0,0,0,9.42,0,9.42,17.025,55.905,0,2.285,9.42,17.025,2.285,0,0,30.905,30.905
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.905,0
0,0,0,117.065,0,0,0,0,55.905,0,0,0,0,0,0,0,0,0
0,0,0,30.905,0,0,0.635,30.905,117.065,4.995,4.995,0.635,9.42,0,0,0,55.905,17.025
0,0,0,0,0,0,0,0,0,0,0,117.065,4.995,0,0,0,0,0
0,0,0,55.905,0,0,0,0,55.905,0,0,0,30.905,0,0,0,0,0
0,0,0,0,0,0,0,30.905,0,0,0,0,0,4.995,0,0,0,30.905
0,0,0,0,0,0,0,0,0,4.995,0,0,0,0,0,0,117.065,0
0,0,0,17.025,0,0,0,0,0,0,0.635,0,0,2.285,0,0,0,30.905
4.995,0,0,0,0.635,0,0,9.42,30.905,9.42,2.285,9.42,30.905,9.42,0,0,17.025,117.065
0,0,0,0,0.635,0,0,0,0,0,0,4.995,0,0,0,0,0,0
0.635,0,0,0,0,0,0,30.905,30.905,0,0,0,17.025,0.635,0,0,117.065,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.065
4.995,0,0,55.905,0.635,0,0,0,30.905,4.995,0,4.995,9.42,4.995,0,0,55.905,30.905
4.995,0,0,0,0,0,2.285,0,55.905,0.635,0,0,55.905,0,0,0,55.905,0
0,0,0,30.905,0,0,2.285,17.025,0,2.285,0,9.42,9.42,2.285,0,0,117.065,0
4.995,0,0,117.065,0,0,0,0,117.065,2.285,0.635,2.285,4.995,4.995,0,0,30.905,55.905
0,0,0,0,0,2.285,0,55.905,0,2.285,0,117.065,0,0,0,0,0,0
0.635,0,0,0,0,0,0,30.905,0,0,0,0,0,9.42,0,0,0,0
0,0,0,55.905,0,0,4.995,0,0,0,0.635,0,0,0,0,0,0,0
0,0,0,0,0.635,0,0,0,0,0.635,0,0,0,0,0,0,0,0
0.635,0,0,117.065,0,0,9.42,0,0,0,0,0,17.025,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,55.905,0,0,0,117.065,0
0,0,0,0,0,0,0,0,117.065,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,17.025,0,0,0,0,0,0,0,0,55.905,0
4.995,0,0,117.065,2.285,0,0,2.285,17.025,2.285,0.635,0,17.025,0,0,0,9.42,9.42
2.285,0,0,0,0,0.635,2.285,0,117.065,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.635,0.635,17.025,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,17.025,0,0,0,0,0,0,0,0,0,0,0
2.285,0,0,117.065,0,0,0,55.905,0,0,4.995,2.285,0,9.42,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.065
0,0,0,17.025,0,0,4.995,17.025,9.42,0,0,0,17.025,0,0,0,55.905,17.025
0,0,0,55.905,0,0,9.42,9.42,17.025,9.42,0,17.025,9.42,0,0,0,30.905,30.905
0,0,0,30.905,0,0,9.42,4.995,30.905,0,0,0,30.905,9.42,0,0,55.905,4.995
0,0,0,0,0,0,0,0,0,0,0,0,0,0.635,0,0,0,55.905
0,0,0,117.065,0,0,4.995,0,0,0,0,0,0,0,0,0,0,0
0.635,0,0,0,0,0,17.025,0,0,0,0.635,0,30.905,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.025,0,0,0,0,0,0,0,0
2.285,0,0,0,30.905,0,0,2.285,0,2.285,9.42,2.285,55.905,0,0,0,55.905,17.025
0,0,0,0,0,0,0,0,0,17.025,0,0,0,0,0,0,0,117.065
0,0,0,0,0,0,0,0,117.065,0,0,30.905,0,0,0,0,0,0
0,0,0,30.905,0,0,9.42,0,9.42,0,0,0,0,0,0,0,55.905,30.905
0,0,0,0,0,0,0,0,0,0,0,0,117.065,0,0,0,0,0
0,0,0,0,0,0,0,17.025,117.065,0,0,0,30.905,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.025,0,0,0,0,0,0,117.065,0
2.285,0,0,0,0,0,0.635,30.905,30.905,17.025,0,0,0,9.42,0,0,117.065,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,117.065,0,0,2.285,4.995,0,4.995,0,2.285,17.025,9.42,0,0,30.905,55.905
0,0,0,0,0,0,4.995,0,55.905,0,0,0,0,2.285,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,55.905,0,0,0,117.065,0
0,0,0,55.905,0,0,0,0,0,0,0,0,55.905,9.42,0,0,117.065,0
0,0,0,0,0,0,0,0,0,0,0,17.025,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.025,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9.42,0,0,0,30.905,0,0,0,0,0,0
4.995,0,0,117.065,0,0,0.635,2.285,0,0.635,0,0,30.905,4.995,0,0,17.025,30.905
0,0,0,55.905,0,0,0.635,0,55.905,4.995,2.285,0.635,17.025,4.995,0,4.995,30.905,30.905
2.285,0,0,117.065,0,0,0,0.635,117.065,4.995,0,2.285,55.905,4.995,0,0,9.42,17.025
4.995,0,0,0,0,0,0,30.905,9.42,0.635,4.995,30.905,30.905,9.42,0,0,17.025,55.905
0,0,0,0,0,0,0,117.065,0,0,0,0,0,0,0,0,117.065,0
0.635,0,0,55.905,0,0,0,0,0,0,0,0,17.025,0,0,0,117.065,17.025
4.995,0,0,9.42,0.635,0,0,0,0,0,0,17.025,0,0,0,0,30.905,17.025
0,0,0,0,0,0,0,55.905,0,0,0,0,0,2.285,0,0,55.905,17.025
2.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.905,0
0,0,0,0,0,0,0,0,0,2.285,0,117.065,0,0,0,0,0,0
0,0,0,0,0,0,0,0,30.905,0.635,0,0,0,0,0,0,0,0
2.285,55.905,0,0,0,0,0.635,0,117.065,4.995,55.905,0,0,17.025,0,0,0,0
0,0,0,0,9.42,0,0,0,0,0,0,9.42,9.42,0,0,0,117.065,0
0,0,0,0,0,0,2.285,0,0,0,0,9.42,0,0,0,0,0,0
17.025,0,0,0,0,0,4.995,117.065,117.065,4.995,0,0,0.635,0,0,0,0,0
0,0,0,0,0,2.285,0,0,0,0,0,0,0,0.635,0,0,0,0
2.285,0,0,117.065,4.995,0,0,4.995,0,2.285,2.285,0,30.905,4.995,0,0,9.42,0
2.285,0,0,117.065,0,0,0.635,17.025,0,2.285,0,0.635,9.42,2.285,0.635,0,55.905,55.905
0,0,0,30.905,0,0,0,0,55.905,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,17.025,0,0,0,0,0,0,0,0,0,0,0
2.285,0,0,117.065,0,0,0.635,17.025,30.905,17.025,9.42,0.635,0,0,0,0,17.025,117.065
0.635,0,0,117.065,0,0,0,17.025,117.065,0,9.42,0.635,17.025,4.995,0,0,4.995,0
