"Tetra.action","Colp.action","Dexio.action","Loxo.action","Para.action","Spiro.action","temperature.initial","Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,1,0,0,0,0,15,0,0.0217615472030183,0,0,0,0
0,1,0,0,0,0,15,0,0.0213135002396683,0,0,0,0
0,1,0,0,0,0,15,0,0.0522458425894001,0,0,0,0
0,1,0,0,0,0,17,0,0.0611929148822039,0,0,0,0
0,1,0,0,0,0,17,0,0.0505383750562475,0,0,0,0
0,1,0,0,0,0,17,0,0.0513014074957963,0,0,0,0
0,1,0,0,0,0,19,0,0,0,0,0,0
0,1,0,0,0,0,19,0,0.0333455026137409,0,0,0,0
0,1,0,0,0,0,19,0,0.0326118526995611,0,0,0,0
0,1,0,0,0,0,21,0,0.0342170290646771,0,0,0,0
0,1,0,0,0,0,21,0,0.0180803650081144,0,0,0,0
0,1,0,0,0,0,21,0,0.032192839186764,0,0,0,0
0,1,0,0,0,0,23,0,0.00820834507922529,0,0,0,0
0,1,0,0,0,0,23,0,0.00790031132944143,0,0,0,0
0,1,0,0,0,0,23,0,0.0132736735507718,0,0,0,0
0,1,0,0,0,0,25,0,0.0191630142001754,0,0,0,0
0,1,0,0,0,0,25,0,0.0401804348283298,0,0,0,0
0,1,0,0,0,0,25,0,0.00738834413147713,0,0,0,0
0,1,1,0,0,0,15,0,0.0638591535525917,0.00396337327784484,0,0,0
0,1,1,0,0,0,15,0,0.0633319323903526,0.00538443153940937,0,0,0
0,1,1,0,0,0,17,0,0.0362974081791147,0.00391547137059301,0,0,0
0,1,1,0,0,0,17,0,0.0313306671735597,0.00545977752518936,0,0,0
0,1,1,0,0,0,19,0,0.040987620916884,0.00896442270338841,0,0,0
0,1,1,0,0,0,19,0,0.0443049941040109,0.00519034310588137,0,0,0
0,1,1,0,0,0,21,0,0.0532078171325358,0.00193502501362241,0,0,0
0,1,1,0,0,0,21,0,0.0317244029636638,0.00603900486377453,0,0,0
0,1,1,0,0,0,23,0,0.0367385816983184,0.000312590347561189,0,0,0
0,1,1,0,0,0,23,0,0.0434932790743227,0.00163337761274567,0,0,0
0,1,1,0,0,0,25,0,0.00417072222677593,0.0029083747213504,0,0,0
0,1,1,0,0,0,25,0,0.0122293698196163,0.00112388395664267,0,0,0
0,1,1,1,1,0,15,0,0.0155336818414782,0.000618365819652758,0.0161208775203936,0.0666629953619863,0
0,1,1,1,1,0,15,0,0.0236762926658794,0.00160410651768256,0.0112720225764924,0.0928214488684665,0
0,1,1,1,1,0,17,0,0.0265483988045707,0.000161233512256025,0.0322499568329881,0.0792309337374729,0
0,1,1,1,1,0,17,0,0.0356105317989935,0.00213415896768868,0.0225035727703553,0.0892741109161667,0
0,1,1,1,1,0,19,0,0.00745072802582458,1.86130042318116e-05,0.0136340200170499,0.0220578430556812,0
0,1,1,1,1,0,19,0,0.0247368173358184,0.00247321750576091,0.00683091720096011,0.0225942124995751,0
0,1,1,1,1,0,21,0,0.0295676095704992,0.000459399709222601,0.0126460851205033,0.0067195510357448,0
0,1,1,1,1,0,21,0,0.00985208578991015,0.00143777304074462,0.00573346095132535,0.0126808087950478,0
0,1,1,1,1,0,23,0,0.000837106853400588,0,0.00118797503128398,0.00261934640211831,0
0,1,1,1,1,0,23,0,0.00301921748371947,0,0.00605822937565934,0.00852296925867695,0
0,1,1,1,1,0,25,0,0.00697476426212983,0.000338263034465103,0.000111639987246676,0.00849432904214554,0
0,1,1,1,1,0,25,0,0.00229729706979623,0,0.00111400295705915,0.0140333510715819,0
0,1,1,1,1,1,15,0,0.0232193471673477,0.0013013538885735,0.0199368610277916,0.049022573247926,0.0998056690944552
0,1,1,1,1,1,15,0,0.0248171381852983,0.000738320797266174,0.02167787606159,0.0913748257070839,0.0290879437599107
0,1,1,1,1,1,17,0,0.013533689390483,6.27638460905893e-05,0.00737199030727512,0.0615898018555655,0.0390396868005266
0,1,1,1,1,1,17,0,0.0278647054714485,0.00042820409491378,0.013203687609619,0.0651921730753405,0.0124172398745994
0,1,1,1,1,1,19,0,0.0092837978821138,3.7137906793147e-05,0.00820907138404342,0.0443862848025637,0.00143384673048906
0,1,1,1,1,1,19,0,0.046349424300986,0.000189149918128782,0.0232004917525266,0.0398044154492121,0.0795872970378848
0,1,1,1,1,1,21,0,0.00618966553982466,5.9035929975828e-05,0.00322649812812368,0.0285144373776671,0.00981183668484122
