"Tetra.action","Colp.action","Dexio.action","Loxo.action","Para.action","Spiro.action"
0,0.00134995483501245,0,0,0,0
0,0.0108488157959029,0,0,0,0
0,0.00195991511501453,0,0,0,0
0,0.0122403010571385,0.0122403010571385,0.0122403010571385,0.0122403010571385,0
0,0.0155981997337144,0.0155981997337144,0.0155981997337144,0.0155981997337144,0
0,0.0227431348055878,0.0227431348055878,0.0227431348055878,0.0227431348055878,0
0,0.00134995483501245,0.00134995483501245,0.00134995483501245,0.00134995483501245,0.00134995483501245
0,0.0108488157959029,0.0108488157959029,0.0108488157959029,0.0108488157959029,0.0108488157959029
0,0.00195991511501453,0.00195991511501453,0.00195991511501453,0.00195991511501453,0.00195991511501453
0,0.0122403010571385,0.0122403010571385,0.0122403010571385,0,0.0122403010571385
0,0.0155981997337144,0.0155981997337144,0.0155981997337144,0,0.0155981997337144
0,0.0227431348055878,0.0227431348055878,0.0227431348055878,0,0.0227431348055878
0,0,0.00134995483501245,0,0,0
0,0,0.0108488157959029,0,0,0
0,0,0.00195991511501453,0,0,0
0,0,0.0122403010571385,0.0122403010571385,0,0
0,0,0.0155981997337144,0.0155981997337144,0,0
0,0,0.0227431348055878,0.0227431348055878,0,0
0,0,0.00134995483501245,0,0.00134995483501245,0
0,0,0.0108488157959029,0,0.0108488157959029,0
0,0,0.00195991511501453,0,0.00195991511501453,0
0,0,0.0122403010571385,0,0,0.0122403010571385
0,0,0.0155981997337144,0,0,0.0155981997337144
0,0,0.0227431348055878,0,0,0.0227431348055878
0,0,0,0.00134995483501245,0,0
0,0,0,0.0108488157959029,0,0
0,0,0,0.00195991511501453,0,0
0,0,0,0.0122403010571385,0.0122403010571385,0
0,0,0,0.0155981997337144,0.0155981997337144,0
0,0,0,0.0227431348055878,0.0227431348055878,0
0,0,0,0.00134995483501245,0,0.00134995483501245
0,0,0,0.0108488157959029,0,0.0108488157959029
0,0,0,0.00195991511501453,0,0.00195991511501453
0,0,0,0,0.0122403010571385,0
0,0,0,0,0.0155981997337144,0
0,0,0,0,0.0227431348055878,0
0,0,0,0,0,0.00134995483501245
0,0,0,0,0,0.0108488157959029
0,0,0,0,0,0.00195991511501453
0,0.0122403010571385,0,0,0.0122403010571385,0.0122403010571385
0,0.0155981997337144,0,0,0.0155981997337144,0.0155981997337144
0,0.0227431348055878,0,0,0.0227431348055878,0.0227431348055878
0,0,0.00134995483501245,0.00134995483501245,0,0.00134995483501245
0,0,0.0108488157959029,0.0108488157959029,0,0.0108488157959029
0,0,0.00195991511501453,0.00195991511501453,0,0.00195991511501453
0,0,0,0.0122403010571385,0.0122403010571385,0.0122403010571385
0,0,0,0.0155981997337144,0.0155981997337144,0.0155981997337144
0,0,0,0.0227431348055878,0.0227431348055878,0.0227431348055878
0.00134995483501245,0,0.00134995483501245,0,0,0.00134995483501245
0.0108488157959029,0,0.0108488157959029,0,0,0.0108488157959029
0.00195991511501453,0,0.00195991511501453,0,0,0.00195991511501453
0.0122403010571385,0,0,0,0,0
0.0155981997337144,0,0,0,0,0
0.0227431348055878,0,0,0,0,0
0.00134995483501245,0.00134995483501245,0,0,0,0
0.0108488157959029,0.0108488157959029,0,0,0,0
0.00195991511501453,0.00195991511501453,0,0,0,0
0.0122403010571385,0.0122403010571385,0.0122403010571385,0.0122403010571385,0.0122403010571385,0
0.0155981997337144,0.0155981997337144,0.0155981997337144,0.0155981997337144,0.0155981997337144,0
0.0227431348055878,0.0227431348055878,0.0227431348055878,0.0227431348055878,0.0227431348055878,0
0.00134995483501245,0.00134995483501245,0.00134995483501245,0.00134995483501245,0.00134995483501245,0.00134995483501245
0.0108488157959029,0.0108488157959029,0.0108488157959029,0.0108488157959029,0.0108488157959029,0.0108488157959029
0.00195991511501453,0.00195991511501453,0.00195991511501453,0.00195991511501453,0.00195991511501453,0.00195991511501453
0.0122403010571385,0.0122403010571385,0.0122403010571385,0.0122403010571385,0,0.0122403010571385
0.0155981997337144,0.0155981997337144,0.0155981997337144,0.0155981997337144,0,0.0155981997337144
0.0227431348055878,0.0227431348055878,0.0227431348055878,0.0227431348055878,0,0.0227431348055878
0.00134995483501245,0.00134995483501245,0.00134995483501245,0,0.00134995483501245,0
0.0108488157959029,0.0108488157959029,0.0108488157959029,0,0.0108488157959029,0
0.00195991511501453,0.00195991511501453,0.00195991511501453,0,0.00195991511501453,0
0.0122403010571385,0.0122403010571385,0.0122403010571385,0,0.0122403010571385,0.0122403010571385
0.0155981997337144,0.0155981997337144,0.0155981997337144,0,0.0155981997337144,0.0155981997337144
0.0227431348055878,0.0227431348055878,0.0227431348055878,0,0.0227431348055878,0.0227431348055878
0.00134995483501245,0.00134995483501245,0.00134995483501245,0,0,0.00134995483501245
0.0108488157959029,0.0108488157959029,0.0108488157959029,0,0,0.0108488157959029
0.00195991511501453,0.00195991511501453,0.00195991511501453,0,0,0.00195991511501453
0.0122403010571385,0.0122403010571385,0,0.0122403010571385,0.0122403010571385,0
0.0155981997337144,0.0155981997337144,0,0.0155981997337144,0.0155981997337144,0
0.0227431348055878,0.0227431348055878,0,0.0227431348055878,0.0227431348055878,0
0.00134995483501245,0.00134995483501245,0,0.00134995483501245,0.00134995483501245,0.00134995483501245
0.0108488157959029,0.0108488157959029,0,0.0108488157959029,0.0108488157959029,0.0108488157959029
0.00195991511501453,0.00195991511501453,0,0.00195991511501453,0.00195991511501453,0.00195991511501453
0.0122403010571385,0.0122403010571385,0,0.0122403010571385,0,0.0122403010571385
0.0155981997337144,0.0155981997337144,0,0.0155981997337144,0,0.0155981997337144
0.0227431348055878,0.0227431348055878,0,0.0227431348055878,0,0.0227431348055878
0.00134995483501245,0.00134995483501245,0,0,0.00134995483501245,0.00134995483501245
0.0108488157959029,0.0108488157959029,0,0,0.0108488157959029,0.0108488157959029
0.00195991511501453,0.00195991511501453,0,0,0.00195991511501453,0.00195991511501453
0.0122403010571385,0,0.0122403010571385,0,0,0
0.0155981997337144,0,0.0155981997337144,0,0,0
0.0227431348055878,0,0.0227431348055878,0,0,0
0.00134995483501245,0,0.00134995483501245,0.00134995483501245,0.00134995483501245,0.00134995483501245
0.0108488157959029,0,0.0108488157959029,0.0108488157959029,0.0108488157959029,0.0108488157959029
0.00195991511501453,0,0.00195991511501453,0.00195991511501453,0.00195991511501453,0.00195991511501453
0.0122403010571385,0,0,0,0,0.0122403010571385
0.0155981997337144,0,0,0,0,0.0155981997337144
0.0227431348055878,0,0,0,0,0.0227431348055878
