"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0.0367385816983184,0.000312590347561189,0,0,0
0,0.0313306671735597,0.00545977752518936,0,0,0
0,0.0638591535525917,0.00396337327784484,0,0,0
0,0.00193102886246217,0.00142143789304972,0.0125582575403704,0,0.00529505407544001
0,0.00539623873611838,0.00198508353702209,0.0298200500636825,0,0.0270143471116611
0,0.0187903796105792,0.000985960631614714,0.00355482562407443,0,0.0543184340734131
0,0.0208964555941486,0.0018913652889888,0,0.0195491704169833,0.0177367993546305
0,0.0075676277254554,0.000712962876681217,0,0.00821373905852717,0.0207613118988016
0,0.0120666756709525,0.00144494408992579,0,0.00639719884611752,0.0233888796919862
0,0.0737418128777593,0.000682234156725114,0.0262478047589311,0,0
0,0.015308756018612,0.000432890975961937,0.0153705890938477,0,0
0,0.0129490008365275,0.00109383981903578,0.0240809630850493,0,0
0,0.0228070133518396,0,0.00870479030975651,0.0392174548616393,0.0144829885329571
0,0.0117041503001802,0,0.00788079877299656,0.00329632937332792,0.0293486395151581
0,0.00979554200085416,0,0.000117368031597822,0.0203363813806994,0.0254956894535473
0,0.0357467809357739,0,0,0,0.0677057889586024
0,0.0737758762230163,0,0,0,0.00994114758275637
0,0.00686168074581111,0,0,0,0.0462114798733321
0.00178252573844044,0.0790767658716976,0,0.0297716438754822,0,0
0.00113015156542235,0.0242684111030974,0,0.0109391568227887,0,0
0.000306413869864568,0.0619217825686644,0,0.0481189779916645,0,0
0,0,0.00262996341895741,0,0,0
0,0,0.0013604364866815,0,0,0
0,0,0.00231841478411422,0,0,0
0,0,0.00818017202402165,0.149753399773269,0,0
0,0,0.00711155702784139,0.0061923623386364,0,0
0,0,0.00948556067622797,0.133635534636727,0,0
0,0,0.00263470399336625,0,0,0.0108138994049032
0,0,0.00153568731335534,0,0,0.0384186763933362
0,0,0.00503401232404316,0,0,0.000787600859297131
0,0,0,0.0305996831366136,0,0.0262950017384991
0,0,0,0.0230161431460895,0,0.0398253792047374
0,0,0,0.0304608782648116,0,0.141752957592863
0,0,0,0,0.00870854471773687,0.0111905395965622
0,0,0,0,0.016316804105599,0
0,0,0,0,0.0630603494277851,0.0442759828584504
0,0,0,0,0,0.0728855729552618
0,0,0,0,0,0
0,0,0,0,0,0.0634640154464081
0,0.00451438815037514,0,0,0.00418857885468488,0.00239589494464833
0,0.0514229548851779,0,0,0.05454385571836,0.0534235884726822
0,0.0437116826761008,0,0,0.0109963762182558,0.0580015882283649
0,0,0.00166875429990021,0.00882174090892155,0,0.0197153757001609
0,0,0.00980050264919551,0.018869156744736,0,0.0697738647514597
0,0,0.00191072687852899,0.0293373446351716,0,0.0464598625912809
0.000366185511327406,0,0.00100481658590959,0,0,0.041687133017098
0.00131683323142018,0,0.000424655725615307,0,0,0.0516998482561838
0.000561161571476072,0,0.000146177555567598,0,0,0.0719449368392033
0.00080335704332495,0.0137887072980782,0,0,0,0
0,0.104978874136649,0,0,0,0
0.000130554604829584,0.0381048264658707,0,0,0,0
0.0018667398627357,0.0616213236241092,0.000204305825487735,0.0306753283621312,0,0
0.00152116213804446,0.000736639141973579,0.000171585811333615,0.0278587578409858,0,0
0.00426706885131012,0.0888123890907693,0.00212824552284725,0.0391489898629645,0,0
0.002383197,0.001290502,5.707246e-05,0,0.002004631,0
0.000952087777171271,0.0100343470049616,0.000303184556586473,0.00115754855466239,0.0133026143935928,0
0.00225872978249693,0.0220304071096297,0.000147782673469325,0.0106765986679963,0.0484911289291828,0
0.000571815,0.000388605,0.0003388585,0,0.007971941,0
0,0.02107572,0.0004349382,0,0.003218954,0
0.000276116,0.0009728672,1.056337e-05,0,0.002336507,0
0.0008247645,0.02145779,0.0006949978,0,0,0.02519244
0.0001713155,0.04613189,0.0008963589,0,0,0.01386263
0.0009898316,0.01263643,8.296181e-05,0,0,0.02500151
0,0,0,0.0001940775,0.0005453475,0
3.538656e-05,0.007968003,0,0.001617744,0.002035569,0
0.005127666,0.02326812,0,0.00533908,0.02902072,0
0.005016437,0.01374985,0,0.01405621,0.02117096,0
0,0.001452704,0,0.003719213,0.00570224,0.01319688
2.737901e-05,0.03004377,0,0.006435302,0.07898001,0.07628792
0.0114407,0.04822772,0,0.04570778,0,0.1187658
1.0792e-05,0.03509579,0,0.01839204,0,0.1101899
0.0009781754,0.002935628,0,0.02686135,0,0.03945398
0.007714451,0,0.02019402,0,0,0
0.00650685,0,0.02028045,0,0,0
0.02063733,0,0.009068805,0,0,0
0.0005747342,0,0.0002181218,0.0001722306,0.006940446,0
0.0001697498,0,0.00111944,0.001432069,0.04044076,0
0.00230868,0,0.0003689638,0.003300273,0.06201997,0
0.003647391,0,0.001196948,0.00722425,0.08692114,0.030988
0.007061184,0,0.00287754,0.01247768,0.0391198,0.01885476
0.00509687,0,0.003073074,0.01461576,0.06741794,0.05666329
0.01558452,0,0.01078887,0.08724062,0,0.03011658
0.000458041,0,0.0004151633,0.02061745,0,0.08625785
0.006657352,0,0.005014425,0.01748623,0,0.05463636
0.0001760816,0,0,0.01802269,0.06822418,0.04298194
0,0,0,0.001400847,0.02440434,0
0.001084852,0,0,0.01122246,0.01760465,0.02646769
0.001079685,0,0,0,0.03745368,0
0.0009367771,0,0,0,0.0172471,0
3.133195e-05,0,0,0,0.009903801,0
0.001311459,0,0.007718287,0,0.006686831,0
0.004671649,0,0.002711482,0,0.0201144,0
0.002425877,0,0.002257152,0,0.03872804,0
0.0001833496,0,0,0,0,0.02102659
