"Tetra.action","Colp.action","Dexio.action","Loxo.action","Para.action","Spiro.action"
0,0.00238526148566667,0,0.00238526148566667,0.00238526148566667,0.00238526148566667
0,0.0038672984808291,0,0.0038672984808291,0.0038672984808291,0.0038672984808291
0,0.00227622968,0,0.00227622968,0.00227622968,0.00227622968
0,0,0,0.01297438856033,0,0
0,0,0,0.0215780952684495,0,0
0,0,0,0.00440865912896939,0,0
0,0,0,0,0.00238526148566667,0.00238526148566667
0,0,0,0,0.0038672984808291,0.0038672984808291
0,0,0,0,0.00227622968,0.00227622968
0.01297438856033,0.01297438856033,0,0.01297438856033,0.01297438856033,0
0.0215780952684495,0.0215780952684495,0,0.0215780952684495,0.0215780952684495,0
0.00440865912896939,0.00440865912896939,0,0.00440865912896939,0.00440865912896939,0
0.00238526148566667,0.00238526148566667,0,0,0.00238526148566667,0.00238526148566667
0.0038672984808291,0.0038672984808291,0,0,0.0038672984808291,0.0038672984808291
0.00227622968,0.00227622968,0,0,0.00227622968,0.00227622968
0.01297438856033,0,0.01297438856033,0,0,0
0.0215780952684495,0,0.0215780952684495,0,0,0
0.00440865912896939,0,0.00440865912896939,0,0,0
0.00238526148566667,0,0,0.00238526148566667,0.00238526148566667,0
0.0038672984808291,0,0,0.0038672984808291,0.0038672984808291,0
0.00227622968,0,0,0.00227622968,0.00227622968,0
0.01297438856033,0,0,0.01297438856033,0.01297438856033,0.01297438856033
0.0215780952684495,0,0,0.0215780952684495,0.0215780952684495,0.0215780952684495
0.00440865912896939,0,0,0.00440865912896939,0.00440865912896939,0.00440865912896939
0.00238526148566667,0,0,0,0.00238526148566667,0
0.0038672984808291,0,0,0,0.0038672984808291,0
0.00227622968,0,0,0,0.00227622968,0
0.01297438856033,0,0.01297438856033,0,0.01297438856033,0
0.0215780952684495,0,0.0215780952684495,0,0.0215780952684495,0
0.00440865912896939,0,0.00440865912896939,0,0.00440865912896939,0
