"V1","V2","V3","V4","V5","V6"
0,0.0254562353174219,0,0,0,0
0,0.0254562353174219,0,0,0,0
0,0.0254562353174219,0,0,0,0
0,0,0.0069870100360393,0,0,0
0,0,0.0069870100360393,0,0,0
0,0,0.0069870100360393,0,0,0
0,0,0,0.145762221183754,0,0
0,0,0,0.145762221183754,0,0
0,0,0,0.145762221183754,0,0
0,0,0,0,0.562699929548143,0
0,0,0,0,0.562699929548143,0
0,0,0,0,0.562699929548143,0
0,0,0,0,0,0.742870707567705
0,0,0,0,0,0.742870707567705
0,0,0,0,0,0.742870707567705
0.00503456561434306,0,0,0,0,0
0.00503456561434306,0,0,0,0,0
0.00503456561434306,0,0,0,0,0
0,0.0931584111813379,0.00018344862863175,0.0423275746144584,0.0663506297677267,0
0,0.0931584111813379,0.00018344862863175,0.0423275746144584,0.0663506297677267,0
0,0.0931584111813379,0.00018344862863175,0.0423275746144584,0.0663506297677267,0
0.00142939276621564,0.059470100520909,0.000760174193803264,0.0166631686791844,0,0.0137502319074772
0.00142939276621564,0.059470100520909,0.000760174193803264,0.0166631686791844,0,0.0137502319074772
0.00142939276621564,0.059470100520909,0.000760174193803264,0.0166631686791844,0,0.0137502319074772
0.00797963268847686,0,0,0,0.242665392374417,0
0.00797963268847686,0,0,0,0.242665392374417,0
0.00797963268847686,0,0,0,0.242665392374417,0
0.0062112741990613,0,0.0024945703066965,0,0.168442831654447,0
0.0062112741990613,0,0.0024945703066965,0,0.168442831654447,0
0.0062112741990613,0,0.0024945703066965,0,0.168442831654447,0
