"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0.0317244029636638,0.00603900486377453,0,0,0
0,0.0638591535525917,0.00396337327784484,0,0,0
0,0.040987620916884,0.00896442270338841,0,0,0
0,0.0490095555733197,0,0,0.025162686961601,0
0,0.0108889327932365,0,0,0.00197481463926374,0
0,0.0141587456314507,0,0,0.00152510430610318,0
0,0,0.00256070048739447,0,0,0
0,0,0.00149954004679065,0,0,0
0,0,0.00818461607813202,0,0,0
0,0,0.00121556305960456,0,0.0382576055703729,0
0,0,0.00323408683110228,0,0.0460036913040004,0
0,0,0.000410072925137987,0,0.00818347680870203,0
0,0,0.000918643443185764,0,0,0.053249175791101
0,0,0.000385615073403032,0,0,0.0423130696350833
0,0,0.000376072264459317,0,0,0.152245903627091
0,0,0,0.0143576433826581,0.0924832600548237,0
0,0,0,9.08867281198305e-06,0.0369033358894151,0
0,0,0,0.00101536006560882,0.00138330666700837,0
0,0,0,0,0.0284779382823144,0.00711237442474706
0,0,0,0,0.00440458305331057,0.0268334014501997
0,0,0,0,0.00287440444661132,0.0632551574598569
0,0,0,0,0,0.0634640154464081
0,0,0,0,0,0
0,0,0,0,0,0.0332198664180196
0.003098939,0,0,0.1386964,0,0
0.0002000959,0,0,0.1273276,0,0
0.003935869,0,0,0.08003649,0,0
0.0001845524,0,0,0,0,0.01774988
0.0001833496,0,0,0,0,0.02102659
0.0008294614,0,0,0,0,0.02022826
