"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0.0346358081556618,0.000222604538146857,0.0346358081556618,0.101028754590626,0
0,0.0346358081556618,0.00209072592961727,0.00510267589512982,0.0199686428274401,0
0,0.0113029775535825,0.00209072592961727,0.00510267589512982,0.0113029775535825,0
0,0.0113029775535825,0.000222604538146857,0.0199686428274401,0,0
0,0.0113029775535825,0.000850654809684402,0.0199686428274401,0,0
0,0.101028754590626,0.000850654809684402,0.0346358081556618,0,0
0,0.00510267589512982,0,0,0.000222604538146857,0
0,0.0113029775535825,0,0,0.00510267589512982,0
0,0.0199686428274401,0,0,0.0199686428274401,0
0.000222604538146857,0.101028754590626,0,0.101028754590626,0,0
0.00209072592961727,0.101028754590626,0,0.101028754590626,0,0
0.000850654809684402,0.0199686428274401,0,0.0113029775535825,0,0
0,0,0,0.101028754590626,0,0
0,0,0,0.0346358081556618,0,0
0,0,0,0.101028754590626,0,0
0,0,0,0,0.0346358081556618,0.00510267589512982
0,0,0,0,0.000222604538146857,0.0113029775535825
0,0,0,0,0.000222604538146857,0.0113029775535825
0,0,0.000222604538146857,0.101028754590626,0,0.0199686428274401
0,0,0.000222604538146857,0.101028754590626,0,0.0199686428274401
0,0,0.000222604538146857,0.101028754590626,0,0.00510267589512982
0,0,0,0.00510267589512982,0.0113029775535825,0
0,0,0,0.0199686428274401,0.0113029775535825,0.0113029775535825
0,0,0,0.00510267589512982,0.0113029775535825,0
0.000850654809684402,0,0.000850654809684402,0,0,0.0199686428274401
0.00209072592961727,0,0.00209072592961727,0,0,0.0346358081556618
0.000850654809684402,0,0.000850654809684402,0,0,0.0346358081556618
0.000850654809684402,0,0,0,0,0
0.000222604538146857,0,0,0,0,0
0.0199686428274401,0,0,0,0,0
0.000850654809684402,0.101028754590626,0,0,0,0
0.000222604538146857,0.0346358081556618,0,0,0,0
0.00209072592961727,0.101028754590626,0,0,0,0
0.00209072592961727,0.0113029775535825,0,0.00510267589512982,0.0199686428274401,0
0.00209072592961727,0.00209072592961727,0.000222604538146857,0,0.00209072592961727,0
0,0.000222604538146857,0,0.00209072592961727,0.00510267589512982,0
0,0.0199686428274401,0.000222604538146857,0.0113029775535825,0.0346358081556618,0.0199686428274401
0.00209072592961727,0.0346358081556618,0.000222604538146857,0.0113029775535825,0.101028754590626,0.101028754590626
0.000222604538146857,0.0346358081556618,0.000222604538146857,0.0113029775535825,0.0346358081556618,0.101028754590626
0.000850654809684402,0.0346358081556618,0.000222604538146857,0.0199686428274401,0,0.101028754590626
0.00510267589512982,0.00510267589512982,0.000850654809684402,0.0346358081556618,0,0.0346358081556618
0.00510267589512982,0.0346358081556618,0.000850654809684402,0.0113029775535825,0,0.0199686428274401
0,0.00510267589512982,0.00209072592961727,0,0.00510267589512982,0
0.00510267589512982,0.0199686428274401,0.00209072592961727,0,0.0346358081556618,0
0.00209072592961727,0.0346358081556618,0.000850654809684402,0,0.0199686428274401,0
0.00510267589512982,0.101028754590626,0.000850654809684402,0,0,0.0199686428274401
0.000850654809684402,0.0113029775535825,0.000850654809684402,0,0,0.101028754590626
0.000850654809684402,0.0113029775535825,0.000850654809684402,0,0,0.101028754590626
0,0.000222604538146857,0,0.000850654809684402,0.00209072592961727,0.0199686428274401
0,0.000222604538146857,0,0.00510267589512982,0.0113029775535825,0.00510267589512982
0,0.000222604538146857,0,0.00510267589512982,0.0113029775535825,0.00510267589512982
0.000850654809684402,0,0,0.00209072592961727,0.0199686428274401,0
0.000850654809684402,0,0,0.000850654809684402,0.101028754590626,0
0.000222604538146857,0,0,0.000850654809684402,0.0199686428274401,0
0.000222604538146857,0,0,0,0.0346358081556618,0
0.000222604538146857,0,0,0,0.0346358081556618,0
0.000222604538146857,0,0,0,0.0346358081556618,0
0.0199686428274401,0,0.00510267589512982,0,0.00510267589512982,0
0.00209072592961727,0,0.0113029775535825,0,0.00510267589512982,0
0.0113029775535825,0,0.00209072592961727,0,0.0346358081556618,0
0.00510267589512982,0,0,0,0,0.101028754590626
0.000850654809684402,0,0,0,0,0.101028754590626
0.000222604538146857,0,0,0,0,0.0113029775535825
