"a","b","c","d","e","f","g","h","i","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","feasible.and.stable","state_idx"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,512
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,512
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,512
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,306,0,NA,128
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,299,0,NA,128
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,162,0,NA,128
0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,182,99,46,NA,448
0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,169,149,79,NA,448
0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,140,157,9,NA,448
0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,9,0,0,266,NA,288
0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,62,0,0,243,NA,288
0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,200,25,NA,416
0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,1,0,166,45,NA,416
0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,2,0,103,141,NA,416
0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,106,119,0,NA,224
0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,128,150,0,NA,224
0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,118,131,0,NA,224
0,0,0,0,1,0,0,0,0,1,0,0,0,0,236,0,0,0,0,NA,16
0,0,0,0,1,0,0,0,0,1,0,0,0,0,283,0,0,0,0,NA,16
0,0,0,0,1,0,0,0,0,1,0,0,0,0,286,0,0,0,0,NA,16
0,0,0,0,1,1,0,1,0,2,0,0,0,0,235,0,0,77,0,NA,176
0,0,0,0,1,1,0,1,0,3,0,0,0,0,230,17,0,50,0,NA,176
0,0,0,0,1,1,0,1,1,4,0,0,0,0,144,1,0,47,6,NA,432
0,0,0,0,1,1,0,1,1,4,0,0,0,0,163,4,0,39,14,NA,432
0,0,0,0,1,1,0,1,1,3,0,0,0,0,106,0,0,61,4,NA,432
0,0,0,0,1,1,1,0,0,3,0,0,0,0,251,2,77,0,0,NA,112
0,0,0,0,1,1,1,0,0,2,0,0,0,0,274,0,70,0,0,NA,112
0,0,0,0,1,1,1,0,0,3,0,0,0,0,113,4,84,0,0,NA,112
0,0,0,0,1,1,1,1,1,4,0,0,0,0,108,0,11,37,3,NA,496
0,0,0,0,1,1,1,1,1,3,0,0,0,0,272,0,0,40,23,NA,496
0,0,0,0,1,1,1,1,1,4,0,0,0,0,123,0,4,77,32,NA,496
0,0,0,1,0,0,0,0,0,1,0,0,0,188,0,0,0,0,0,NA,8
0,0,0,1,0,0,0,0,0,1,0,0,0,240,0,0,0,0,0,NA,8
0,0,0,1,0,0,0,0,0,1,0,0,0,236,0,0,0,0,0,NA,8
0,0,0,1,0,0,0,1,0,2,0,0,0,158,0,0,0,46,0,NA,136
0,0,0,1,0,0,0,1,0,2,0,0,0,231,0,0,0,29,0,NA,136
0,0,0,1,0,0,0,1,0,2,0,0,0,223,0,0,0,64,0,NA,136
0,0,0,1,0,0,0,1,1,3,0,0,0,211,0,0,0,17,35,NA,392
0,0,0,1,0,0,0,1,1,2,0,0,0,177,0,0,0,8,0,NA,392
0,0,0,1,0,0,0,1,1,2,0,0,0,298,0,0,0,25,0,NA,392
0,0,0,1,0,0,1,0,0,2,0,0,0,242,0,0,5,0,0,NA,72
0,0,0,1,0,0,1,0,0,2,0,0,0,199,0,0,109,0,0,NA,72
0,0,0,1,0,0,1,0,0,2,0,0,0,142,0,0,49,0,0,NA,72
0,0,0,1,0,0,1,0,1,2,0,0,0,254,0,0,1,0,0,NA,328
0,0,0,1,0,0,1,0,1,3,0,0,0,207,0,0,22,0,4,NA,328
0,0,0,1,0,0,1,0,1,3,0,0,0,300,0,0,65,0,1,NA,328
0,0,0,1,0,0,1,1,0,3,0,0,0,192,0,0,19,26,0,NA,200
0,0,0,1,0,0,1,1,0,3,0,0,0,231,0,0,1,40,0,NA,200
0,0,0,1,0,0,1,1,0,3,0,0,0,212,0,0,1,17,0,NA,200
0,0,0,1,0,1,0,0,0,2,0,0,0,194,0,18,0,0,0,NA,40
0,0,0,1,0,1,0,0,0,2,0,0,0,202,0,3,0,0,0,NA,40
0,0,0,1,0,1,0,1,1,3,0,0,0,227,0,0,0,8,12,NA,424
0,0,0,1,0,1,0,1,1,3,0,0,0,161,0,0,0,6,3,NA,424
0,0,0,1,0,1,0,1,1,4,0,0,0,203,0,2,0,8,3,NA,424
0,0,0,1,0,1,1,0,1,3,0,0,0,164,0,0,21,0,5,NA,360
0,0,0,1,0,1,1,0,1,3,0,0,0,152,0,0,9,0,4,NA,360
0,0,0,1,0,1,1,0,1,3,0,0,0,155,0,1,6,0,0,NA,360
0,0,0,1,0,1,1,1,1,3,0,0,0,207,0,0,15,16,0,NA,488
0,0,0,1,0,1,1,1,1,4,0,0,0,180,0,0,4,10,2,NA,488
0,0,0,1,0,1,1,1,1,4,0,0,0,157,0,0,84,9,3,NA,488
0,0,0,1,1,0,0,0,1,2,0,0,0,144,138,0,0,0,0,NA,280
0,0,0,1,1,0,0,0,1,2,0,0,0,137,86,0,0,0,0,NA,280
0,0,0,1,1,0,0,0,1,3,0,0,0,140,84,0,0,0,1,NA,280
0,0,0,1,1,0,0,1,0,3,0,0,0,125,138,0,0,14,0,NA,152
0,0,0,1,1,0,0,1,0,3,0,0,0,163,94,0,0,5,0,NA,152
0,0,0,1,1,0,0,1,0,3,0,0,0,82,56,0,0,18,0,NA,152
0,0,0,1,1,0,0,1,1,4,0,0,0,99,150,0,0,26,14,NA,408
0,0,0,1,1,0,0,1,1,4,0,0,0,99,74,0,0,5,1,NA,408
0,0,0,1,1,0,0,1,1,3,0,0,0,137,49,0,0,18,0,NA,408
0,0,0,1,1,0,1,1,1,4,0,0,0,77,162,0,4,9,0,NA,472
0,0,0,1,1,0,1,1,1,3,0,0,0,197,75,0,0,22,0,NA,472
0,0,0,1,1,0,1,1,1,2,0,0,0,140,92,0,0,0,0,NA,472
0,0,0,1,1,1,0,0,1,2,0,0,0,201,126,0,0,0,0,NA,312
0,0,0,1,1,1,0,0,1,3,0,0,0,134,90,0,0,0,2,NA,312
0,0,0,1,1,1,0,0,1,3,0,0,0,165,95,0,0,0,6,NA,312
0,0,0,1,1,1,0,1,1,3,0,0,0,111,80,0,0,3,0,NA,440
0,0,0,1,1,1,0,1,1,4,0,0,0,128,166,0,0,19,1,NA,440
0,0,0,1,1,1,0,1,1,4,0,0,0,210,51,0,0,1,1,NA,440
0,0,0,1,1,1,1,1,1,3,0,0,0,81,129,0,0,6,0,NA,504
0,0,0,1,1,1,1,1,1,5,0,0,0,107,45,0,20,20,9,NA,504
0,0,0,1,1,1,1,1,1,5,0,0,0,177,94,0,1,9,3,NA,504
0,0,1,0,0,0,0,0,0,1,0,0,257,0,0,0,0,0,0,NA,4
0,0,1,0,0,0,0,0,0,1,0,0,277,0,0,0,0,0,0,NA,4
0,0,1,0,0,0,0,0,1,2,0,0,209,0,0,0,0,0,111,NA,260
0,0,1,0,0,0,0,0,1,2,0,0,261,0,0,0,0,0,10,NA,260
0,0,1,0,0,0,0,0,1,2,0,0,172,0,0,0,0,0,121,NA,260
0,0,1,0,0,1,0,0,0,1,0,0,264,0,0,0,0,0,0,NA,36
0,0,1,0,0,1,0,0,0,1,0,0,257,0,0,0,0,0,0,NA,36
0,0,1,0,0,1,0,0,0,2,0,0,195,0,0,69,0,0,0,NA,36
0,0,1,0,0,1,0,1,0,2,0,0,96,0,0,0,0,131,0,NA,164
0,0,1,0,0,1,0,1,0,3,0,0,130,0,0,1,0,89,0,NA,164
0,0,1,0,0,1,0,1,0,2,0,0,160,0,0,0,0,57,0,NA,164
0,0,1,0,0,1,1,0,0,2,0,0,199,0,0,0,39,0,0,NA,100
0,0,1,0,0,1,1,0,0,3,0,0,177,0,0,2,85,0,0,NA,100
0,0,1,0,0,1,1,0,0,2,0,0,160,0,0,0,120,0,0,NA,100
0,0,1,0,1,0,0,0,1,3,0,0,37,0,217,0,0,0,4,NA,276
0,0,1,0,1,0,0,0,1,3,0,0,77,0,224,0,0,0,11,NA,276
0,0,1,0,1,0,0,0,1,3,0,0,116,0,219,0,0,0,13,NA,276
0,0,1,0,1,0,0,1,0,3,0,0,34,0,230,0,0,15,0,NA,148
0,0,1,0,1,0,0,1,0,3,0,0,13,0,182,0,0,33,0,NA,148
0,0,1,0,1,0,0,1,0,3,0,0,65,0,185,0,0,51,0,NA,148
0,0,1,0,1,0,1,0,0,3,0,0,36,0,191,0,4,0,0,NA,84
0,0,1,0,1,0,1,0,0,3,0,0,92,0,151,0,6,0,0,NA,84
0,0,1,0,1,0,1,0,0,3,0,0,61,0,159,0,75,0,0,NA,84
0,0,1,0,1,0,1,1,1,5,0,0,43,0,179,0,10,25,1,NA,468
0,0,1,0,1,0,1,1,1,5,0,0,30,0,119,0,20,24,29,NA,468
0,0,1,0,1,0,1,1,1,5,0,0,37,0,209,0,13,33,1,NA,468
0,0,1,0,1,1,0,0,0,2,0,0,67,0,306,0,0,0,0,NA,52
0,0,1,0,1,1,0,0,0,2,0,0,86,0,168,0,0,0,0,NA,52
0,0,1,0,1,1,0,1,0,3,0,0,19,0,225,0,0,17,0,NA,180
0,0,1,0,1,1,0,1,0,3,0,0,3,0,216,0,0,52,0,NA,180
0,0,1,0,1,1,0,1,0,3,0,0,53,0,164,0,0,2,0,NA,180
0,0,1,0,1,1,0,1,1,3,0,0,51,0,153,0,0,17,0,NA,436
0,0,1,0,1,1,0,1,1,4,0,0,10,0,287,0,0,29,26,NA,436
0,0,1,0,1,1,1,0,1,4,0,0,42,0,184,0,26,0,1,NA,372
0,0,1,0,1,1,1,0,1,4,0,0,85,0,142,0,3,0,8,NA,372
0,0,1,0,1,1,1,1,1,4,0,0,69,0,122,0,0,8,1,NA,500
0,0,1,0,1,1,1,1,1,5,0,0,78,0,183,0,5,16,8,NA,500
0,0,1,0,1,1,1,1,1,5,0,0,5,0,118,0,19,29,4,NA,500
0,0,1,1,0,0,0,0,0,2,0,0,63,210,0,0,0,0,0,NA,12
0,0,1,1,0,0,0,0,0,2,0,0,2,209,0,0,0,0,0,NA,12
0,0,1,1,0,0,0,0,0,2,0,0,15,173,0,0,0,0,0,NA,12
0,0,1,1,0,0,0,1,0,3,0,0,17,243,0,0,0,14,0,NA,140
0,0,1,1,0,0,0,1,0,3,0,0,13,192,0,0,0,26,0,NA,140
0,0,1,1,0,0,0,1,0,3,0,0,1,219,0,0,0,13,0,NA,140
0,0,1,1,0,0,0,1,1,3,0,0,22,251,0,0,0,1,0,NA,396
0,0,1,1,0,0,0,1,1,3,0,0,62,239,0,0,0,8,0,NA,396
0,0,1,1,0,0,0,1,1,3,0,0,11,234,0,0,0,15,0,NA,396
0,0,1,1,0,0,1,0,0,3,0,0,12,253,0,0,1,0,0,NA,76
0,0,1,1,0,0,1,0,0,3,0,0,95,132,0,0,13,0,0,NA,76
0,0,1,1,0,0,1,0,0,3,0,0,12,279,0,0,2,0,0,NA,76
0,0,1,1,0,0,1,0,1,3,0,0,30,210,0,0,10,0,0,NA,332
0,0,1,1,0,0,1,0,1,3,0,0,33,141,0,0,5,0,0,NA,332
0,0,1,1,0,0,1,0,1,2,0,0,36,157,0,0,0,0,0,NA,332
0,0,1,1,0,0,1,1,1,4,0,0,1,260,0,0,4,16,0,NA,460
0,0,1,1,0,0,1,1,1,3,0,0,0,208,0,0,1,8,0,NA,460
0,0,1,1,0,0,1,1,1,4,0,0,37,153,0,0,0,15,2,NA,460
0,0,1,1,0,1,0,1,0,3,0,0,17,174,0,0,0,16,0,NA,172
0,0,1,1,0,1,0,1,0,3,0,0,22,191,0,0,0,17,0,NA,172
0,0,1,1,0,1,0,1,0,3,0,0,12,196,0,0,0,21,0,NA,172
0,0,1,1,0,1,0,1,1,3,0,0,6,156,0,0,0,56,0,NA,428
0,0,1,1,0,1,0,1,1,3,0,0,28,190,0,0,0,11,0,NA,428
0,0,1,1,0,1,0,1,1,3,0,0,24,152,0,0,0,1,0,NA,428
0,0,1,1,0,1,1,0,1,3,0,0,18,191,0,0,0,0,2,NA,364
