"a","b","c","d","e","f","g","h","i","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","feasible.and.stable","state_idx"
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,206,0,0,NA,64
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,242,0,0,NA,64
0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,3,293,0,0,NA,96
0,0,0,1,0,0,1,0,0,2,0,0,0,142,0,0,49,0,0,NA,72
0,0,0,1,0,0,1,0,0,2,0,0,0,199,0,0,109,0,0,NA,72
0,0,0,1,0,0,1,0,0,2,0,0,0,242,0,0,5,0,0,NA,72
0,0,0,1,0,0,1,1,0,3,0,0,0,231,0,0,1,40,0,NA,200
0,0,0,1,0,0,1,1,0,3,0,0,0,192,0,0,19,26,0,NA,200
0,0,0,1,0,0,1,1,0,3,0,0,0,212,0,0,1,17,0,NA,200
0,0,0,1,0,1,0,0,1,2,0,0,0,167,0,0,0,0,63,NA,296
0,0,0,1,0,1,0,0,1,2,0,0,0,249,0,0,0,0,11,NA,296
0,0,0,1,0,1,0,0,1,2,0,0,0,246,0,0,0,0,2,NA,296
0,0,0,1,0,1,0,1,1,3,0,0,0,227,0,0,0,8,12,NA,424
0,0,0,1,0,1,0,1,1,3,0,0,0,161,0,0,0,6,3,NA,424
0,0,0,1,0,1,0,1,1,4,0,0,0,203,0,2,0,8,3,NA,424
0,0,0,1,1,0,1,1,0,4,0,0,0,116,37,0,2,11,0,NA,216
0,0,0,1,1,0,1,1,0,4,0,0,0,84,149,0,6,23,0,NA,216
0,0,0,1,1,0,1,1,0,4,0,0,0,125,55,0,37,4,0,NA,216
0,0,0,1,1,0,1,1,1,2,0,0,0,140,92,0,0,0,0,NA,472
0,0,0,1,1,0,1,1,1,3,0,0,0,197,75,0,0,22,0,NA,472
0,0,0,1,1,0,1,1,1,4,0,0,0,77,162,0,4,9,0,NA,472
0,0,1,0,0,0,0,1,1,3,0,0,187,0,0,0,0,126,29,NA,388
0,0,1,0,0,0,0,1,1,3,0,0,149,0,0,0,0,56,73,NA,388
0,0,1,0,0,0,0,1,1,3,0,0,130,0,0,0,0,92,11,NA,388
0,0,1,0,1,0,0,1,1,4,0,0,8,0,143,0,0,48,10,NA,404
0,0,1,0,1,0,0,1,1,4,0,0,4,0,215,0,0,56,5,NA,404
0,0,1,0,1,0,0,1,1,4,0,0,9,0,208,0,0,29,41,NA,404
0,0,1,0,1,0,1,0,1,4,0,0,38,0,171,0,12,0,4,NA,340
0,0,1,0,1,0,1,0,1,4,0,0,92,0,194,0,4,0,17,NA,340
0,0,1,0,1,0,1,0,1,4,0,0,28,0,191,0,7,0,25,NA,340
0,0,1,0,1,0,1,1,0,4,0,0,17,0,246,0,7,45,0,NA,212
0,0,1,0,1,0,1,1,0,4,0,0,40,0,242,0,4,36,0,NA,212
