"a","b","c","d","e","f","g","h","i","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","feasible.and.stable","state_idx"
0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,62,0,0,243,NA,288
0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,9,0,0,266,NA,288
0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,195,0,NA,160
0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,3,0,141,0,NA,160
0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,32,0,193,0,NA,160
0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,128,150,0,NA,224
0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,118,131,0,NA,224
0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,106,119,0,NA,224
0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,126,190,53,NA,480
0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,91,114,45,NA,480
0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,91,156,8,NA,480
0,0,0,0,1,0,0,1,1,3,0,0,0,0,182,0,0,61,14,NA,400
0,0,0,0,1,0,0,1,1,3,0,0,0,0,142,0,0,84,4,NA,400
0,0,0,0,1,0,0,1,1,3,0,0,0,0,150,0,0,56,57,NA,400
0,0,0,0,1,0,1,0,0,2,0,0,0,0,296,0,123,0,0,NA,80
0,0,0,0,1,0,1,0,0,2,0,0,0,0,240,0,58,0,0,NA,80
0,0,0,0,1,0,1,0,0,2,0,0,0,0,209,0,50,0,0,NA,80
0,0,0,0,1,0,1,1,1,4,0,0,0,0,220,0,6,21,6,NA,464
0,0,0,0,1,0,1,1,1,3,0,0,0,0,171,0,4,49,0,NA,464
0,0,0,0,1,0,1,1,1,3,0,0,0,0,153,0,0,78,2,NA,464
0,0,0,0,1,1,0,0,1,2,0,0,0,0,194,0,0,0,12,NA,304
0,0,0,0,1,1,0,0,1,2,0,0,0,0,270,0,0,0,26,NA,304
0,0,0,0,1,1,0,1,0,3,0,0,0,0,230,17,0,50,0,NA,176
0,0,0,0,1,1,0,1,0,2,0,0,0,0,235,0,0,77,0,NA,176
0,0,0,0,1,1,0,1,1,3,0,0,0,0,106,0,0,61,4,NA,432
0,0,0,0,1,1,0,1,1,4,0,0,0,0,163,4,0,39,14,NA,432
0,0,0,0,1,1,0,1,1,4,0,0,0,0,144,1,0,47,6,NA,432
0,0,0,1,0,0,1,0,1,3,0,0,0,300,0,0,65,0,1,NA,328
0,0,0,1,0,0,1,0,1,2,0,0,0,254,0,0,1,0,0,NA,328
0,0,0,1,0,0,1,0,1,3,0,0,0,207,0,0,22,0,4,NA,328
0,0,0,1,0,1,1,1,1,3,0,0,0,207,0,0,15,16,0,NA,488
0,0,0,1,0,1,1,1,1,4,0,0,0,157,0,0,84,9,3,NA,488
0,0,0,1,0,1,1,1,1,4,0,0,0,180,0,0,4,10,2,NA,488
0,0,0,1,1,0,1,0,1,4,0,0,0,106,120,0,16,0,1,NA,344
0,0,0,1,1,0,1,0,1,3,0,0,0,135,169,0,0,0,15,NA,344
0,0,0,1,1,0,1,0,1,4,0,0,0,82,188,0,13,0,9,NA,344
0,0,0,1,1,0,1,1,0,4,0,0,0,125,55,0,37,4,0,NA,216
0,0,0,1,1,0,1,1,0,4,0,0,0,84,149,0,6,23,0,NA,216
0,0,0,1,1,0,1,1,0,4,0,0,0,116,37,0,2,11,0,NA,216
0,0,0,1,1,1,1,0,0,3,0,0,0,99,144,0,9,0,0,NA,120
0,0,0,1,1,1,1,0,0,4,0,0,0,172,119,1,3,0,0,NA,120
0,0,0,1,1,1,1,0,0,3,0,0,0,156,107,0,1,0,0,NA,120
0,0,0,1,1,1,1,1,0,2,0,0,0,121,138,0,0,0,0,NA,248
0,0,0,1,1,1,1,1,0,4,0,0,0,194,95,0,2,13,0,NA,248
0,0,0,1,1,1,1,1,0,2,0,0,0,117,135,0,0,0,0,NA,248
0,0,1,0,0,0,1,0,1,3,0,0,139,0,0,0,53,0,13,NA,324
0,0,1,0,0,0,1,0,1,3,0,0,182,0,0,0,88,0,54,NA,324
0,0,1,0,0,0,1,0,1,3,0,0,305,0,0,0,24,0,30,NA,324
0,0,1,0,0,1,1,1,0,3,0,0,140,0,0,0,15,37,0,NA,228
0,0,1,0,0,1,1,1,0,4,0,0,159,0,0,1,7,54,0,NA,228
0,0,1,0,0,1,1,1,0,3,0,0,203,0,0,0,14,53,0,NA,228
0,0,1,0,0,1,1,1,1,4,0,0,165,0,0,0,22,119,28,NA,484
0,0,1,0,0,1,1,1,1,5,0,0,207,0,0,1,31,38,18,NA,484
0,0,1,0,0,1,1,1,1,3,0,0,234,0,0,0,20,15,0,NA,484
0,0,1,0,1,0,1,1,1,5,0,0,30,0,119,0,20,24,29,NA,468
0,0,1,0,1,0,1,1,1,5,0,0,37,0,209,0,13,33,1,NA,468
0,0,1,0,1,0,1,1,1,5,0,0,43,0,179,0,10,25,1,NA,468
0,0,1,0,1,1,0,0,0,2,0,0,86,0,168,0,0,0,0,NA,52
0,0,1,0,1,1,0,0,0,2,0,0,67,0,306,0,0,0,0,NA,52
0,0,1,1,0,1,1,0,1,3,0,0,31,212,0,0,11,0,0,NA,364
0,0,1,1,0,1,1,0,1,3,0,0,18,191,0,0,0,0,2,NA,364
0,0,1,1,0,1,1,0,1,3,0,0,47,197,0,0,1,0,0,NA,364
0,0,1,1,1,0,0,1,0,2,0,0,0,107,69,0,0,0,0,NA,156
0,0,1,1,1,0,0,1,0,4,0,0,13,112,89,0,0,8,0,NA,156
0,0,1,1,1,0,0,1,0,4,0,0,4,132,81,0,0,1,0,NA,156
0,0,1,1,1,1,0,1,0,4,0,0,67,162,91,0,0,2,0,NA,188
0,0,1,1,1,1,0,1,0,4,0,0,34,150,133,0,0,5,0,NA,188
