"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star"
0,0,0,0,0,62,0,0,243
0,0,0,0,0,9,0,0,266
0,0,0,0,0,3,293,0,0
0,0,0,0,286,0,0,0,0
0,0,0,0,236,0,0,0,0
0,0,0,0,283,0,0,0,0
0,0,0,0,197,0,0,58,0
0,0,0,0,209,0,0,51,0
0,0,0,0,180,0,0,92,0
0,0,0,0,142,0,0,84,4
0,0,0,0,150,0,0,56,57
0,0,0,0,182,0,0,61,14
0,0,0,0,108,0,11,37,3
0,0,0,0,123,0,4,77,32
0,0,0,0,272,0,0,40,23
0,0,0,203,0,2,0,8,3
0,0,0,161,0,0,0,6,3
0,0,0,227,0,0,0,8,12
0,0,0,137,49,0,0,18,0
0,0,0,99,150,0,0,26,14
0,0,0,99,74,0,0,5,1
0,0,0,84,149,0,6,23,0
0,0,0,116,37,0,2,11,0
0,0,0,125,55,0,37,4,0
0,0,0,197,75,0,0,22,0
0,0,0,77,162,0,4,9,0
0,0,0,140,92,0,0,0,0
0,0,0,177,94,0,1,9,3
0,0,0,81,129,0,0,6,0
0,0,0,107,45,0,20,20,9
0,0,187,0,0,0,0,126,29
0,0,130,0,0,0,0,92,11
0,0,149,0,0,0,0,56,73
0,0,254,0,0,0,12,0,0
0,0,169,0,0,0,87,0,0
0,0,231,0,0,0,55,0,0
0,0,226,0,0,0,8,43,0
0,0,203,0,0,0,42,26,0
0,0,160,0,0,0,30,102,0
0,0,9,0,208,0,0,29,41
0,0,4,0,215,0,0,56,5
0,0,8,0,143,0,0,48,10
0,0,28,0,191,0,7,0,25
0,0,38,0,171,0,12,0,4
0,0,92,0,194,0,4,0,17
0,0,42,0,184,0,26,0,1
0,0,85,0,142,0,3,0,8
0,0,2,209,0,0,0,0,0
0,0,63,210,0,0,0,0,0
0,0,15,173,0,0,0,0,0
0,0,8,202,0,0,1,0,0
0,0,46,227,0,0,10,0,0
0,0,56,215,0,0,5,7,0
0,0,0,222,55,0,8,0,3
0,0,4,148,47,0,1,0,0
0,0,15,174,40,0,16,0,2
0,4,0,0,0,0,0,0,280
0,3,0,0,0,0,0,0,260
0,0,0,0,0,0,79,158,0
0,3,0,0,0,0,121,133,0
0,3,0,0,0,0,153,123,0
0,0,0,0,0,0,51,167,24
0,0,0,0,0,0,108,222,28
0,0,0,0,0,0,47,209,42
0,0,0,0,0,0,0,238,5
0,0,0,0,0,0,0,269,37
0,0,0,0,275,0,30,0,5
0,6,0,0,195,0,120,0,11
0,0,0,0,193,0,154,0,2
0,2,0,0,246,0,0,53,1
0,2,0,0,212,0,15,59,34
0,0,0,0,166,0,19,8,0
0,0,0,183,0,0,0,26,3
0,0,0,246,0,0,0,3,0
0,0,0,288,0,0,0,3,0
0,0,0,132,102,6,29,0,2
0,0,0,112,53,0,58,0,2
0,0,0,114,179,0,6,0,0
0,40,202,0,0,0,0,0,0
0,3,221,0,0,0,0,0,0
0,0,304,0,0,0,0,0,0
0,10,167,0,0,0,25,66,5
0,0,120,0,0,0,41,40,54
0,0,174,0,0,0,21,50,0
0,0,94,0,0,0,0,108,0
0,4,164,0,0,0,0,63,0
0,0,147,0,0,0,0,57,0
0,0,58,0,271,0,0,35,0
0,1,38,0,166,0,0,40,0
0,0,41,0,150,0,0,39,0
0,0,57,0,173,0,0,0,1
0,0,38,0,197,0,15,0,1
0,0,79,0,193,0,12,0,0
0,0,45,0,171,0,0,0,11
0,0,43,0,239,0,0,0,19
0,2,97,0,223,0,0,0,35
0,0,9,213,0,0,0,0,1
0,0,9,201,0,0,0,0,0
0,0,1,258,0,0,0,0,1
0,0,16,176,0,0,2,0,0
0,1,45,209,0,0,3,0,0
0,0,6,234,0,0,8,0,0
0,0,30,189,0,0,0,0,0
0,0,28,205,0,0,0,0,1
0,0,2,199,0,0,0,0,3
0,0,15,147,0,1,0,0,0
0,0,5,265,0,0,0,19,0
0,0,4,215,0,0,0,22,0
0,0,25,184,0,0,0,20,1
0,1,12,174,0,1,0,8,1
0,0,22,189,0,0,0,6,3
0,0,0,285,0,0,4,15,0
0,1,42,171,0,0,0,5,0
0,0,22,305,0,0,0,13,0
0,0,76,177,0,0,0,2,0
0,0,76,128,0,0,3,22,0
0,0,14,179,0,0,16,0,0
0,0,0,148,75,0,0,19,0
0,0,7,167,42,0,0,6,0
0,0,12,116,82,1,0,20,0
0,0,7,132,120,0,4,22,0
0,0,3,208,81,0,1,5,0
0,0,17,119,54,0,0,0,0
183,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0
0,0,0,0,0,0,234,0,0
0,0,0,0,0,0,53,139,51
0,0,0,0,0,0,129,103,18
0,0,0,0,0,0,62,145,14
2,0,0,0,0,0,214,0,0
0,0,0,0,0,0,23,252,0
0,0,0,0,0,0,141,92,0
0,0,0,0,0,0,48,169,0
0,0,0,0,0,0,60,127,60
3,0,0,0,0,0,64,88,65
0,0,0,0,0,0,180,146,7
1,0,0,0,250,1,0,0,28
0,0,0,299,0,0,0,0,0
0,0,0,263,0,0,0,0,0
0,0,0,234,0,0,0,0,0
0,0,0,133,0,0,0,0,7
