"a","b","c","d","e","f","g","h","i","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","feasible.and.stable","state_idx"
0,0,1,0,0,0,1,1,1,4,0,0,151,0,0,0,47,81,2,NA,452
0,0,1,0,0,1,0,0,0,1,0,0,264,0,0,0,0,0,0,NA,36
0,0,1,0,0,1,0,0,0,1,0,0,257,0,0,0,0,0,0,NA,36
0,0,1,0,0,1,0,0,0,2,0,0,195,0,0,69,0,0,0,NA,36
0,0,1,0,0,1,1,0,0,2,0,0,160,0,0,0,120,0,0,NA,100
0,0,1,0,0,1,1,0,0,3,0,0,177,0,0,2,85,0,0,NA,100
0,0,1,0,0,1,1,0,0,2,0,0,199,0,0,0,39,0,0,NA,100
0,0,1,0,1,0,0,0,0,2,0,0,79,0,256,0,0,0,0,NA,20
0,0,1,0,1,0,0,1,1,4,0,0,9,0,208,0,0,29,41,NA,404
0,0,1,0,1,0,0,1,1,4,0,0,8,0,143,0,0,48,10,NA,404
0,0,1,0,1,0,0,1,1,4,0,0,4,0,215,0,0,56,5,NA,404
0,0,1,0,1,0,1,0,0,3,0,0,36,0,191,0,4,0,0,NA,84
0,0,1,0,1,0,1,0,0,3,0,0,92,0,151,0,6,0,0,NA,84
0,0,1,0,1,0,1,0,0,3,0,0,61,0,159,0,75,0,0,NA,84
0,0,1,0,1,0,1,0,1,4,0,0,92,0,194,0,4,0,17,NA,340
0,0,1,0,1,0,1,0,1,4,0,0,38,0,171,0,12,0,4,NA,340
0,0,1,0,1,0,1,0,1,4,0,0,28,0,191,0,7,0,25,NA,340
0,0,1,0,1,1,1,1,0,4,0,0,29,0,215,0,2,50,0,NA,244
0,0,1,0,1,1,1,1,0,4,0,0,44,0,154,0,6,22,0,NA,244
0,0,1,0,1,1,1,1,0,4,0,0,43,0,156,0,33,8,0,NA,244
0,0,1,1,0,1,0,0,0,2,0,0,7,240,0,0,0,0,0,NA,44
0,0,1,1,0,1,0,0,0,3,0,0,21,155,0,8,0,0,0,NA,44
0,0,1,1,0,1,0,0,0,2,0,0,55,193,0,0,0,0,0,NA,44
0,0,1,1,0,1,0,0,1,3,0,0,34,207,0,0,0,0,3,NA,300
0,0,1,1,0,1,0,0,1,2,0,0,0,166,0,0,0,0,1,NA,300
0,0,1,1,0,1,0,0,1,2,0,0,17,219,0,0,0,0,0,NA,300
