"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star"
0,0,0,0,0,0,0,306,0
0,0,0,0,0,0,0,162,0
0,0,0,0,0,0,0,299,0
0,0,0,0,0,0,0,279,103
0,0,0,0,0,0,0,177,94
0,0,0,0,0,0,0,231,16
0,0,0,0,0,0,118,131,0
0,0,0,0,0,0,106,119,0
0,0,0,0,0,0,128,150,0
0,0,0,0,182,0,0,61,14
0,0,0,0,150,0,0,56,57
0,0,0,0,142,0,0,84,4
0,0,0,0,272,0,0,40,23
0,0,0,0,123,0,4,77,32
0,0,0,0,108,0,11,37,3
0,0,0,223,0,0,0,64,0
0,0,0,231,0,0,0,29,0
0,0,0,158,0,0,0,46,0
0,0,0,177,0,0,0,8,0
0,0,0,211,0,0,0,17,35
0,0,0,298,0,0,0,25,0
0,0,0,300,0,0,65,0,1
0,0,0,254,0,0,1,0,0
0,0,0,207,0,0,22,0,4
0,0,0,226,0,0,4,52,0
0,0,0,136,0,0,8,18,0
0,0,0,139,0,0,1,35,0
0,0,0,94,136,0,0,0,0
0,0,0,101,109,0,0,0,0
0,0,0,43,134,0,0,0,0
0,0,0,125,55,0,37,4,0
0,0,0,84,149,0,6,23,0
0,0,0,116,37,0,2,11,0
0,0,0,140,92,0,0,0,0
0,0,0,77,162,0,4,9,0
0,0,0,197,75,0,0,22,0
0,0,0,107,45,0,20,20,9
0,0,0,177,94,0,1,9,3
0,0,0,81,129,0,0,6,0
0,0,305,0,0,0,24,0,30
0,0,139,0,0,0,53,0,13
0,0,182,0,0,0,88,0,54
0,0,203,0,0,0,14,53,0
0,0,159,0,0,1,7,54,0
0,0,140,0,0,0,15,37,0
0,0,234,0,0,0,20,15,0
0,0,165,0,0,0,22,119,28
0,0,207,0,0,1,31,38,18
0,0,46,0,159,0,17,0,0
0,0,4,0,216,0,50,0,0
0,0,38,0,220,2,36,0,0
0,0,15,173,0,0,0,0,0
0,0,2,209,0,0,0,0,0
0,0,63,210,0,0,0,0,0
0,0,6,164,58,0,4,24,0
0,0,5,197,69,0,18,0,0
0,0,0,139,218,0,3,8,0
0,0,13,142,132,0,0,0,0
0,0,5,96,99,0,0,4,3
0,0,9,99,64,0,3,8,0
0,0,0,171,105,0,0,0,5
0,0,24,108,108,0,0,0,0
0,0,4,218,109,0,0,0,1
0,0,67,162,91,0,0,2,0
0,0,2,144,103,0,0,28,0
0,0,34,150,133,0,0,5,0
0,0,21,121,109,0,0,12,0
0,0,0,87,121,0,0,17,0
0,0,13,124,117,0,0,12,19
0,0,3,153,67,1,0,7,0
0,0,2,161,116,0,6,0,0
0,0,0,139,97,0,0,24,0
0,0,3,89,53,0,5,0,3
0,0,42,42,154,0,0,1,0
0,0,0,161,92,0,0,0,0
0,33,0,0,0,209,0,0,0
0,42,0,0,0,141,0,0,0
0,42,0,0,0,204,0,0,0
0,7,0,0,0,0,127,130,83
0,2,0,0,0,0,165,109,37
0,1,0,0,0,0,93,186,47
0,0,0,0,155,20,0,0,0
0,0,0,0,210,0,0,0,0
0,0,0,0,277,5,0,0,0
0,0,0,273,0,0,0,39,0
0,0,0,277,0,0,0,6,0
0,0,0,196,0,0,0,13,0
0,0,0,214,0,0,13,0,0
0,0,0,283,0,0,5,0,0
0,1,0,239,0,0,67,0,0
0,0,0,288,0,0,0,3,0
0,0,0,183,0,0,0,26,3
0,0,0,246,0,0,0,3,0
0,0,0,203,0,0,2,0,2
0,0,0,125,0,6,17,0,1
0,0,0,155,0,0,122,0,7
0,0,0,189,0,0,0,18,0
0,0,0,121,0,0,9,95,1
0,0,0,274,0,0,0,9,0
0,0,0,81,97,2,6,10,0
0,0,0,65,82,0,0,10,0
0,0,0,150,193,14,0,3,0
0,0,0,126,111,0,0,0,0
0,0,0,75,122,0,15,35,0
0,0,0,123,94,0,0,0,0
0,0,147,0,0,0,0,57,0
0,4,164,0,0,0,0,63,0
0,0,94,0,0,0,0,108,0
0,0,36,0,183,0,10,0,0
0,1,80,0,191,6,1,0,0
0,0,46,0,207,5,56,0,0
0,1,98,0,208,0,9,0,1
0,0,62,0,220,0,20,0,0
0,0,33,0,143,0,22,0,8
0,0,47,0,214,0,2,12,3
0,0,33,0,163,0,9,32,2
0,0,28,0,286,0,23,44,6
0,1,45,209,0,0,3,0,0
0,0,6,234,0,0,8,0,0
0,0,16,176,0,0,2,0,0
0,0,14,219,0,0,103,0,43
0,0,17,178,0,0,10,0,2
0,0,34,176,0,0,2,0,1
0,0,46,242,0,0,0,0,0
0,0,23,270,0,0,0,0,0
0,0,36,188,0,0,0,0,0
0,0,37,197,0,0,0,0,0
0,0,64,163,0,0,16,0,0
0,0,40,226,0,0,1,0,0
0,0,39,87,71,0,0,0,0
0,0,14,112,164,0,0,0,1
0,0,3,131,79,0,0,3,0
0,0,5,146,84,0,0,12,0
0,0,33,112,153,0,0,0,1
0,0,7,132,120,0,4,22,0
0,0,17,119,54,0,0,0,0
0,0,3,208,81,0,1,5,0
0,0,0,0,0,0,234,0,0
1,0,0,0,0,0,121,152,0
1,0,0,0,0,0,55,210,0
0,0,0,0,0,0,170,118,0
21,0,0,0,0,59,0,0,267
0,0,0,0,0,27,0,0,142
1,0,0,0,0,7,0,185,0
10,0,0,0,0,7,0,303,0
0,0,0,0,0,0,0,184,52
1,0,0,0,0,0,0,261,136
0,0,0,0,0,0,0,307,37
0,0,0,0,0,0,48,169,0
0,0,0,0,0,0,141,92,0
0,0,0,0,0,0,23,252,0
0,0,0,0,211,0,0,55,0
2,0,0,0,275,0,0,10,0
0,0,0,0,188,2,0,29,0
1,0,0,120,116,0,28,0,27
0,0,0,158,33,0,0,0,1
0,0,0,94,97,0,0,0,4
0,0,0,163,130,0,0,16,0
0,0,0,142,49,0,0,7,0
0,0,0,129,169,0,0,1,0
0,0,0,106,123,0,8,0,2
0,0,0,125,111,0,0,0,0
0,0,0,176,91,0,4,0,1
0,0,0,163,62,0,0,2,0
0,0,0,145,80,0,0,2,0
0,0,0,139,165,1,0,1,0
0,0,148,0,0,0,55,30,10
1,0,120,0,0,0,13,43,4
0,0,179,0,0,0,14,25,6
0,0,41,0,231,0,12,0,0
0,0,62,0,162,0,11,0,0
0,0,4,0,229,0,144,0,0
0,0,1,217,0,0,12,0,11
0,0,32,175,0,0,19,0,2
0,0,2,267,0,0,2,0,0
0,0,10,116,156,0,0,0,1
0,0,32,141,62,0,0,0,1
0,0,3,231,159,0,0,0,0
0,0,0,82,96,0,0,0,0
0,0,12,182,156,0,2,0,0
0,0,7,108,98,0,1,0,0
0,0,4,167,103,0,2,3,0
0,0,26,80,89,0,0,6,17
0,0,22,196,82,0,14,0,0
1,0,0,0,0,0,0,171,18
4,0,0,0,0,0,0,259,40
8,5,0,0,0,0,0,243,90
0,1,0,0,0,0,77,118,6
0,0,0,0,0,0,47,150,24
0,0,0,0,0,0,173,106,58
0,16,0,0,273,0,0,0,0
0,2,0,0,170,0,0,0,0
2,0,0,0,206,0,0,0,95
1,6,0,0,238,0,0,0,23
0,0,0,0,215,0,0,0,84
3,0,0,0,194,0,0,51,0
7,3,0,238,0,0,0,0,0
36,0,0,176,0,0,0,0,0
38,0,0,166,0,0,0,0,0
0,0,0,183,0,0,0,16,1
0,0,0,185,0,0,0,4,5
0,0,0,289,0,0,3,0,0
24,0,0,180,0,31,0,0,0
0,0,0,212,0,6,0,0,0
0,0,0,257,0,21,0,0,0
0,0,0,151,0,0,0,0,2
0,0,0,206,0,0,0,0,2
0,0,0,153,0,1,0,0,1
0,1,0,197,0,8,104,0,73
0,0,0,176,0,0,36,0,9
0,0,0,247,0,0,19,0,0
0,1,0,204,0,0,11,13,0
0,0,0,225,0,0,0,35,0
0,0,0,238,0,1,0,6,0
0,0,0,147,158,0,0,1,0
0,1,0,128,64,0,0,32,0
0,0,0,123,72,2,0,46,0
0,0,0,171,58,0,2,8,0
0,0,0,151,139,0,0,1,0
0,0,0,154,76,0,0,0,0
0,0,258,0,0,0,0,0,0
2,1,293,0,0,0,0,0,0
26,15,234,0,0,0,0,0,0
0,0,271,0,0,0,10,45,0
0,0,87,0,0,0,52,80,28
0,0,241,0,0,0,34,36,1
0,1,228,0,0,0,0,37,17
1,0,172,0,0,0,0,96,10
0,0,178,0,0,0,0,47,2
0,1,23,0,201,0,0,0,32
2,0,26,0,198,0,0,0,27
0,0,102,0,128,0,0,0,4
0,0,26,0,122,0,49,0,33
0,5,44,0,144,0,8,0,14
0,0,4,0,245,0,61,0,4
0,0,72,0,238,0,0,0,0
0,0,32,0,269,0,0,0,0
0,0,38,0,227,20,0,0,0
0,0,32,0,214,0,34,0,0
0,0,44,0,148,0,26,0,0
0,3,66,0,153,0,16,0,0
0,2,142,0,139,0,3,10,11
0,0,26,0,153,0,9,11,7
0,0,61,0,208,0,8,49,2
0,0,42,162,0,0,0,3,0
0,0,28,161,0,0,0,0,0
0,0,32,205,0,0,0,15,0
0,0,39,291,0,0,0,16,0
0,0,5,159,0,0,0,2,0
0,0,32,215,0,0,0,37,0
0,1,42,212,0,0,0,15,0
0,0,20,160,0,0,0,7,0
0,0,12,149,0,0,3,2,0
0,0,1,217,0,0,1,0,0
0,0,11,181,0,0,2,0,0
0,0,39,147,0,0,5,0,0
0,0,0,79,125,0,32,0,0
0,0,15,134,85,0,3,0,0
0,0,25,179,133,0,1,0,0
