"a","b","c","d","e","f","g","h","i","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","feasible.and.stable","state_idx"
0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,177,94,NA,384
0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,279,103,NA,384
0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,231,16,NA,384
0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,135,163,0,NA,192
0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,200,167,0,NA,192
0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,94,216,0,NA,192
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,163,0,0,0,NA,32
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,194,0,0,0,NA,32
0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,62,0,0,243,NA,288
0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,9,0,0,266,NA,288
0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,200,25,NA,416
0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,2,0,103,141,NA,416
0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,1,0,166,45,NA,416
0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,1,259,0,48,NA,352
0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,126,190,53,NA,480
0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,91,114,45,NA,480
0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,91,156,8,NA,480
0,0,0,0,1,0,0,0,0,1,0,0,0,0,236,0,0,0,0,NA,16
0,0,0,0,1,0,0,0,0,1,0,0,0,0,286,0,0,0,0,NA,16
0,0,0,0,1,0,0,0,0,1,0,0,0,0,283,0,0,0,0,NA,16
0,0,0,0,1,0,0,0,1,2,0,0,0,0,247,0,0,0,97,NA,272
0,0,0,0,1,0,0,0,1,2,0,0,0,0,190,0,0,0,29,NA,272
