"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star"
0,0,0,0,0,0,0,0,0,0,0
0,3.25422959466485,0,0,0,0,0,0,0,0,0
0,0,3.25422959466485,0,0,0,0,0,0,0,0
1.2608034000917,0,0,0,0.698246057150385,0,0,0,0,0,0
0,0,0,0.698246057150385,0.698246057150385,0,0,0,0,0,0
0,0,3.25422959466485,0.19846292974812,0.19846292974812,0,0,0,0,0,0
0,0,0,0,0,1.2608034000917,0,0,0,0,0
0,2.40316910587547,0,0,0,1.2608034000917,0,0,0,0,0
0,0,3.25422959466485,0,0,1.2608034000917,0,0,0,0,0
0,0,0,0.698246057150385,0,1.2608034000917,0,0,0,0,0
1.2608034000917,0,0,0.698246057150385,0,1.2608034000917,0,0,0,0,0
0.19846292974812,0,0,0,1.2608034000917,1.2608034000917,0,0,0,0,0
0,1.82659966020188,0,0,0.698246057150385,1.2608034000917,0,0,0,0,0
2.40316910587547,8.57683758351235,0,0,0,1.2608034000917,0,0,0,0,0
0,0,3.25422959466485,0,0.698246057150385,1.2608034000917,0,0,0,0,0
1.82659966020188,0,0,0,0,0,0,0,0,0,0
0,0,3.25422959466485,0,0,0,0,0,0,0,0
1.82659966020188,0,0,0.19846292974812,0,0,0,0,0,0,0
0,0,3.25422959466485,0.19846292974812,0,0,0,0,0,0,0
1.2608034000917,0,0,0,0.698246057150385,0,0,0,0,0,0
0,0,3.25422959466485,0,0.19846292974812,0,0,0,0,0,0
1.82659966020188,0,0,0.19846292974812,0.698246057150385,0,0,0,0,0,0
0,3.25422959466485,0,0.19846292974812,0.19846292974812,0,0,0,0,0,0
0,0,0,0,0,1.2608034000917,0.19846292974812,0,0,0,0
1.2608034000917,0,0,0,0,1.2608034000917,0,0,0,0,0
0,0,3.25422959466485,0,0,1.2608034000917,0,0,0,0,0
0,0,3.25422959466485,0.19846292974812,0,1.2608034000917,0,0,0,0,0
0,0,0,0,1.2608034000917,1.2608034000917,0,0,0,0,0
2.40316910587547,8.57683758351235,0,0,0,1.2608034000917,0,0,0,0,0
0,0,3.25422959466485,0,0.698246057150385,1.2608034000917,0,0,0,0,0
0,0,3.25422959466485,0,0.698246057150385,1.2608034000917,0,0,0,0,0
0,0,3.25422959466485,0.19846292974812,0.698246057150385,1.2608034000917,0,0,0,0,0
0,0,3.25422959466485,0,0,0,0,0,0,0,0
0,0,0,0.698246057150385,0,0,0,0.19846292974812,0,0,0
1.82659966020188,0,0,0.19846292974812,0,0,0,0,0,0,0
0,0,3.25422959466485,0.19846292974812,0,0,0,0,0,0,0
0,0,3.25422959466485,0.19846292974812,0,0,0,0,0,0,0
0,0,0,0,0.698246057150385,0,0,0.19846292974812,0,0,0
3.25422959466485,8.57683758351235,0,0,0,0,0,0,0,0,0
0,0,3.25422959466485,0,0.19846292974812,0,0,0,0,0,0
0,0,3.25422959466485,0.19846292974812,0.19846292974812,0,0,0,0,0,0
0,0,3.25422959466485,0.19846292974812,0.19846292974812,0,0,0,0,0,0
2.40316910587547,8.57683758351235,0,0,0,1.2608034000917,0,0,0,0,0
0,0,0,0,1.2608034000917,1.2608034000917,0,0.19846292974812,0,0,0
0,0,0,0,1.2608034000917,1.2608034000917,0,0.19846292974812,0,0,0
0,0,3.25422959466485,0,0.698246057150385,1.2608034000917,0,0,0,0,0
0,0,0,0.698246057150385,1.2608034000917,1.2608034000917,0,0.19846292974812,0,0,0
0,2.40316910587547,0,0.19846292974812,0.698246057150385,1.2608034000917,0,0,0,0,0
0,0,3.25422959466485,0.19846292974812,0.698246057150385,1.2608034000917,0,0,0,0,0
0,0,0,0,0,0,0.19846292974812,0.19846292974812,0,0,0
0,3.25422959466485,0,0,0,0,0,0,0,0,0
0,0,3.25422959466485,0.19846292974812,0,0,0,0,0,0,0
0,0,3.25422959466485,0.19846292974812,0,0,0,0,0,0,0
0,0,0,0,0.698246057150385,0,0,0.19846292974812,0,0,0
0,3.25422959466485,0,0,0.19846292974812,0,0,0,0,0,0
0,0,3.25422959466485,0,0.19846292974812,0,0,0,0,0,0
0,0,0,0.698246057150385,0.698246057150385,0,0,0.19846292974812,0,0,0
0,0,3.25422959466485,0.19846292974812,0.19846292974812,0,0,0,0,0,0
1.2608034000917,0,0,0,0,1.2608034000917,0,0,0,0,0
2.40316910587547,8.57683758351235,0,0,0,1.2608034000917,0,0,0,0,0
0,0,0,0.698246057150385,0,1.2608034000917,0,0,0,0,0
1.2608034000917,0,0,0.698246057150385,0,1.2608034000917,0,0,0,0,0
0,0,0,0,1.2608034000917,1.2608034000917,0,0.19846292974812,0,0,0
