"a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star","feasible.and.stable","state_idx"
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,638
0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,4146.16894101182,0,0,0,0,0,0.0553753049106015,0,0,0,0,0,0,0,0,0,0,NA,682
1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,4309.45677002429,0,0,0.00015732775321351,0,0,29286.8506868518,0,0,0,0,0,0,0,NA,2045
0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19827.6948027638,0,0,0,0,0,0,0,0,0,0,NA,2248
0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19826.4472610233,0,0,0,0,0,0,0,0,0,0,NA,2464
1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2613
1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,3293.4913511768,0,0,0,0,0,0,0.000270241189675018,0,0,0,0,0,0,0,0,0,0,NA,2693
0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13863.5669935467,0,0,0,0,0,0,NA,2848
0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,5.27794313743024e-10,0,0,4320.81641919265,0,0,0,0,0,29174.8195022546,0,0,0,0,0,0,0,NA,3350
1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,4309.43440300298,0,0,0,0,0,29287.0730537066,0,0,0,0,0,0,0,NA,3665
