"a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star","feasible.and.stable","state_idx"
1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2157
0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0,4056.57226767176,0,0,1218.63950675343,0,0,0.0195110721872324,0,0,0,0,0,0,0,0,0,0,NA,2486
0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,2,0,4.73210905618932e-10,0,0,4320.68030028715,0,0,0,0,0,29176.1620859226,0,0,0,0,0,0,0,NA,5490
0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,4311.18669135253,0,0,0.000484544762505058,0,0,29269.7872537139,0,0,0,0,0,0,0,NA,18160
0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,22838
0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3185.12800087554,0,0,0,0,NA,28776
1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30761
1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,3293.49139674391,0,0,0,0,0,0,0.000242860263450934,0,0,0,0,0,0,0,0,0,0,NA,31109
0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2,0,0,2554.33005373872,0,0,0,0,110.612145872528,0,0,0,0,0,0,0,0,0,0,NA,35468
1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,43127
0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,2,0,4.56380197625711e-10,0,0,4320.63402723854,0,0,0.00089590247105137,0,0,29176.6082582478,0,0,0,0,0,0,0,NA,53234
0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,55602
0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,3,0,0,0,0,6320.7069449101,0,0,0.0825931413081325,0,0,0,0,0,409.873569869584,0,0,0,0,NA,63888
0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.000120183890894309,0,0,0,0,0,0,0,0,21699.9742804911,0,NA,67978
1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.9742963395,0,NA,68191
1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,8.73675086798967e-05,0,0,107.035020485555,0,0,0,0,0,21699.6663789424,0,NA,75407
1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,8.67475846478168e-05,0,0,105.803540800145,0,0,0,0,0,21699.669922021,0,NA,79275
0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.9742963395,0,NA,80742
1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,104.063136740784,0,0,0,0,0,21699.6749406282,0,NA,81711
1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.9742963395,0,NA,88419
0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.9742963395,0,NA,95042
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.9742963395,0,NA,98882
1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.9742963395,0,NA,101187
0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0.000114497598580037,0,0,178.900531393757,0,0,0,0,0,21699.4595997239,0,NA,102380
1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,96.4340146540395,0,0,0,0,0,21699.6968894943,0,NA,103999
0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,96.0533666904076,0,0,0,0,0,21699.6979846028,0,NA,109654
1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,8.7209031213178e-05,0,0,113.789068426981,0,0,0,0,0,21699.6469472312,0,NA,110541
0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.000108783250712541,0,0,0,0,0,0,0,0,21699.9742819944,0,NA,117146
1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,8.81991706603016e-05,0,0,0,0,0,0,0,0,21699.9742847088,0,NA,117647
1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,8.43808354764958e-05,0,0,109.401595106793,0,0,0,0,0,21699.6595706166,0,NA,122799
0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,136.86356236999,0,0,0,0,0,21699.5805700563,0,NA,126016
1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,110.650747710006,0,0,0,0,0,21699.6559878727,0,NA,130925
