"a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star","feasible.and.stable","state_idx"
1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4146.1725236152,0,0,0,0,0,0.0365925403246109,0,0,0,0,0,0,0,0,0,0,NA,175
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,4146.16917191131,0,0,0,0,0,0.054164752036561,0,0,0,0,0,0,0,0,0,0,NA,450
0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,4056.57208268984,0,0,1218.63790203879,0,0,0.0211032122045082,0,0,0,0,0,0,0,0,0,0,NA,730
1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,4.86085154859814e-10,0,0,4320.71232763084,0,0,0.000748785041227466,0,0,29175.8376381063,0,0,0,0,0,0,0,NA,1747
1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,4146.17251340704,0,0,0,0,0,0.0366460593360425,0,0,0,0,0,0,0,0,0,0,NA,2695
1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,3293.49136195291,0,0,0,0,0,0,0.000263765905485183,0,0,0,0,0,0,0,0,0,0,NA,3025
0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,4311.19080313297,0,0,0.00051659735277203,0,0,29269.7463385297,0,0,0,0,0,0,0,NA,3736
0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,18923.2614391141,0,0,0,0,220.133960148352,0,0,0,0,0,NA,4552
0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,4146.16985829791,0,0,0,0,0,0.0505661851835254,0,0,0,0,0,0,0,0,0,0,NA,4742
1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,2,0,4.75444234696878e-10,0,0,4320.68490473931,0,0,0.000723061371932544,0,0,29176.1084123042,0,0,0,0,0,0,0,NA,6139
0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,2,0,4.51383939720724e-10,0,0,4320.62042959038,0,0,0.000916477533862842,0,0,29176.7421408595,0,0,0,0,0,0,0,NA,8122
0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,6323.53884368689,0,0,0,0,0,0,0,0,408.6125153545,0,0,0,0,NA,8764
1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,2,0,6.77030567053475e-10,0,0,4321.13270591011,0,0,0.000712283320285597,0,0,29171.6917191261,0,0,0,0,0,0,0,NA,9687
0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10286
0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10342
1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,4056.57279807315,0,0,1218.64410797363,0,0,0.0149459063328062,0,0,0,0,0,0,0,0,0,0,NA,10391
0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3185.12800087554,0,0,0,0,NA,10572
1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,2,0,4146.17264409562,0,0,0,0,0,0.0359608892184915,0,0,0,0,0,0,0,0,0,0,NA,11147
1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,12883
0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,6.4401148107981,0,0,0,0,0,3183.24002626352,0,0,0,0,NA,12992
1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,3293.49137994301,0,0,0,0,0,0,0.000252955794392669,0,0,0,0,0,0,0,0,0,0,NA,14577
0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3185.12800087554,0,0,0,0,NA,14912
1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,2,0,6.64568641815628e-10,0,0,4321.10866896991,0,0,0.000717097779481229,0,0,29171.9287495715,0,0,0,0,0,0,0,NA,15827
1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,16505
0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,7205.94001453283,0,0,0.0548135825868649,0,0,0,0,0,0,0,0,0,0,NA,16788
1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,4309.45715937478,0,0,0.000159469079478014,0,0,29286.8468228561,0,0,0,0,0,0,0,NA,17561
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,4311.19879808875,0,0,0,0,0,29269.6733947739,0,0,0,0,0,0,0,NA,17684
0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,2,0,4.67506148288833e-10,0,0,4320.66529064569,0,0,0,0,0,29176.3101305551,0,0,0,0,0,0,0,NA,17970
0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,2,0,4.40262157471925e-10,0,0,4320.58975297927,0,0,0.000920781512304652,0,0,29177.0446640427,0,0,0,0,0,0,0,NA,18074
1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,19037
1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,19067
1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,4309.42439378613,0,0,0,0,0,29287.1717585219,0,0,0,0,0,0,0,NA,19473
0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,20526
0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7206.00266662613,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,20752
1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,21265
1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,3,0,4056.57280980093,0,0,1218.64420971186,0,0,0.014844965288,0,0,0,0,0,0,0,0,0,0,NA,21499
1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,2,0,0,0,0,4309.46795643674,0,0,0.00015436323532095,0,0,29286.740407043,0,0,0,0,0,0,0,NA,22489
0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3185.12800087554,0,0,0,0,NA,24676
0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,0,4146.1709144569,0,0,0,0,0,0.0450289867597141,0,0,0,0,0,0,0,0,0,0,NA,24782
1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,25101
1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,25125
0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,25194
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,2,0,4146.17055391026,0,0,0,0,0,0.0469192497700732,0,0,0,0,0,0,0,0,0,0,NA,25314
0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,2,0,6.53227613210935e-10,0,0,4321.08621538866,0,0,0.0008592703661456,0,0,29172.1485938093,0,0,0,0,0,0,0,NA,27862
1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,2,0,0,0,0,4309.40595823355,0,0,0,0,0,29287.3535586962,0,0,0,0,0,0,0,NA,27993
0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,3,0,0,0,0,6321.05879707545,0,0,0.0785049933974862,0,0,0,0,0,409.713819525485,0,0,0,0,NA,29108
1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,3,0,4056.57283073285,0,0,1218.64439129575,0,0,0.0146648042254701,0,0,0,0,0,0,0,0,0,0,NA,29331
0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,2,0,6.4614448594639e-10,0,0,4321.07362505757,0,0,0,0,0,29172.282591172,0,0,0,0,0,0,0,NA,30582
1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,2,0,0,0,0,4309.42147741728,0,0,0.000146485381491015,0,0,29287.1988449878,0,0,0,0,0,0,0,NA,30653
0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,31066
0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,5.48194915443959,0,0,0,0,0,3183.52091971893,0,0,0,0,NA,31172
1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,31249
1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,2,0,4146.17298922144,0,0,0,0,0,0.0341514740197654,0,0,0,0,0,0,0,0,0,0,NA,31683
0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,4311.06545080266,0,0,0,0,0,29270.9884233534,0,0,0,0,0,0,0,NA,31856
