"a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star","feasible.and.stable","state_idx"
0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,4311.19174864299,0,0,0.000513745153349037,0,0,29269.7370467756,0,0,0,0,0,0,0,NA,3312
1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,5.55020375227392e-10,0,0,4320.87976044096,0,0,0,0,0,29174.1947464879,0,0,0,0,0,0,0,NA,3351
1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4435
1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,2,0,4146.17244537385,0,0,0,0,0,0.0370027416898178,0,0,0,0,0,0,0,0,0,0,NA,4835
1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4929
1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,2,0,5.66546920772534e-10,0,0,4320.90575997932,0,0,0,0,0,29173.9383042104,0,0,0,0,0,0,0,NA,5751
1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,4309.42064456149,0,0,0,0,0,29287.208731093,0,0,0,0,0,0,0,NA,7705
1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10755
1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,2,0,4146.17270275728,0,0,0,0,0,0.0356533396681652,0,0,0,0,0,0,0,0,0,0,NA,12515
1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,13097
0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,3,0,0,0,0,6321.00176498848,0,0,0.0820626670224833,0,0,0,0,0,409.738273374357,0,0,0,0,NA,14772
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,16385
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0.0361517101563233,0,0,0,0,0,0,6230.41011773434,0,0,0,NA,17032
