"a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star","feasible.and.stable","state_idx"
1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,4146.17227146811,0,0,0,0,0,0.0379144894390347,0,0,0,0,0,0,0,0,0,0,NA,715
1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,5.36289113882926e-10,0,0,4320.83648347982,0,0,0,0,0,29174.6216016007,0,0,0,0,0,0,0,NA,1311
0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,4311.20173041032,0,0,0,0,0,29269.6444771159,0,0,0,0,0,0,0,NA,3868
0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,4.60738209698313e-10,0,0,4320.64567414225,0,0,0.000941468219001989,0,0,29176.492860946,0,0,0,0,0,0,0,NA,5306
0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,2,0,5.5251235193718e-10,0,0,4320.87250116147,0,0,0.000907694613912537,0,0,29174.2559798846,0,0,0,0,0,0,0,NA,10234
1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,2,0,6.69382808111772e-10,0,0,4321.11796014574,0,0,0.000739421104088012,0,0,29171.8368522327,0,0,0,0,0,0,0,NA,11411
1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,12807
0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,2,0,6.20074093692246e-10,0,0,4321.01929116448,0,0,0.000856253432152351,0,0,29172.8087264389,0,0,0,0,0,0,0,NA,14326
0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,6323.36957437187,0,0,0,0,0,0,0,0,408.690349233994,0,0,0,0,NA,14364
1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,2,0,4146.17298211255,0,0,0,0,0,0.0341887442954676,0,0,0,0,0,0,0,0,0,0,NA,14767
0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,15158
0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0.139291272626684,356.713771716315,0,0,0,0,0,4523.57177157801,0,0,0,NA,16808
0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2658.52458326365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,18444
0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,18474
0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2,0,4146.1701327449,0,0,0,0,0,0.0491273227730798,0,0,0,0,0,0,0,0,0,0,NA,19078
1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,3293.49137740864,0,0,0,0,0,0,0.000254478677767269,0,0,0,0,0,0,0,0,0,0,NA,19409
0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0,4.57617583343774e-10,0,0,4320.63735881102,0,0,0.00090019451479393,0,0,29176.5753489399,0,0,0,0,0,0,0,NA,21650
1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,4309.42481841696,0,0,0.000151932618538168,0,0,29287.1658358702,0,0,0,0,0,0,0,NA,21717
1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,4309.39031813271,0,0,0,0,0,29287.507791785,0,0,0,0,0,0,0,NA,25917
1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,4309.41848485348,0,0,0.000148600662905176,0,0,29287.2283316708,0,0,0,0,0,0,0,NA,26101
1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,3293.49138468659,0,0,0,0,0,0,0.000250105414455325,0,0,0,0,0,0,0,0,0,0,NA,27313
0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,2,0,0,0,0,6323.32714964027,0,0,0,0,0,0,0,0,408.709857057866,0,0,0,0,NA,27416
0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,6320.94179687061,0,0,0.0803539695539056,0,0,0,0,0,409.766697291529,0,0,0,0,NA,28860
0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,2,0,0,0,0,6323.15988505528,0,0,0,0,0,0,0,0,408.786768863658,0,0,0,0,NA,31056
0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,2,0,6.44544295378696e-10,0,0,4321.06903963495,0,0,0.000823171956824927,0,0,29172.3184169426,0,0,0,0,0,0,0,NA,32246
0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7206.00266662613,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,33080
1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,33121
0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,34874
