"a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star","feasible.and.stable","state_idx"
1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,799
1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,5.22810057796383e-10,0,0,4320.8045146069,0,0,0,0,0,29174.9369210612,0,0,0,0,0,0,0,NA,3667
0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4202
1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6427
1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,3293.49137272176,0,0,0,0,0,0,0.000257294988678166,0,0,0,0,0,0,0,0,0,0,NA,7153
1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,3,0,4056.57281871784,0,0,1218.6442870658,0,0,0.0147682174654856,0,0,0,0,0,0,0,0,0,0,NA,9175
1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,4309.41833096415,0,0,0,0,0,29287.2315463805,0,0,0,0,0,0,0,NA,10041
0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,6.29607954114384,0,0,0,0,0,3183.28225126217,0,0,0,0,NA,10372
1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,3293.49136950469,0,0,0,0,0,0,0.000259228100390927,0,0,0,0,0,0,0,0,0,0,NA,13249
0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,3,0,4056.57234148046,0,0,1218.64014704243,0,0,0.0188758004688661,0,0,0,0,0,0,0,0,0,0,NA,14770
0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0.140538519905623,356.713857774305,0,0,0,0,0,4523.5635087492,0,0,0,NA,16840
1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0,4146.17252765193,0,0,0,0,0,0.0365713766782424,0,0,0,0,0,0,0,0,0,0,NA,17099
1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,3,0,4056.57277418694,0,0,1218.6439007613,0,0,0.0151514950156614,0,0,0,0,0,0,0,0,0,0,NA,17371
0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,6321.04469429002,0,0,0.0826709923382122,0,0,0,0,0,409.718231469051,0,0,0,0,NA,24724
1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,6.71158983604878e-10,0,0,4321.12263861066,0,0,0,0,0,29171.7991521455,0,0,0,0,0,0,0,NA,25619
0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,4311.05978228148,0,0,0.000434436334006037,0,0,29271.0393627602,0,0,0,0,0,0,0,NA,25848
1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,2,0,0,0,0,4309.45020807682,0,0,0.000153097168362202,0,0,29286.9154451349,0,0,0,0,0,0,0,NA,28561
1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,28725
1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,3293.49139355808,0,0,0,0,0,0,0.000244774608338411,0,0,0,0,0,0,0,0,0,0,NA,30969
1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,3293.49138396164,0,0,0,0,0,0,0.000250541032443475,0,0,0,0,0,0,0,0,0,0,NA,31625
0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,4311.19093532685,0,0,0.000500341304935793,0,0,29269.7452205342,0,0,0,0,0,0,0,NA,34800
1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,35163
1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,3293.49137062283,0,0,0,0,0,0,0.000258556218752104,0,0,0,0,0,0,0,0,0,0,NA,35517
1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,4309.45572004506,0,0,0.000164490117762302,0,0,29286.8609593135,0,0,0,0,0,0,0,NA,36537
1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,0,4146.17244155387,0,0,0,0,0,0.0370227689904264,0,0,0,0,0,0,0,0,0,0,NA,37035
1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,37181
1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,4309.39085687546,0,0,0,0,0,29287.5024790349,0,0,0,0,0,0,0,NA,37945
0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,2,0,4146.17016782365,0,0,0,0,0,0.0489434129720151,0,0,0,0,0,0,0,0,0,0,NA,39910
1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,2,0,5.91839395030201e-10,0,0,4320.96122485209,0,0,0,0,0,29173.3912349489,0,0,0,0,0,0,0,NA,40255
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,2,0,5.7254862495281e-10,0,0,4320.91911468503,0,0,0,0,0,29173.8065821675,0,0,0,0,0,0,0,NA,40542
1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,3,0,4056.57274563434,0,0,1218.64365306819,0,0,0.015397247279868,0,0,0,0,0,0,0,0,0,0,NA,41179
0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2,0,6.02803391369957e-10,0,0,4320.9830394262,0,0,0.000936061612371831,0,0,29173.1653787767,0,0,0,0,0,0,0,NA,42642
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,3,0,4056.5727527552,0,0,1218.6437148415,0,0,0.0153359580110382,0,0,0,0,0,0,0,0,0,0,NA,43187
0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0,6323.39835132202,0,0,0,0,0,0,0,0,408.677116952578,0,0,0,0,NA,43312
1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,43877
0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,4146.17067933299,0,0,0,0,0,0.0462616873086087,0,0,0,0,0,0,0,0,0,0,NA,43918
0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,3,0,0,0,0,6320.71804962899,0,0,0.0887146421658958,0,0,0,0,0,409.865418401763,0,0,0,0,NA,44016
1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,3293.49139512884,0,0,0,0,0,0,0.00024383074847983,0,0,0,0,0,0,0,0,0,0,NA,45981
1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,47621
1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,3,0,4056.57280482821,0,0,1218.64416657359,0,0,0.0148877655389009,0,0,0,0,0,0,0,0,0,0,NA,48091
0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,2,0,0,0,0,4311.0650075324,0,0,0.000425187250606373,0,0,29270.9879386907,0,0,0,0,0,0,0,NA,48892
0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,3,0,4056.5723366111,0,0,1218.64010480077,0,0,0.0189177111244248,0,0,0,0,0,0,0,0,0,0,NA,51902
0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,2,0,0,2590.00320366071,0,0,0,0,72.697660008201,0,0,0,0,0,0,0,0,0,0,NA,54188
1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,2,0,4146.17276853095,0,0,0,0,0,0.0353085034060635,0,0,0,0,0,0,0,0,0,0,NA,55747
0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,356.704160737232,0,0,0,0,0,4524.49455715597,0,0,0,NA,56072
1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,57609
1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,2,0,4146.17278501968,0,0,0,0,0,0.035222056809959,0,0,0,0,0,0,0,0,0,0,NA,59523
0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,3,0,4056.5723831877,0,0,1218.64050885184,0,0,0.0185168261717304,0,0,0,0,0,0,0,0,0,0,NA,59858
1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,2,0,7.24081235918722e-10,0,0,4321.22010231211,0,0,0.000693029316681318,0,0,29170.8299144379,0,0,0,0,0,0,0,NA,60855
1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,2,0,0,0,0,4309.41308027191,0,0,0,0,0,29287.2833255051,0,0,0,0,0,0,0,NA,61297
1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,3293.49140883108,0,0,0,0,0,0,0.000235597179900723,0,0,0,0,0,0,0,0,0,0,NA,61877
1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,2,0,6.8460128375345e-10,0,0,4321.14832035092,0,0,0,0,0,29171.5458433626,0,0,0,0,0,0,0,NA,63251
0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2,0,0,0,0,4311.05997892174,0,0,0.000413235869548934,0,0,29271.0376656886,0,0,0,0,0,0,0,NA,65016
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.9742963395,0,NA,65649
0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.9742963395,0,NA,66352
