"a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star","feasible.and.stable","state_idx"
0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,2,0,4.45148334196291e-10,0,0,4320.60326760933,0,0,0.000945505466946456,0,0,29176.9110829471,0,0,0,0,0,0,0,NA,3986
1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4723
0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,4311.20209597564,0,0,0,0,0,29269.6408720225,0,0,0,0,0,0,0,NA,7508
1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,3,0,4056.57282089246,0,0,1218.6443059306,0,0,0.0147495004867782,0,0,0,0,0,0,0,0,0,0,NA,8631
1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,4309.40438593115,0,0,0.000155442774981838,0,0,29287.367288491,0,0,0,0,0,0,0,NA,11413
1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,4146.17254881833,0,0,0,0,0,0.0364604061133771,0,0,0,0,0,0,0,0,0,0,NA,17131
0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,4311.19454332483,0,0,0,0,0,29269.7153539509,0,0,0,0,0,0,0,NA,17968
1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,19023
1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,4309.4197705647,0,0,0,0,0,29287.217349917,0,0,0,0,0,0,0,NA,21873
1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,3293.49139291528,0,0,0,0,0,0,0.000245160856649434,0,0,0,0,0,0,0,0,0,0,NA,22741
0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,7206.00266662613,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,23124
1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,2,0,0,0,0,4309.46111299699,0,0,0.000155953060860487,0,0,29286.8078747719,0,0,0,0,0,0,0,NA,24249
1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,3293.4913906692,0,0,0,0,0,0,0.000246510508512757,0,0,0,0,0,0,0,0,0,0,NA,25081
1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,25469
0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,2,0,4146.17070019229,0,0,0,0,0,0.0461523268097026,0,0,0,0,0,0,0,0,0,0,NA,25538
1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,4309.40745440724,0,0,0,0,0,29287.338804346,0,0,0,0,0,0,0,NA,25913
0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,4311.05895443024,0,0,0.000436328540940738,0,0,29271.0475051451,0,0,0,0,0,0,0,NA,26256
0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,2,0,4146.17099331329,0,0,0,0,0,0.0446155608644852,0,0,0,0,0,0,0,0,0,0,NA,27374
