"a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star","feasible.and.stable","state_idx"
0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,4146.16993208168,0,0,0,0,0,0.0501793538320015,0,0,0,0,0,0,0,0,0,0,NA,6310
0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10266
1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,16437
0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,2,0,4146.16988502952,0,0,0,0,0,0.0504260375018525,0,0,0,0,0,0,0,0,0,0,NA,19434
0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,2,0,0,0,0,4311.18901375733,0,0,0.000461822604065026,0,0,29269.7646103824,0,0,0,0,0,0,0,NA,23952
0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3185.12800087554,0,0,0,0,NA,27204
1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,28689
0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13863.5669935467,0,0,0,0,0,0,NA,35432
1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,2,0,5.66412363333601e-10,0,0,4320.90545915127,0,0,0,0,0,29173.9412713803,0,0,0,0,0,0,0,NA,36727
1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,4309.39060447359,0,0,0,0,0,29287.5049680671,0,0,0,0,0,0,0,NA,38001
0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,43630
0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,51778
1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,3293.49136445342,0,0,0,0,0,0,0.00026226336777267,0,0,0,0,0,0,0,0,0,0,NA,56033
1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,3293.49139541494,0,0,0,0,0,0,0.000243658831506694,0,0,0,0,0,0,0,0,0,0,NA,58077
1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,3293.49140725689,0,0,0,0,0,0,0.000236543099018409,0,0,0,0,0,0,0,0,0,0,NA,62365
1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,3293.49139211444,0,0,0,0,0,0,0.000245642079842099,0,0,0,0,0,0,0,0,0,0,NA,64237
1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,2,0,0,0,0,4309.42024162364,0,0,0.000152327295808548,0,0,29287.2109649124,0,0,0,0,0,0,0,NA,65177
0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,2,0,0,0,0,4311.06631455617,0,0,0,0,0,29270.9799053005,0,0,0,0,0,0,0,NA,65392
0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.000116351335858274,0,0,110.370089243946,0,0,0,0,0,21699.6567799981,0,NA,66768
1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.9742963395,0,NA,69911
1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,8.59571363118138e-05,0,0,97.2389948393459,0,0,0,0,0,21699.6945622614,0,NA,70839
1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.9742963395,0,NA,72511
