"a","b","c","d","e","f","g","h","i","j","k","l","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","feasible.and.stable","state_idx"
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.659424285871844,0,0,0,0,0,0,0,0,0,"TRUE",4
0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0.659424285871842,0,0,0,0,0,0,0,0,0,"TRUE",22
0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0.455610365981246,0.313484039386861,0,0,0,0,0,0,0,"TRUE",24
1,1,0,1,0,1,0,0,0,0,0,0,3,0.352095290900259,0,0,0.522778575534089,0,0.167345307651027,0,0,0,0,0,0,"TRUE",43
1,1,0,1,1,1,0,0,0,0,0,0,3,0.318037733340555,0,0,0.364376436020598,0.327136202488416,0,0,0,0,0,0,0,"TRUE",59
1,1,0,0,0,0,1,0,0,0,0,0,3,0.269028295678878,0.505914116023143,0,0,0,0,0.104850507701819,0,0,0,0,0,"TRUE",67
0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0.599505650674255,0,0,0.372569325919157,0,0,0,0,0,"TRUE",72
0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0.185100435175948,0.385212346618897,0,0,0,0,0,"TRUE",96
0,1,1,1,0,1,1,0,0,0,0,0,3,0,0,0,0.540422489940794,0,0.178421678657303,0.408157597982166,0,0,0,0,0,"TRUE",110
0,0,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0.712265629350721,0,0.322606043145421,0,0,0,0,0,"TRUE",116
0,1,0,1,1,1,1,0,0,0,0,0,3,0,0,0,0.293678802008271,0.468757436571418,0,0.343689391033624,0,0,0,0,0,"TRUE",122
1,1,0,0,0,0,0,1,0,0,0,0,2,0.269028295678878,0.572276012733558,0,0,0,0,0,3.12010778341956e-07,0,0,0,0,"TRUE",131
0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0.618601749885805,0,0,0,0,0.185161547666534,0,0,0,0,"TRUE",134
0,1,1,0,1,0,0,1,0,0,0,0,2,0,0,0.618601716793862,0,4.68614174956818e-08,0,0,0.185161543428194,0,0,0,0,"TRUE",150
1,0,0,1,1,0,0,1,0,0,0,0,3,0.318037733340556,0,0,0.364376436020597,0.327136202488417,0,0,0,0,0,0,0,"TRUE",153
1,1,0,1,0,1,0,1,0,0,0,0,3,0.352095290900259,0,0,0.522778575534089,0,0.167345307651027,0,0,0,0,0,0,"TRUE",171
1,0,0,0,1,1,0,1,0,0,0,0,2,0.362233577550042,0,0,0,0.622141844876495,0,0,0,0,0,0,0,"TRUE",177
1,1,1,1,1,0,1,1,0,0,0,0,4,0.335851588538067,0,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,"TRUE",223
0,1,0,1,0,1,1,1,0,0,0,0,3,0,0,0,0.540422489940794,0,0.178421678657303,0.408157597982166,0,0,0,0,0,"TRUE",234
1,1,1,0,0,0,0,0,1,0,0,0,3,0.681564758128002,1.33967988922954e-10,0.353974870023176,0,0,0,0,0,0.543256421809688,0,0,0,"TRUE",263
1,1,1,0,1,0,0,0,1,0,0,0,3,0.719509537467657,1.39299312025103e-10,5.32861934544177e-07,0,0.515326987180502,0,0,0,0.491558534805501,0,0,0,"TRUE",279
1,0,1,1,1,0,0,0,1,0,0,0,4,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,"TRUE",285
1,1,1,1,1,0,0,0,1,0,0,0,4,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.59065316553102,0,0,0,"TRUE",287
