"a","b","c","d","e","f","g","h","i","j","k","l","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","feasible.and.stable","state_idx"
0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0.659424285871842,0,0,0,0,0,0,0,0,0,"TRUE",22
1,0,1,0,0,1,0,0,0,0,0,0,3,0.352095290900259,0,0.503380196051602,0,0,0.167345307651027,0,0,0,0,0,0,"TRUE",37
0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0.575199040462471,0,0.297225572979494,0,0,0,0,0,0,"TRUE",40
1,0,0,0,1,1,0,0,0,0,0,0,2,0.362233577550044,0,0,0,0.622141844876495,0,0,0,0,0,0,0,"TRUE",49
1,1,0,0,1,1,0,0,0,0,0,0,3,0.340810413884507,0.188560170317196,0,0,0.479143011565845,0,0,0,0,0,0,0,"TRUE",51
1,0,0,1,1,1,0,0,0,0,0,0,3,0.318037733340555,0,0,0.364376436020598,0.327136202488416,0,0,0,0,0,0,0,"TRUE",57
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.345527057690986,0,0,0,0,0,"TRUE",64
1,1,1,1,0,0,1,0,0,0,0,0,3,0.269028295678878,0,0,0.541478805374551,0,0,0.305612987963595,0,0,0,0,0,"TRUE",79
1,1,0,0,1,0,1,0,0,0,0,0,3,0.364280835389008,0,0,0,0.635807216015361,0,0.237947705248012,0,0,0,0,0,"TRUE",83
0,1,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0.293678802008277,0.468757436571411,0,0.343689391033626,0,0,0,0,0,"TRUE",90
1,0,1,1,1,0,1,0,0,0,0,0,4,0.335851588538067,0,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,"TRUE",93
0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0.185100435175948,0.385212346618897,0,0,0,0,0,"TRUE",96
1,0,1,0,0,1,1,0,0,0,0,0,4,0.319080277746698,0,0.344938235859653,0,0,0.100833842795931,0.270343951045312,0,0,0,0,0,"TRUE",101
