"a","b","c","d","e","f","g","h","i","j","k","l","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","feasible.and.stable","state_idx"
0,1,1,0,0,0,1,1,1,0,0,0,3,0,4.39502144675389e-06,0.342253183927515,0,0,0,0.325192227584025,0,0.48629897723422,0,0,0,"TRUE",454
0,1,1,0,1,0,1,1,1,0,0,0,3,0,0,0,0,0.672968782474366,0,0.323870632593137,0,0.526844804721961,0,0,0,"TRUE",470
1,1,1,1,1,0,1,1,1,0,0,0,5,0.75420856139962,0,0,0.0556355403462489,0.467051221025415,0,0.152635602453368,0,0.546776674598636,0,0,0,"TRUE",479
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.659424285871844,0,0,0,0,0,0,0,0,0,"TRUE",516
1,1,1,0,0,0,0,0,0,1,0,0,2,0.269028295678878,0,0.578778106578229,0,0,0,0,0,0,0,0,0,"TRUE",519
1,0,0,1,1,0,0,0,0,1,0,0,3,0.318037733583681,0,0,0.364376435921363,0.327136202519134,0,0,0,0,1.51837647850506e-10,0,0,"TRUE",537
0,1,0,0,0,1,0,0,0,1,0,0,3,0,0.535087633941554,0,0,0,0.297225572979494,0,0,0,0.12262888626525,0,0,"TRUE",546
1,0,1,0,1,1,0,0,0,1,0,0,4,0.348158837230991,0,0.495168804368574,0,0.0191090037722787,0.153650497766391,0,0,0,0,0,0,"TRUE",565
0,1,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0.599505326552881,0,0,0.372570531208082,0,0,1.61437176509398e-06,0,0,"TRUE",590
1,0,0,0,1,0,1,0,0,1,0,0,3,0.36428083538901,0,0,0,0.635807216015361,0,0.237947705248012,0,0,0,0,0,"TRUE",593
1,1,0,0,1,0,1,0,0,1,0,0,3,0.364280835389008,0,0,0,0.635807216015361,0,0.237947705248012,0,0,0,0,0,"TRUE",595
1,0,1,1,1,0,1,0,0,1,0,0,4,0.335851588538067,0,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,"TRUE",605
0,1,0,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0.712258253990318,0,0.329153916114553,0,0,0.00879164091626985,0,0,"TRUE",626
1,0,0,1,1,1,1,0,0,1,0,0,4,0.335851588538069,0,0,0.236058144339668,0.44604303388734,0,0.261501353083417,0,0,0,0,0,"TRUE",633
1,1,1,1,1,1,1,0,0,1,0,0,4,0.335851588538066,0,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,"TRUE",639
1,1,0,1,0,0,0,1,0,1,0,0,2,0.275453507685898,0,0,0.591966127158603,0,0,0,3.43608225048127e-10,0,0.00436126487915744,0,0,"TRUE",651
0,0,1,1,0,0,0,1,0,1,0,0,3,0,0,0.24023693327258,0.42067857660749,0,0,0,0.185161547666534,0,0,0,0,"TRUE",652
1,1,0,1,1,1,0,1,0,1,0,0,3,0.318037733562327,0,0,0.364376435930079,0.327136202516436,0,0,0,0,1.38501931695643e-10,0,0,"TRUE",699
1,1,1,1,0,0,1,1,0,1,0,0,3,0.269028295678878,0,0,0.541478805374551,0,0,0.305612987963595,0,0,0,0,0,"TRUE",719
0,0,1,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0.712258253987353,0,0.329153911682421,0,0,0.0087916351407489,0,0,"TRUE",724
0,0,1,0,0,1,1,1,0,1,0,0,3,0,0,0.346922611314121,0,0,0.190747265090754,0.365812338333052,0,0,0,0,0,"TRUE",740
1,1,0,0,0,0,0,0,1,1,0,0,3,0.640897248548447,0.387453969778067,0,0,0,0,0,0,0.489702644752272,0,0,0,"TRUE",771
1,0,1,1,0,0,0,0,1,1,0,0,3,0.810092396239882,0,0,0.353681770766742,0,0,0,0,0.712510466336691,0,0,0,"TRUE",781
0,1,0,0,1,0,0,0,1,1,0,0,4,0,0.175890588235412,0,0,0.508853024686519,0,0,0,0.555703684373514,0.12262888626525,0,0,"TRUE",786
1,1,0,1,1,0,0,0,1,1,0,0,4,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,"TRUE",795
0,1,1,1,1,0,0,0,1,1,0,0,4,0,0,4.66777440141825e-09,0.288420642100102,0.39015918039621,0,0,0,0.764878315925368,0.122628883229424,0,0,"TRUE",798
0,0,0,0,1,1,0,0,1,1,0,0,3,0,0,0,0,0.649992703495818,0,0,0,0.504462443617788,0.12262888626525,0,0,"TRUE",816
0,1,0,0,1,1,0,0,1,1,0,0,4,0,0.175890588235412,0,0,0.508853024686518,0,0,0,0.555703684373514,0.12262888626525,0,0,"TRUE",818
0,0,0,1,1,1,0,0,1,1,0,0,4,0,0,0,0.288420642632897,0.390159185572882,0,0,0,0.764878314899644,0.12262888626525,0,0,"TRUE",824
0,1,0,0,1,0,1,0,1,1,0,0,3,0,0,0,0,0.672991912389475,0,0.330158718331841,0,0.52643973519622,0.00844413740978047,0,0,"TRUE",850
0,0,0,1,1,0,1,0,1,1,0,0,4,0,0,0,0.158321321993316,0.531011477567108,0,0.339471630651381,0,0.670008340227865,0.00522484401285815,0,0,"TRUE",856
0,0,0,0,1,0,0,1,1,1,0,0,3,0,0,0,0,0.649992703495818,0,0,0,0.504462443617788,0.12262888626525,0,0,"TRUE",912
1,0,0,1,1,0,0,1,1,1,0,0,4,0.777977269266948,0,0,0.111768694679855,0.40330470207851,0,0,0,0.590653165531019,0,0,0,"TRUE",921
0,0,1,1,1,1,0,1,1,1,0,0,4,0,0,4.41473755999929e-09,0.288420642128985,0.390159180676833,0,0,0,0.764878315869764,0.122628883393994,0,0,"TRUE",956
0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0.342255473177365,0,0,0,0.325193651321926,0,0.486297951420365,0,0,0,"TRUE",964
0,1,1,0,0,0,1,1,1,1,0,0,3,0,4.50098736970008e-06,0.342253128732575,0,0,0,0.325192193257012,0,0.486299001966962,0,0,0,"TRUE",966
0,0,0,1,1,0,1,1,1,1,0,0,4,0,0,0,0.15832132155437,0.531011477973775,0,0.339471631421072,0,0.670008339782663,0.00522484507310567,0,0,"TRUE",984
1,1,0,1,0,1,1,1,1,1,0,0,4,0.789044319253964,0,0,0.333530348683293,0,0,0.171869611935016,0,0.684792909150441,0,0,0,"TRUE",1003
0,1,0,0,1,1,1,1,1,1,0,0,3,0,0,0,0,0.672991912389227,0,0.330158718285524,0,0.526439735199093,0.00844413734933693,0,0,"TRUE",1010
1,0,1,0,1,0,0,0,0,0,1,0,2,0.269028306895034,0,0.578778051869951,0,7.04097243250092e-08,0,0,0,0,0,0,0,"TRUE",1045
1,1,0,1,1,0,0,0,0,0,1,0,3,0.318037733340555,0,0,0.364376436020598,0.327136202488417,0,0,0,0,0,0,0,"TRUE",1051
1,1,1,0,0,1,0,0,0,0,1,0,3,0.352095290900256,0,0.503380196051603,0,0,0.167345307651026,0,0,0,0,0,0,"TRUE",1063
1,1,1,0,0,0,1,0,0,0,1,0,3,0.269028295678878,0,0.399346242924119,0,0,0,0.257463001701229,0,0,0,0,0,"TRUE",1095
0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0.599505650674255,0,0,0.372569325919157,0,0,0,0,0,"TRUE",1098
0,0,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0.599505650674256,0,0,0.372569325919157,0,0,0,0,0,"TRUE",1100
0,1,1,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0.712265629350721,0,0.322606043145421,0,0,0,0,0,"TRUE",1142
0,0,1,0,1,1,0,1,0,0,1,0,4,0,0,0.516846920640423,0,0.0205852669330803,0.290207020389348,0,0.183416754512143,0,0,0,0,"TRUE",1204
0,1,0,0,0,0,1,1,0,0,1,0,3,0,0.545114510127897,0,0,0,0,0.162387712504839,0,0,0,0.0222695725945414,0,"TRUE",1218
0,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0.599505650674255,0,0,0.372569325919158,0,0,0,0,0,"TRUE",1224
0,1,1,0,1,0,1,1,0,0,1,0,2,0,0,0,0,0.712265629350721,0,0.322606043145421,0,0,0,0,0,"TRUE",1238
0,1,0,1,1,0,1,1,0,0,1,0,3,0,0,0,0.293678802008271,0.468757436571418,0,0.343689391033624,0,0,0,0,0,"TRUE",1242
1,1,0,1,0,1,1,1,0,0,1,0,4,0.313934362757649,0,0,0.501835452974002,0,0.0904669729616067,0.312481356334604,0,0,0,0,0,"TRUE",1259
0,1,0,0,1,0,0,0,1,0,1,0,3,0,0.17197533205186,0,0,0.516786150073083,0,0,0,0.564074661056391,0,0,0,"TRUE",1298
0,0,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0.132064942042457,0,0,0.124697780552645,0,0.0501483045345741,0,"TRUE",1312
0,0,0,1,1,1,0,0,1,0,1,0,3,0,0,0,0.296007405232136,0.388115804125127,0,0,0,0.781240012617164,0,0,0,"TRUE",1336
1,1,1,1,1,1,0,0,1,0,1,0,4,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,"TRUE",1343
0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0.350450516467223,0,0.163078016978485,0,0.0159789915099879,0,"TRUE",1344
1,1,1,0,1,0,1,0,1,0,1,0,4,0.725201214065991,0,0,0,0.522942247997359,0,0.155264608775061,0,0.497551351688232,0,0,0,"TRUE",1367
0,1,0,1,1,0,1,0,1,0,1,0,4,0,0,0,0.160163857866946,0.529344894883802,0,0.335717120260957,0,0.671928021908426,0,0,0,"TRUE",1370
1,1,1,1,0,1,1,0,1,0,1,0,4,0.789044319253964,0,0,0.333530348683293,0,0,0.171869611935017,0,0.684792909150441,0,0,0,"TRUE",1391
1,1,0,0,0,0,0,1,1,0,1,0,3,0.640897248548447,0.387453969778067,0,0,0,0,0,0,0.489702644752272,0,0,0,"TRUE",1411
0,1,1,0,0,0,0,1,1,0,1,0,2,0,0,0.535934623446373,0,0,0,0,0,0.663317991239174,0,0,0,"TRUE",1414
0,1,0,0,0,1,0,1,1,0,1,0,4,0,0.557131567986727,0,0,0,0,0,0.0154726189679521,0.561438511713898,0,0.0163460228828088,0,"TRUE",1442
0,0,0,0,0,1,1,1,1,0,1,0,3,0,0,0,0,0,5.04296201913971e-10,0.350450513873268,0,0.163078019644743,0,0.0159789830251045,0,"TRUE",1504
1,0,0,0,0,1,1,1,1,0,1,0,3,0.418880527168264,0,0,0,0,0,0.245350582858336,0,0.197335737539027,0,0,0,"TRUE",1505
0,1,0,0,0,1,1,1,1,0,1,0,3,0,0.45591559524274,0,0,0,0,0.186616506065774,0,0.494480083994745,0,0,0,"TRUE",1506
1,0,0,0,1,1,1,1,1,0,1,0,4,0.72520121406599,0,0,0,0.522942247997359,0,0.155264608775061,0,0.497551351688231,0,0,0,"TRUE",1521
1,1,0,1,1,1,1,1,1,0,1,0,5,0.754208561399581,0,0,0.0556355403461707,0.467051221025501,0,0.152635602453372,0,0.546776674598569,0,0,0,"TRUE",1531
1,0,0,0,0,0,0,0,0,1,1,0,2,0.398310815226056,0,0,0,0,0,0,0,0,0,0.122625404476352,0,"TRUE",1537
1,0,1,0,0,0,1,0,0,1,1,0,3,0.269028295678878,0,0.39934624292425,0,0,0,0.25746300170132,0,0,0,0,0,"TRUE",1605
1,0,1,1,1,1,1,0,0,1,1,0,4,0.335851588538069,0,0,0.236058144339668,0.44604303388734,0,0.261501353083417,0,0,0,0,0,"TRUE",1661
0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0.340048623186438,0,0.12262888626525,0.191338276499656,0,"TRUE",1664
1,0,0,0,0,0,0,1,0,1,1,0,2,0.398310815226056,0,0,0,0,0,0,0.0002203389083265,0,0,0.122625404476352,0,"TRUE",1665
0,0,0,0,1,0,0,1,0,1,1,0,3,0,0,0,0,0.68267359829061,0,0,0.127323545162775,0,0.12262888626525,0,0,"TRUE",1680
1,1,1,0,1,0,0,1,0,1,1,0,2,0.26902830829775,0,0.578778044178343,0,7.9215310849444e-08,0,0,3.77991270381883e-09,0,0,0,0,"TRUE",1687
1,0,0,1,1,0,0,1,0,1,1,0,3,0.318037733562987,0,0,0.36437643592981,0.327136202516519,0,0,0,0,1.3891415404624e-10,0,0,"TRUE",1689
0,1,1,1,1,0,0,1,0,1,1,0,5,0,0,0.14698539825529,0.355558329072586,0.220369265660242,0,0,0.166491251686306,0,0.0373067837243848,0,0,"TRUE",1694
0,1,1,1,0,1,0,1,0,1,1,0,4,0,0,0.19631477642786,0.366646304338852,0,0.306606495780453,0,0.185161547666534,0,0.00867204823235859,0,0,"TRUE",1710
0,0,0,0,1,1,0,1,0,1,1,0,3,0,0,0,0,0.68267359829061,0,0,0.127323545162775,0,0.12262888626525,0,0,"TRUE",1712
1,0,0,1,1,1,0,1,0,1,1,0,3,0.318037733553923,0,0,0.36437643593351,0.327136202515374,0,0,0,0,1.33253146788013e-10,0,0,"TRUE",1721
0,0,1,1,0,0,1,1,0,1,1,0,2,0,0,0,0.59950532391615,0,0,0.372570541013089,0,0,1.62750459205469e-06,0,0,"TRUE",1740
1,0,1,1,0,0,1,1,0,1,1,0,3,0.269028295678878,0,0,0.541478805374551,0,0,0.305612987963595,0,0,0,0,0,"TRUE",1741
0,1,0,0,1,1,1,1,0,1,1,0,2,0,0,0,0,0.712258253990256,0,0.329153916022517,0,0,0.00879164079633843,0,0,"TRUE",1778
