"a","b","c","d","e","f","g","h","i","j","k","l","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","feasible.and.stable","state_idx"
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.659424285871842,0,0,0,0,0,0,0,0,0,"TRUE",6
0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0.272741820378685,0.429926415036968,0,0,0,0,0,0,0,0,"TRUE",12
1,0,0,0,1,0,0,0,0,0,0,0,2,0.362233577550042,0,0,0,0.622141844876497,0,0,0,0,0,0,0,"TRUE",17
1,0,1,0,1,0,0,0,0,0,0,0,2,0.269028304960306,0,0.578778061306843,0,5.82644168617363e-08,0,0,0,0,0,0,0,"TRUE",21
1,1,1,0,1,0,0,0,0,0,0,0,2,0.269028305513977,0,0.578778058606237,0,6.17401040277151e-08,0,0,0,0,0,0,0,"TRUE",23
0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0.455610365981246,0.313484039386861,0,0,0,0,0,0,0,"TRUE",24
0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0.226770911352503,0.406333576647464,0.0949528962279134,0,0,0,0,0,0,0,"TRUE",30
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.693193876004243,0,0,0,0,0,0,0,"TRUE",48
1,0,0,0,1,1,0,0,0,0,0,0,2,0.362233577550044,0,0,0,0.622141844876495,0,0,0,0,0,0,0,"TRUE",49
0,1,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0.441415898971841,0.312701987842656,0.0495535280850556,0,0,0,0,0,0,"TRUE",58
1,1,1,0,0,0,1,0,0,0,0,0,3,0.269028295678878,0,0.399346242924122,0,0,0,0.257463001701231,0,0,0,0,0,"TRUE",71
0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0.712265629350721,0,0.322606043145421,0,0,0,0,0,"TRUE",82
1,0,1,0,1,0,1,0,0,0,0,0,3,0.364280835389008,0,0,0,0.635807216015362,0,0.237947705248012,0,0,0,0,0,"TRUE",85
