"a","b","c","d","e","f","g","h","i","j","k","l","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","feasible.and.stable","state_idx"
0,1,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0.441415898971841,0.312701987842656,0.0495535280850556,0,0,0,0,0,0,"TRUE",58
0,1,1,0,0,1,1,0,0,0,0,0,3,0,0,0.346922611314111,0,0,0.190747265090756,0.365812338333045,0,0,0,0,0,"TRUE",102
1,1,0,0,0,1,0,1,0,0,0,0,3,0.352095290900259,0.484698872731937,0,0,0,0.167345307651027,0,0,0,0,0,0,"TRUE",163
1,1,0,0,1,1,0,1,0,0,0,0,3,0.340810413884507,0.188560170317196,0,0,0.479143011565845,0,0,0,0,0,0,0,"TRUE",179
1,0,1,0,1,0,1,1,0,0,0,0,3,0.364280835389008,0,0,0,0.635807216015362,0,0.237947705248012,0,0,0,0,0,"TRUE",213
1,0,0,0,1,0,1,0,1,0,0,0,4,0.725201214065993,0,0,0,0.522942247997361,0,0.155264608775061,0,0.497551351688233,0,0,0,"TRUE",337
0,1,0,1,1,0,0,1,1,0,0,0,3,0,0,0,0.296007405232136,0.388115804125127,0,0,0,0.781240012617164,0,0,0,"TRUE",410
0,1,1,0,0,1,1,1,1,0,0,0,3,0,4.40793595941211e-06,0.342253177200676,0,0,0,0.325192223400447,0,0.486298980248503,0,0,0,"TRUE",486
1,1,0,1,1,0,0,0,0,1,0,0,3,0.318037733589324,0,0,0.36437643591906,0.327136202519847,0,0,0,0,1.55361717469247e-10,0,0,"TRUE",539
0,1,1,0,0,1,1,0,0,1,0,0,3,0,0,0.346922611314111,0,0,0.190747265090756,0.365812338333045,0,0,0,0,0,"TRUE",614
0,1,0,0,0,0,0,1,0,1,0,0,3,0,0.596348101569753,0,0,0,0,0,0.185161547666534,0,0.12262888626525,0,0,"TRUE",642
1,0,0,1,0,0,1,1,0,1,0,0,3,0.269028295678878,0,0,0.541478805374552,0,0,0.305612987963595,0,0,0,0,0,"TRUE",713
0,0,1,0,0,1,1,1,0,1,0,0,3,0,0,0.346922611314121,0,0,0.190747265090754,0.365812338333052,0,0,0,0,0,"TRUE",740
1,1,1,0,0,1,1,1,0,1,0,0,4,0.319080277746711,0,0.344938235859522,0,0,0.100833842795957,0.270343951045232,0,0,0,0,0,"TRUE",743
