"a","b","c","d","e","f","g","h","i","j","k","stable","feasible","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star"
0,1,1,0,0,1,0,0,0,0,0,TRUE,TRUE,2,0,9.43838768014913e-133,2.99696410222578,0,0,1.21031457190054,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0,FALSE,FALSE,3,8.04432456885325e+74,0,1.23939524543576e+75,0,0,6.36865991541895e+73,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,TRUE,TRUE,2,0,0,0,0.723289691988043,0,1.49046283171866,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,TRUE,TRUE,3,1.49259291114386,0,0,0.423467333286121,0,1.4044181828642,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0,2.73754791120529,0,0.209369608941227,0,1.39771092923218,0,0,0,0,0
1,1,0,1,0,1,0,0,0,0,0,TRUE,TRUE,3,2.37211935556954,4.64302289696155,0,7.32307096496469e-215,0,1.52204054520382,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0,0,2.9507252952791,0.219086086563431,0,1.32299825697531,0,0,0,0,0
1,0,1,1,0,1,0,0,0,0,0,FALSE,FALSE,3,6.07530383819525e+103,0,9.36026713888602e+103,0,0,4.80979399788432e+102,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0,2.3158556364019e-119,2.9507252952791,0.219086086563431,0,1.32299825697531,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0,FALSE,FALSE,3,4.51261124519866e+103,0,6.95261469614784e+103,0,0,3.57261645837138e+102,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,TRUE,TRUE,2,0,0,0,0,1.43148872821817,1.16837944073174,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,TRUE,TRUE,2,1.77039792585631e-10,0,0,0,1.43148872818437,1.16837944073907,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0,2.04821804239536,0,0,0.93161674630575,1.28021509005027,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0,TRUE,TRUE,3,2.37211935556954,4.64302289696155,0,0,7.84073700030932e-45,1.52204054520382,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0,0,2.98453181705834,0,0.761027374919087,1.23907860988407,0,0,0,0,0
1,0,1,0,1,1,0,0,0,0,0,FALSE,FALSE,3,6.95072339526778e+73,0,1.07090327530905e+74,0,0,5.5028601956224e+72,0,0,0,0,0
0,1,1,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0,1.17259166030435e-148,2.98453181705834,0,0.761027374919087,1.23907860988407,0,0,0,0,0
1,1,1,0,1,1,0,0,0,0,0,FALSE,FALSE,3,2.87928308437298e+103,0,4.43613349323649e+103,0,0,2.27951701943883e+102,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,0,TRUE,TRUE,3,0,0,0,0.635425511116064,1.35180434737706,1.49647873977275,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,TRUE,TRUE,4,0.471754392713009,0,0,0.545686386810408,1.27451191721648,1.46893917933878,0,0,0,0,0
0,1,0,1,1,1,0,0,0,0,0,TRUE,TRUE,4,0,2.35098508920747,0,0.228047666631479,0.829127899776424,1.41449806273568,0,0,0,0,0
