"a","b","c","d","e","f","g","h","i","j","k","l","stable","feasible","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star"
0,0,0,0,1,0,1,0,0,0,0,0,TRUE,TRUE,2,0,0,0,0,0.712265629350723,0,0.322606043145421,0,0,0,0,0
1,0,0,0,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0.364280835389009,0,0,0,0.635807216015364,0,0.237947705248012,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,TRUE,TRUE,2,0,8.74757602153047e-31,0,0,0.712265629350721,0,0.322606043145421,0,0,0,0,0
1,1,0,0,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0.364280835389008,2.99136190337151e-29,0,0,0.635807216015361,0,0.237947705248012,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0,0,0,TRUE,TRUE,2,0,0,1.01885240778193e-28,0,0.712265629350721,0,0.322606043145421,0,0,0,0,0
1,0,1,0,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0.364280835389008,0,2.95714023859971e-27,0,0.635807216015362,0,0.237947705248012,0,0,0,0,0
0,1,1,0,1,0,1,0,0,0,0,0,TRUE,TRUE,2,0,5.1333729255189e-31,1.36215184848605e-28,0,0.712265629350721,0,0.322606043145421,0,0,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0.364280835389008,1.83699062110169e-29,3.9031637755644e-27,0,0.635807216015362,0,0.237947705248012,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0,0,0,0.293678802008277,0.468757436571411,0,0.343689391033626,0,0,0,0,0
1,0,0,1,1,0,1,0,0,0,0,0,TRUE,TRUE,4,0.335851588538066,0,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0
0,1,0,1,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0,8.42807718475723e-94,0,0.293678802008277,0.468757436571411,0,0.343689391033626,0,0,0,0,0
1,1,0,1,1,0,1,0,0,0,0,0,TRUE,TRUE,4,0.335851588538067,4.53015854757678e-80,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0
0,0,1,1,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0,0,9.58884461539826e-71,0.293678802008277,0.468757436571411,0,0.343689391033626,0,0,0,0,0
1,0,1,1,1,0,1,0,0,0,0,0,TRUE,TRUE,4,0.335851588538067,0,3.4356387301416e-61,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0
0,1,1,1,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0,7.49765424229597e-94,1.21386126140548e-70,0.293678802008277,0.468757436571411,0,0.343689391033626,0,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0,0,TRUE,TRUE,4,0.335851588538067,3.97069986805219e-80,4.31912847856148e-61,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,TRUE,TRUE,2,0,0,0,0,0,0.185100435175948,0.385212346618897,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0.316635212877443,0,0,0,0,0.0959080581123554,0.290365402929697,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0,0.406871875366824,0,0,0,0.223954666324565,0.251726405374789,0,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,0,TRUE,TRUE,4,0.33362050657427,0.408427959036164,0,0,0,0.130126332068979,0.15128106010943,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0,0,0.346922611314121,0,0,0.190747265090754,0.365812338333052,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0,0,TRUE,TRUE,4,0.319080277746698,0,0.344938235859653,0,0,0.100833842795931,0.270343951045312,0,0,0,0,0
0,1,1,0,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0,1.98529051066486e-14,0.346922611314111,0,0,0.190747265090756,0.365812338333045,0,0,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0,TRUE,TRUE,4,0.31908027774671,2.30887714057273e-13,0.344938235859526,0,0,0.100833842795956,0.270343951045235,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0,0,0,0.540422489940794,0,0.178421678657303,0.408157597982166,0,0,0,0,0
1,0,0,1,0,1,1,0,0,0,0,0,TRUE,TRUE,4,0.313934362757649,0,0,0.501835452974002,0,0.0904669729616067,0.312481356334604,0,0,0,0,0
0,1,0,1,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0,1.26479468517334e-113,0,0.540422489940794,0,0.178421678657303,0.408157597982166,0,0,0,0,0
