"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action"
0.600976757259498,0,0,0.179752194990853,0.416165834667695,0,0.600976757259498,0,0.467933779432931,0.179752194990853,0.416165834667695,0
0,0,0.00052248287067135,0,0,0.13539143621035,0,0,0.00052248287067135,0,0,0
0,0.600976757259498,0,0.467933779432931,0.179752194990853,0.416165834667695,0,0.600976757259498,0,0,0,0.416165834667695
0.13539143621035,0,0,0.00052248287067135,0,0,0.13539143621035,0,0,0,0,0
0.416165834667695,0,0.600976757259498,0,0.467933779432931,0,0.416165834667695,0,0,0,0.467933779432931,0.179752194990853
0,0,0,0,0.00052248287067135,0,0,0.13539143621035,0,0,0.00052248287067135,0
0.179752194990853,0.416165834667695,0,0.600976757259498,0,0.467933779432931,0,0.416165834667695,0,0.600976757259498,0,0.467933779432931
0,0,0.13539143621035,0,0,0,0,0,0.13539143621035,0,0,0.00052248287067135
0.467933779432931,0,0.416165834667695,0,0.600976757259498,0,0.467933779432931,0.179752194990853,0.416165834667695,0,0.600976757259498,0
0.00052248287067135,0,0,0.13539143621035,0,0,0.00052248287067135,0,0,0.13539143621035,0,0
