"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0,0.604469862111489,0,0,0,0,0,0,0,0,0,0
0.269028130115122,0,0.538878746687145,0,0,0,0,0,0,0,0,0
0,0,0,0.66344817927993,0,0,0,0,0,0,0,0
0.26902800141211,0.0648083778635363,0,0.593929938204314,0,0,0,0,0,0,0,0
0,0,0.317141009373113,0.391911594012926,0,0,0,0,0,0,0,0
0,1.008238533955e-07,0.593226749180678,0,0.0318883342533498,0,0,0,0,0,0,0
0,0,0.309113326556291,0.376011481149488,0.0343493574966687,0,0,0,0,0,0,0
0,0,0,0,0,0.637592967817867,0,0,0,0,0,0
0,0.540716091305498,0,0,0,0.194580683448883,0,0,0,0,0,0
0.339786110367895,7.65347532173309e-06,0.475068717402442,0,0,0.142547760392297,0,0,0,0,0,0
0,0,0.290949434892277,0.351810795075273,0,0.210589217493801,0,0,0,0,0,0
0,2.00546592877627e-05,0.482930627436396,0,0.102129212986455,0.196418841605606,0,0,0,0,0,0
0.383821036729899,0,0,0.310405200340155,0.322991972955347,0.133777195052602,0,0,0,0,0,0
0.377204744485107,0.0143848996175312,0,0.330543599881089,0.297753742516575,0.128065319346748,0,0,0,0,0,0
0.350245369799507,0,0.191523773059102,0.273959348617324,0.150720372244784,0.118129802434732,0,0,0,0,0,0
0.374164839604862,4.26672715724847e-05,0.0549693537498321,0.300004587246798,0.273473337313214,0.129269285367069,0,0,0,0,0,0
0,0,0,0,0,0,0.345527066322278,0,0,0,0,0
0.269028328519715,0,0.423088876488761,0,0,0,0.256052421087957,0,0,0,0,0
0,0,0.501259351362495,0,0,0,0.315760472046249,0,0,0,0,0
0,0.000907470761253068,0,0.599559490928393,0,0,0.372255485469764,0,0,0,0,0
0.269028218171032,0,0,0.541415643437294,0,0,0.305980822763918,0,0,0,0,0
0.364425932790951,0,0,0,0.636775956738608,0,0.237881838784412,0,0,0,0,0
0.347407980036968,0,0.104975695795062,0,0.523181692861633,0,0.239370627097324,0,0,0,0,0
0,0,0.153219690549531,0,0.542079267711165,0,0.31898034116606,0,0,0,0,0
0.350125058917831,6.60416240288337e-06,0.088210583469911,0,0.541318103254563,0,0.239130907439141,0,0,0,0,0
0,0,0.420177083931569,0,0,0.1281801197084,0.348045942210421,0,0,0,0,0
0,0,0.458659979515803,0,0,0.101956418887673,0.340148844861249,0,0,0,0,0
0,0,0,0.554356211279406,0,0.13299488066953,0.405559070981278,0,0,0,0,0
0.315478203874127,0,0,0.499570883036833,0,0.0935772819574573,0.31797086916067,0,0,0,0,0
0.317311528048575,0,0,0.542640954656188,0,0.0972706723311577,0.318071761296816,0,0,0,0,0
0,0,0,0.606026028333541,0,0.137137405127854,0.405941642955155,0,0,0,0,0
0,0.0887358905309353,0,0,0.63373878044201,0.032544455679817,0.301181460930741,0,0,0,0,0
0,0,0,0.286928272943438,0.470050174840401,0.017838237536702,0.347167807570043,0,0,0,0,0
0,0,0,0.319016359283312,0.610126372815962,0.031812976860903,0.35616935274682,0,0,0,0,0
0,0,0,0,0,0,0,1.4257159748535,0,0,0,0
0,0,0.585184058924657,0,0,0,0,0.253117658354652,0,0,0,0
0,1.79972805360435e-05,0.565895195779139,0,0,0,0,0.291734000587802,0,0,0,0
0.269059227740081,3.62298736348235e-05,0.20653936407709,0.364084590193373,0,0,0,0.264660676407274,0,0,0,0
0,0.246610793754322,0,0,0.483549019574744,0,0,0.329397718323065,0,0,0,0
0.290984595245817,0,0.433144305050679,0,0.146449926763714,0,0,0.138238262743302,0,0,0,0
0.320868413600212,0.0238452514938547,0,0.303768013117375,0.345846132985117,0,0,0.237065580078988,0,0,0,0
0,0,0.554346206074312,0,0,0.199392508153782,0,0.0395286447495466,0,0,0,0
0,1.88217995685065e-05,0.531546917399782,0,0,0.216376543585981,0,0.0617208599049817,0,0,0,0
0.340173252123301,8.21768295493206e-06,0.473504265313563,0,0,0.143325945360271,0,0.00734387162074723,0,0,0,0
0,0.0550729973130737,0,0.556766884528649,0,0.273829229849567,0,0.126735521646184,0,0,0,0
0.363400144056055,0.0411648889000713,0,0.500913412580454,0,0.190105950837961,0,0.0608537853410416,0,0,0,0
0.378348895188814,0.177449527207611,0,0,0.454125555661504,0.083155156687032,0,0.0841920212586968,0,0,0,0
0,0,0.524270126972834,0,0.0556909046948313,0.189770883991812,0,0.0418908135757765,0,0,0,0
0,0,0,0.328910894526841,0.345117491205133,0.239380788032823,0,0.173043761580108,0,0,0,0
0.35044179717279,0,0.192067492304482,0.27110937531706,0.152095364873096,0.118108837665998,0,0.00713260086720813,0,0,0,0
0,0,0.456970123641835,0,0,0,0.318378432267213,0.103601159069726,0,0,0,0
0.26903373111684,0,0.418123156308922,0,0,0,0.256346142901093,0.0458350021441565,0,0,0,0
0,0,0,0.578551009550146,0,0,0.371624143361963,0.105453001669946,0,0,0,0
0,0,0,0.318690034011947,0.599536956996787,0,0.348725924353648,0.0219523832706452,0,0,0,0
0,2.87654603972342e-05,0,0.322164579176817,0.689368855412124,0,0.351050310641017,0.0699649978667265,0,0,0,0
0,0.480589183284155,0,0,0,0.135779726615714,0.207127515801458,0.041934448861827,0,0,0,0
0,0,0.425846363811899,0,0,0.126054816698905,0.347253467916786,0,0,0,0,0
0.313786252372526,0,0,0.555894311923166,0,0.0901862891400771,0.317673512703645,0,0,0,0,0
0.3670230295361,0,0,0,0.634244752742282,0.00599387639893441,0.238627269261301,0.00898734557446557,0,0,0,0
0,0,0,0.316230416089117,0.450297951508366,0.0157548991561323,0.348678528500531,0,0,0,0,0
0.323905970078701,0,0,0.276850928382352,0.424323588619011,0,0.263147744448272,0,0,0,0,0
0,2.84876682962537e-05,0,0.330862931649467,0.699122725017797,0.040716189522148,0.361177241043692,0.0201014074583519,0,0,0,0
0.681875890031936,0,0.354391086988491,0,0,0,0,0,0.543666160363517,0,0,0
0.686614139554814,0,0.36073720144814,0,0,0,0,0,0.549905812342405,0,0,0
0.810092335695281,0,0,0.353681773455593,0,0,0,0,0.712510466959656,0,0,0
0.797604565523076,0,0.0913490718175214,0.281013500998749,0,0,0,0,0.696065694830367,0,0,0
0,0.244526298713575,0,0,0.45691682193936,0,0,0,0.584329074145223,0,0,0
0,0,0.429788586326061,0,0.163580656361542,0,0,0,0.651821136516052,0,0,0
0.725777422213627,1.81405050844614e-05,0.0930795848781153,0,0.407471901071646,0,0,0,0.521090758736862,0,0,0
0,0,0.210298344437783,0.241523502711093,0.19503599886212,0,0,0,0.798527883471028,0,0,0
