"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action"
0.318589866651461,0,0,0,0,0,0,0,0,0,0,0
0,0.0117960224961867,0,0,0,0,0,0,0,0,0,0
0,0,0.0827405140487656,0,0,0,0,0,0,0,0,0
0,0,0,0.138249827089392,0,0,0,0,0,0,0,0
0,0,0,0,0.318589866651461,0,0,0,0,0,0,0
0,0,0,0,0,0.0117960224961867,0,0,0,0,0,0
0,0,0,0,0,0,0.0827405140487656,0,0,0,0,0
0,0,0,0,0,0,0,0.138249827089392,0,0,0,0
0,0,0,0,0,0,0,0,0.318589866651461,0,0,0
0,0,0,0,0,0,0,0,0,0.0117960224961867,0,0
0,0,0,0,0,0,0,0,0,0,0.0827405140487656,0
0.011938032813254,0.00578629836457919,0.138249827089392,0.011938032813254,0.00578629836457919,0.138249827089392,0,0,0,0,0.00578629836457919,0
0.318589866651461,0.264893110739607,0,0.318589866651461,0,0,0.318589866651461,0.264893110739607,0,0,0.264893110739607,0
0,0.0117960224961867,0,0,0,0,0,0,0,0.0456839689908367,0.0117960224961867,0
0.0264915112980257,0.00856310618074885,0,0.0264915112980257,0,0,0,0,0,0.0264915112980257,0.00856310618074885,0
0.138249827089392,0.011938032813254,0.00578629836457919,0.138249827089392,0.011938032813254,0.00578629836457919,0.138249827089392,0.011938032813254,0.00578629836457919,0.138249827089392,0.011938032813254,0
0,0,0,0,0,0,0,0,0,0,0,0.264893110739607
0.0145178400197037,0.0456839689908367,0.0117960224961867,0.0145178400197037,0,0.0117960224961867,0,0.0456839689908367,0.0117960224961867,0,0,0.0117960224961867
0.0827405140487656,0.0264915112980257,0.00856310618074885,0.0827405140487656,0.0264915112980257,0.00856310618074885,0.0827405140487656,0.0264915112980257,0.00856310618074885,0.0827405140487656,0,0.00856310618074885
0,0.138249827089392,0,0,0.138249827089392,0.011938032813254,0,0,0.011938032813254,0,0.138249827089392,0.011938032813254
0.264893110739607,0.220539476760298,0.318589866651461,0.264893110739607,0.220539476760298,0.318589866651461,0.264893110739607,0.220539476760298,0.318589866651461,0,0.220539476760298,0.318589866651461
0.0117960224961867,0,0.0456839689908367,0.0117960224961867,0,0.0456839689908367,0,0,0,0.0117960224961867,0.0145178400197037,0.0456839689908367
0.00856310618074885,0.0827405140487656,0.0264915112980257,0.00856310618074885,0.0827405140487656,0.0264915112980257,0.00856310618074885,0.0827405140487656,0,0.00856310618074885,0.0827405140487656,0.0264915112980257
0.011938032813254,0.00578629836457919,0.138249827089392,0.011938032813254,0.00578629836457919,0.138249827089392,0.011938032813254,0,0.138249827089392,0.011938032813254,0.00578629836457919,0.138249827089392
0,0.264893110739607,0.220539476760298,0.318589866651461,0.264893110739607,0,0,0.264893110739607,0.220539476760298,0.318589866651461,0.264893110739607,0.220539476760298
0.0456839689908367,0.0117960224961867,0.0145178400197037,0.0456839689908367,0.0117960224961867,0.0145178400197037,0,0.0117960224961867,0.0145178400197037,0.0456839689908367,0.0117960224961867,0.0145178400197037
0.0264915112980257,0.00856310618074885,0.0827405140487656,0.0264915112980257,0.00856310618074885,0,0.0264915112980257,0.00856310618074885,0.0827405140487656,0.0264915112980257,0.00856310618074885,0.0827405140487656
0.138249827089392,0.011938032813254,0.00578629836457919,0.138249827089392,0,0.00578629836457919,0.138249827089392,0.011938032813254,0.00578629836457919,0.138249827089392,0.011938032813254,0.00578629836457919
0.220539476760298,0.318589866651461,0.264893110739607,0,0.318589866651461,0.264893110739607,0.220539476760298,0.318589866651461,0.264893110739607,0.220539476760298,0.318589866651461,0.264893110739607
0.0145178400197037,0.0456839689908367,0,0.0145178400197037,0.0456839689908367,0.0117960224961867,0.0145178400197037,0.0456839689908367,0.0117960224961867,0.0145178400197037,0.0456839689908367,0.0117960224961867
0.0827405140487656,0,0.00856310618074885,0.0827405140487656,0.0264915112980257,0.00856310618074885,0.0827405140487656,0.0264915112980257,0.00856310618074885,0.0827405140487656,0.0264915112980257,0.00856310618074885
0,0.138249827089392,0.011938032813254,0.00578629836457919,0.138249827089392,0.011938032813254,0.00578629836457919,0.138249827089392,0.011938032813254,0.00578629836457919,0.138249827089392,0.011938032813254
