"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0.269028295678923,0,0,0,0,0,0,0,0,0,0,0
0,0.650906117999728,0,0,0,0,0,0,0,0,0,0
0,0,0.659818520176538,0,0,0,0,0,0,0,0,0
0,0,0,0.663448432530679,0,0,0,0,0,0,0,0
0,0,0,0,0.693193876369895,0,0,0,0,0,0,0
0,0,0,0,0,0.297225572979496,0,0,0,0,0,0
0,0,0,0,0,0,0.345527057705002,0,0,0,0,0
0,0,0,0,0,0,0,0.185161547666495,0,0,0,0
0,0,0,0,0,0,0,0,0.164673601441563,0,0,0
0,0,0,0,0,0,0,0,0,0.122206386099998,0,0
0,0,0,0,0.712252134544064,0,0.334585242384469,0,0,0.0160841345231722,0,0
0,0,0,0,0,0,0,0,0,0,0.211134656135633,0
0.269028295678949,1.32173786638343e-11,0,0.593930103058782,0,0,0,0,0,0,0,0
0.312789209241271,2.09185159584162e-12,0.0360923540263385,0.358052206103634,0.292109194691157,0,0,1.27813411899544e-14,0,0,0,0
0.744585901353768,0,0.0236268520214576,0.0575726029503196,0.439245132838991,0.00861269899053648,0.155910956747268,0,0.533960690177542,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.382017050024126
0.348188437941735,0,0.49522684144482,0,0.0189724007805996,0.153750667968061,0,0,0,0,0,0
0.269027840322464,0,0.016377285747132,0.520147281234115,0,0,0.304585759060132,0,0,0,0,0.0203759963304058
0.741786187257532,0,0.0278448398658511,0.0554646905562814,0.436564664492753,0.010729249552817,0.156566564706493,0,0.529419051341498,0,0,0.00414816526921225
0.719509516814935,2.06194838980878e-10,0,0,0.515327632996689,2.44767300503455e-13,0,0,0.491558380653202,0,0,4.76785277925273e-13
0.763170882678001,0.00772161702143256,0,0.0542338059473982,0.490757263422966,0,0.14966613846376,0.0021954948794217,0.558101981219063,0,0.00250345489211092,0
0,1.03472785895065e-13,0.266397646767753,0.294900652855147,0,0,0,0,0,1.11022302462516e-16,1.06303854607859e-14,0.3820170500241
0.336396007346689,0,0.0770925359994126,0.223741482533757,0.361304828670814,0.0266716389209291,0.263525107451977,0,0,0,0,0.00544705240818766
0.741786187258017,0,0.0278448398664627,0.0554646905566545,0.43656466449096,0.0107292495535409,0.156566564706377,0,0.529419051341092,0,0,0.00414816527003081
0.775260088518253,0,0,0.0965736486433532,0.413827818017051,0.0152088674199047,0,0,0.575055732085948,0,0,0.0302674408103984
0.794174251672269,0.0201157163952868,0,0.112482742748688,0.444518450663422,0,0,0.00571952120489044,0.614794463851834,4.43929204432677e-05,0.00652179309327017,0
0.798325541621108,0,0,0.0959663506778303,0.465968949380366,0,0.144141985127491,0,0.60508499520428,0.000272611947884111,0,0
0.843606278978538,0.0435003300598698,0,0.399791285990858,0,0,0.161834057249533,0.012368491154501,0.780305673225583,3.25206185111354e-05,0.0141034078370871,0
0.747885473526086,0.0249329987314175,0,0,0.58023930520752,0,0.14802538736494,0.00708922375292459,0.529682615162175,3.97815935170931e-05,0.00808362253628031,0
0.756391965033387,0.0150933904216183,0,0.0680427176788643,0.458522656728946,0,0.153027446752294,0.00429151838356286,0.559547693929109,0.000107283759053296,0.00489348565226105,0
0.741787834999054,0,0.0278416470118569,0.0554660173768545,0.436567267894751,0.0107266758353288,0.156566145058348,0,0.529422390077887,0,0,0.00414505560459366
0,0,0.0428743078852245,0.156814262387008,0.481554173477845,0.0151754153386366,0.340885866253773,0,0.641562072750812,0.0050780301334168,0,0.00371040164102765
