"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0.754208561399583,1.55415370858929e-14,3.19076000638016e-15,0.055635540346171,0.4670512210255,0,0.152635602453374,6.36406924289917e-15,0.546776674598574,2.79064610740972e-15,8.42216318966572e-15,0
0.754208561399583,1.57128259153714e-14,3.14568001201919e-15,0.0556355403461707,0.4670512210255,0,0.152635602453374,6.36406924289912e-15,0.546776674598573,2.79064610740951e-15,0,0
0.335851588538068,0,0,0.236058144339671,0.446043033887336,1.0168647796056e-15,0.261501353083418,0,0,0,0,6.90292912604764e-16
0.777977269266948,2.11330698976223e-14,1.04653696715907e-14,0.111768694679848,0.403304702078516,0,0,8.35873313424249e-15,0.59065316553102,3.43347414437332e-15,1.12350482736612e-14,0
0.754208561399582,1.5580693905545e-14,3.24253204460132e-15,0.0556355403461713,0.4670512210255,0,0.152635602453373,6.36406924289916e-15,0.546776674598572,2.79064610740953e-15,8.42216318966553e-15,0
0.78904431925397,2.98097904326549e-14,1.9147029091941e-14,0.333530348683293,0,0,0.171869611935017,1.13620509791878e-14,0.684792909150451,4.54522813889185e-15,1.54505575925886e-14,0
0.725201214065994,7.03700463550698e-16,0,0,0.522942247997359,0,0.155264608775063,1.03618350438098e-15,0.497551351688237,7.55089503442043e-16,6.50095564735775e-16,0
0.754208561399582,1.65705772846303e-14,0,0.0556355403461705,0.4670512210255,0,0.152635602453374,5.7023158223876e-15,0.546776674598573,2.42390523949414e-15,8.67277212251711e-15,0
0.754208561399583,0,0,0.0556355403461712,0.4670512210255,0,0.152635602453374,5.34707667048331e-15,0.546776674598574,3.81204456947135e-15,7.49138031039292e-15,0
0.754208561399582,1.55649357428532e-14,3.74081414853894e-15,0.0556355403461707,0.467051221025499,0,0.152635602453367,6.38346115017908e-15,0.546776674598573,2.68192609000822e-15,8.33374246462755e-15,0
