"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action"
0,0,0,0.171098527605697,0.180416370923046,0,0.30284222095015,0,0,0,0,0
1.39318913019502e-11,0,0.000844413604298431,0,0,0,1.39318913019502e-11,0.0382017050024126,0,0,0,0
0.183906362678083,0,0,0.328908941308169,0,0.180416370923046,0,0.30284222095015,0,0.328908941308169,0,0
0,1.39318913019502e-11,0.0382017050024126,0,0,0.0190747265090753,0.118883937814957,1.39318913019502e-11,0.0382017050024126,0.000844413604298431,0,0
0,0,0.30284222095015,0,0.328908941308169,0.171098527605697,0,0.183906362678083,0.30284222095015,0,0.328908941308169,0
0,0,1.39318913019502e-11,0,0,0,0.0190747265090753,0.118883937814957,0,0.0382017050024126,0.000844413604298431,0
0.171098527605697,0,0.183906362678083,0,0,0,0.171098527605697,0,0.183906362678083,0,0,0.328908941308169
0,0.0190747265090753,0.118883937814957,0,0.0382017050024126,0,0,0.0190747265090753,0.118883937814957,1.39318913019502e-11,0,0.000844413604298431
0,0.171098527605697,0.180416370923046,0,0,0,0,0,0,0,0.30284222095015,0
0.000844413604298431,0,0.0190747265090753,0,0,0,0.000844413604298431,0,0.0190747265090753,0,1.39318913019502e-11,0.0382017050024126
